corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,qkmw.0,7006,7024,_stage,7006,7015,Friedrich,friedrich
gdc,qkmw.0,7006,7024,_stage,7017,7023,Ludwig,ludwig
gdc,qkmw.0,7724,7768,friedrich,7735,7738,Ich,friedrich
gdc,qkmw.0,7724,7768,friedrich,7752,7756,mein,friedrich
gdc,qkmw.0,7925,8084,friedrich,8024,8027,mir,friedrich
gdc,qkmw.0,7925,8084,friedrich,8032,8035,ich,friedrich
gdc,qkmw.0,8364,8444,friedrich,8431,8434,ich,friedrich
gdc,qkmw.0,8488,8598,friedrich,8556,8559,mir,friedrich
gdc,qkmw.0,8973,9150,friedrich,9007,9014,Willner,willner
gdc,qkmw.0,9177,9191,_stage,9185,9190,Jakob,jakob
gdc,qkmw.0,9232,9369,ludwig,9240,9246,Meiner,ludwig
gdc,qkmw.0,9374,9553,friedrich,9507,9510,ich,friedrich
gdc,qkmw.0,9628,9815,jakob,9663,9666,Ich,jakob
gdc,qkmw.0,9628,9815,jakob,9675,9678,ich,jakob
gdc,qkmw.0,9628,9815,jakob,9694,9700,meinem,jakob
gdc,qkmw.0,9628,9815,jakob,9730,9739,Christoph,christoph
gdc,qkmw.0,10035,10104,friedrich,10058,10061,ich,friedrich
gdc,qkmw.0,10171,10239,friedrich,10193,10196,ich,friedrich
gdc,qkmw.0,10244,10314,jakob,10260,10269,Baronesse,baronesse
gdc,qkmw.0,10641,10655,_stage,10641,10646,Jakob,jakob
gdc,qkmw.0,10641,10655,_stage,10648,10654,Ludwig,ludwig
gdc,qkmw.0,10699,10723,ludwig,10712,10722,Bardenrode,bardenrode
gdc,qkmw.0,10787,10835,jakob,10809,10812,Ich,jakob
gdc,qkmw.0,10787,10835,jakob,10822,10825,ich,jakob
gdc,qkmw.0,11009,11239,ludwig,11124,11131,Baptist,baptist
gdc,qkmw.0,11009,11239,ludwig,11165,11175,Bardenrode,bardenrode
gdc,qkmw.0,11009,11239,ludwig,11216,11225,Baronesse,baronesse
gdc,qkmw.0,11244,11412,jakob,11370,11373,Ich,jakob
gdc,qkmw.0,11417,11500,ludwig,11430,11437,Baptist,baptist
gdc,qkmw.0,11545,11632,ludwig,11598,11601,ich,ludwig
gdc,qkmw.0,11868,11908,_stage,11877,11887,Leopoldine,leopoldine
gdc,qkmw.0,11910,11981,leopoldine,11936,11942,Ludwig,ludwig
gdc,qkmw.0,11910,11981,leopoldine,11959,11969,Bardenrode,bardenrode
gdc,qkmw.0,12041,12095,leopoldine,12066,12071,Greif,greif
gdc,qkmw.0,12123,12199,ludwig,12189,12198,Baronesse,baronesse
gdc,qkmw.0,12204,12336,leopoldine,12216,12221,Jakob,jakob
gdc,qkmw.0,12204,12336,leopoldine,12246,12252,meinen,leopoldine
gdc,qkmw.0,12204,12336,leopoldine,12266,12273,Willner,willner
gdc,qkmw.0,12362,12376,_stage,12362,12368,Ludwig,ludwig
gdc,qkmw.0,12362,12376,_stage,12370,12375,Jakob,jakob
gdc,qkmw.0,12491,12514,jakob,12498,12501,Ich,jakob
gdc,qkmw.0,13044,13381,jakob,13366,13375,Christoph,christoph
gdc,qkmw.0,13386,13673,ludwig,13459,13468,Baronesse,baronesse
gdc,qkmw.0,13802,13867,_stage,13815,13820,Greif,greif
