corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qkn4.0,748,779,_Stage,_Stage,Zimmer,NN,zimmer,31672,,
gdc,qkn4.0,748,779,_Stage,_Stage,der,ART,der,31672,,
gdc,qkn4.0,748,779,_Stage,_Stage,Frau,NN,frau,31672,,(2
gdc,qkn4.0,748,779,_Stage,_Stage,von,APPR,von,31672,,
gdc,qkn4.0,748,779,_Stage,_Stage,Wallenfeld,NE,wallenfeld,31672,,2)
gdc,qkn4.0,748,779,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,799,825,_Stage,_Stage,Hofrath,NE,hofrath,31672,,(1)
gdc,qkn4.0,799,825,_Stage,_Stage,von,APPR,von,31672,,
gdc,qkn4.0,799,825,_Stage,_Stage,Fernau,NE,fernau,31672,,
gdc,qkn4.0,799,825,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,799,825,_Stage,_Stage,Jakob,NE,jakob,31672,,(0)
gdc,qkn4.0,799,825,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,schläft,VVFIN,schlafen,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,in,APPR,in,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,einem,ART,ein,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,Lehnstuhle,NN,lehnstuhle,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,Das,ART,der,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,Nachtlicht,NN,nachtlicht,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,brennt,VVFIN,brennen,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,noch,ADV,noch,31672,,
gdc,qkn4.0,833,889,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,tritt,VVFIN,treten,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,ein,PTKVZ,ein,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,.,$.,--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,Er,PPER,er,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,sieht,VVFIN,sehen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,sich,PRF,sich,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,um,PTKVZ,um,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,geht,VVFIN,gehen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,nach,APPR,nach,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,der,ART,der,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,Seite,NN,seite,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,bleibt,VVFIN,bleiben,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,vor,APPR,vor,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,der,ART,der,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,Thür,NN,thür,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,unentschlossen,ADJD,unentschlossen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,stehen,VVFIN,stehen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,kehrt,VVFIN,kehren,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,zurück,PTKVZ,zurück,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,will,VMFIN,wollen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,wieder,ADV,wieder,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,gehen,VVINF,gehen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,sinnt,VVFIN,sinnen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,nach,PTKVZ,nach,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,geht,VVFIN,gehen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,darauf,PROAV,darauf,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,zu,APPR,zu,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,Jakob,NE,jakob,31672,,(0)
gdc,qkn4.0,901,1092,Hofrath,hofrath,",","$,",--,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,dem,PRELS,der,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,er,PPER,er,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,auf,APPR,auf,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,die,ART,der,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,Schulter,NN,schulter,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,klopft,VVFIN,klopfen,31672,,
gdc,qkn4.0,901,1092,Hofrath,hofrath,.,$.,--,31672,,
gdc,qkn4.0,1138,1150,Jakob,jakob,springt,VVFIN,springen,31672,,
gdc,qkn4.0,1138,1150,Jakob,jakob,auf,PTKVZ,auf,31672,,
gdc,qkn4.0,1138,1150,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,1207,1217,Jakob,jakob,halb,ADJD,halb,31672,,
gdc,qkn4.0,1207,1217,Jakob,jakob,wach,PTKVZ,wach,31672,,
gdc,qkn4.0,1207,1217,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,1263,1291,Jakob,jakob,Greift,VVFIN,greifen,31672,,
gdc,qkn4.0,1263,1291,Jakob,jakob,nach,APPR,nach,31672,,
gdc,qkn4.0,1263,1291,Jakob,jakob,dem,ART,der,31672,,
gdc,qkn4.0,1263,1291,Jakob,jakob,Nachtlichte,NN,nachtlichte,31672,,
gdc,qkn4.0,1263,1291,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,1374,1395,Jakob,jakob,Sieht,VVFIN,sehen,31672,,
gdc,qkn4.0,1374,1395,Jakob,jakob,den,ART,der,31672,,
gdc,qkn4.0,1374,1395,Jakob,jakob,Hofrath,NE,hofrath,31672,,(1)
gdc,qkn4.0,1374,1395,Jakob,jakob,an,PTKVZ,an,31672,,
gdc,qkn4.0,1374,1395,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,1598,1619,Jakob,jakob,Reibt,VVFIN,reiben,31672,,
gdc,qkn4.0,1598,1619,Jakob,jakob,sich,PRF,sich,31672,,
gdc,qkn4.0,1598,1619,Jakob,jakob,die,ART,der,31672,,
gdc,qkn4.0,1598,1619,Jakob,jakob,Augen,NN,auge,31672,,
gdc,qkn4.0,1598,1619,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,1727,1748,Jakob,jakob,Löscht,VVFIN,löschen,31672,,
gdc,qkn4.0,1727,1748,Jakob,jakob,das,ART,der,31672,,
gdc,qkn4.0,1727,1748,Jakob,jakob,Licht,NN,licht,31672,,
gdc,qkn4.0,1727,1748,Jakob,jakob,aus,PTKVZ,aus,31672,,
gdc,qkn4.0,1727,1748,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,2169,2188,Hofrath,hofrath,Gibt,VVFIN,geben,31672,,
gdc,qkn4.0,2169,2188,Hofrath,hofrath,ihm,PPER,ihm,31672,,
gdc,qkn4.0,2169,2188,Hofrath,hofrath,den,ART,der,31672,,
gdc,qkn4.0,2169,2188,Hofrath,hofrath,Brief,NN,brief,31672,,
gdc,qkn4.0,2169,2188,Hofrath,hofrath,.,$.,--,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,Legt,VVFIN,legen,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,ihn,PPER,ihn,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,auf,APPR,auf,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,den,ART,der,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,Tisch,NN,tisch,31672,,
gdc,qkn4.0,2929,2952,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,2983,2991,Jakob,jakob,Geht,VVFIN,gehen,31672,,
gdc,qkn4.0,2983,2991,Jakob,jakob,ab,PTKVZ,ab,31672,,
gdc,qkn4.0,2983,2991,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,3133,3162,_Stage,_Stage,Hofrath,NE,hofrath,31672,,(1)
gdc,qkn4.0,3133,3162,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,3133,3162,_Stage,_Stage,Frau,NN,frau,31672,,(2
gdc,qkn4.0,3133,3162,_Stage,_Stage,von,APPR,von,31672,,
gdc,qkn4.0,3133,3162,_Stage,_Stage,Wallenfeld,NE,wallenfeld,31672,,2)
gdc,qkn4.0,3133,3162,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,geht,VVFIN,gehen,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,vor,PTKVZ,vor,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,und,KON,und,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,sieht,VVFIN,sehen,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,den,ART,der,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,Brief,NN,brief,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,liegen,VVINF,liegen,31672,,
gdc,qkn4.0,3701,3737,Frau von Wallenfeld,frau_von_wallenfeld,.,$.,--,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,Sie,PPER,sie,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,hat,VAFIN,haben,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,den,ART,der,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,Brief,NN,brief,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,genommen,VVPP,nehmen,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,und,KON,und,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,wundert,VVFIN,wundern,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,sich,PRF,sich,31672,,
gdc,qkn4.0,3769,3813,Frau von Wallenfeld,frau_von_wallenfeld,.,$.,--,31672,,
gdc,qkn4.0,4200,4216,Frau von Wallenfeld,frau_von_wallenfeld,Gibt,VVFIN,geben,31672,,
gdc,qkn4.0,4200,4216,Frau von Wallenfeld,frau_von_wallenfeld,ihn,PPER,ihn,31672,,
gdc,qkn4.0,4200,4216,Frau von Wallenfeld,frau_von_wallenfeld,zurück,PTKVZ,zurück,31672,,
gdc,qkn4.0,4200,4216,Frau von Wallenfeld,frau_von_wallenfeld,.,$.,--,31672,,
gdc,qkn4.0,4706,4725,Frau von Wallenfeld,frau_von_wallenfeld,wendet,VVFIN,wenden,31672,,
gdc,qkn4.0,4706,4725,Frau von Wallenfeld,frau_von_wallenfeld,das,ART,der,31672,,
gdc,qkn4.0,4706,4725,Frau von Wallenfeld,frau_von_wallenfeld,Gesicht,NN,gesicht,31672,,
gdc,qkn4.0,4706,4725,Frau von Wallenfeld,frau_von_wallenfeld,.,$.,--,31672,,
gdc,qkn4.0,4786,4810,Frau von Wallenfeld,frau_von_wallenfeld,trocknet,VVFIN,trocknen,31672,,
gdc,qkn4.0,4786,4810,Frau von Wallenfeld,frau_von_wallenfeld,sich,PRF,sich,31672,,
gdc,qkn4.0,4786,4810,Frau von Wallenfeld,frau_von_wallenfeld,die,ART,der,31672,,
gdc,qkn4.0,4786,4810,Frau von Wallenfeld,frau_von_wallenfeld,Augen,NN,auge,31672,,
gdc,qkn4.0,4786,4810,Frau von Wallenfeld,frau_von_wallenfeld,.,$.,--,31672,,
gdc,qkn4.0,6201,6210,Hofrath,hofrath,verlegen,VVINF,verlegen,31672,,
gdc,qkn4.0,6201,6210,Hofrath,hofrath,.,$.,--,31672,,
gdc,qkn4.0,7259,7273,_Stage,_Stage,Vorige,NN,vorige,31672,,
gdc,qkn4.0,7259,7273,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,7259,7273,_Stage,_Stage,Jakob,NE,jakob,31672,,(0)
gdc,qkn4.0,7259,7273,_Stage,_Stage,.,$.,--,31672,,
gdc,qkn4.0,7418,7426,Jakob,jakob,geht,VVFIN,gehen,31672,,
gdc,qkn4.0,7418,7426,Jakob,jakob,ab,PTKVZ,ab,31672,,
gdc,qkn4.0,7418,7426,Jakob,jakob,.,$.,--,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,Geht,VVFIN,gehen,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,und,KON,und,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,drückt,VVFIN,drücken,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,ihr,PPER,ihr,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,den,ART,der,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,Brief,NN,brief,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,in,APPR,in,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,die,ART,der,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,Hand,NN,hand,31672,,
gdc,qkn4.0,7697,7739,Hofrath,hofrath,.,$.,--,31672,,
gdc,qkn4.0,7819,7883,Sekretär,sekretaer,tritt,VVFIN,treten,31672,,
gdc,qkn4.0,7819,7883,Sekretär,sekretaer,ein,PTKVZ,ein,31672,,
gdc,qkn4.0,7819,7883,Sekretär,sekretaer,und,KON,und,31672,,
