corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,qkp2.0,placidus,2,
gdc,qkp2.0,die_ritter_ruf_der_tafelrunde,27,
gdc,qkp2.0,der_seneschal,11,
gdc,qkp2.0,erek,14,
gdc,qkp2.0,ginevra,15,
gdc,qkp2.0,satan,1,
gdc,qkp2.0,lohengrin,19,
gdc,qkp2.0,parzifal,18,
gdc,qkp2.0,merlin,4,
gdc,qkp2.0,gareis,13,
gdc,qkp2.0,zwerg,7,
gdc,qkp2.0,niniana,17,
gdc,qkp2.0,titurel,20,
gdc,qkp2.0,kay,5,
gdc,qkp2.0,klingsor,6,
gdc,qkp2.0,minstrel,10,
gdc,qkp2.0,ein_ritter_b,23,
gdc,qkp2.0,candida,3,
gdc,qkp2.0,hamadryaden,26,
gdc,qkp2.0,speisemeister,22,
gdc,qkp2.0,gawein,12,
gdc,qkp2.0,antinous,8,
gdc,qkp2.0,artus,9,
gdc,qkp2.0,luzifer,0,
gdc,qkp2.0,lanzelot,16,
gdc,qkp2.0,kirchengesang,24,
gdc,qkp2.0,ein_ritter_a,21,
gdc,qkp2.0,die_goetter,25,
