corpus,drama,figure_surface,figure_id,Gender,Age
gdc,qkp7.0,Alexis,alexis,MALE,
gdc,qkp7.0,Ein Andrer,ein_andrer_1-1,MALE,
gdc,qkp7.0,Zweiter Türsteher,zweiter_tuersteher,MALE,
gdc,qkp7.0,Die Generale,die_generale,MALE,
gdc,qkp7.0,Andre/Alle/Allgemeiner Ruf (IV/4),andre_alle_allgemeiner_ruf,MALE,
gdc,qkp7.0,Costa,costa,MALE,
gdc,qkp7.0,Erster Türsteher,erster_tuersteher,MALE,
gdc,qkp7.0,Ein General,ein_general,MALE,
gdc,qkp7.0,Tolstoi,tolstoi,MALE,
gdc,qkp7.0,Danilow,danilow,MALE,
gdc,qkp7.0,Die Übrigen (V/7),die_uebrigen,MALE,
gdc,qkp7.0,Die Senatoren,die_senatoren,MALE,
gdc,qkp7.0,Einer,einer_1-1b,MALE,
gdc,qkp7.0,Ein Dritter,ein_dritter_1-1,MALE,
gdc,qkp7.0,Sekretär (IV/5),sekretaer_4-5,MALE,
gdc,qkp7.0,Jaguschinsky,jaguschinsky,MALE,
gdc,qkp7.0,Euphrosyne,euphrosyne,FEMALE,
gdc,qkp7.0,Peter,peter,MALE,
gdc,qkp7.0,Einige/Andre/Alle (I/3),einige_andre_alle,MALE,
gdc,qkp7.0,Theophanes,theophanes,MALE,
gdc,qkp7.0,Der Bote,der_bote,MALE,
gdc,qkp7.0,Mons,mons,MALE,
gdc,qkp7.0,Schepelew,schepelew,MALE,
gdc,qkp7.0,Alle (V/2),alle_5-2,MALE,
gdc,qkp7.0,Schaphirow,schaphirow,MALE,
gdc,qkp7.0,Arzt,arzt,MALE,
gdc,qkp7.0,Menzikof,menzikof,MALE,
gdc,qkp7.0,Dentschik,dentschik,MALE,
gdc,qkp7.0,Einer,einer_1-1a,MALE,
gdc,qkp7.0,Ostermann,ostermann,MALE,
gdc,qkp7.0,Der Sekretär (IV/4),der_sekretaer_4-4,MALE,
gdc,qkp7.0,Der Nachbar,der_nachbar,MALE,
gdc,qkp7.0,Katharina,katharina,FEMALE,
gdc,qkp7.0,Die Geistlichen,die_geistlichen,MALE,
gdc,qkp7.0,Gordon,gordon,MALE,
gdc,qkp7.0,Anna,anna,FEMALE,
gdc,qkp7.0,Zwei Deputierte/Mehrere/Alle (I/1–2),zwei_deputierte_mehrere_alle,MALE,
gdc,qkp7.0,Therese,therese,FEMALE,
gdc,qkp7.0,Aaron,aaron,MALE,
