corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qkps.0,243,1204,Volk,volk,Nicht,PTKNEG,nicht,9149,,
gdc,qkps.0,243,1204,Volk,volk,die,ART,der,9149,,
gdc,qkps.0,243,1204,Volk,volk,Wolke,NN,wolke,9149,,
gdc,qkps.0,243,1204,Volk,volk,zog,VVFIN,ziehen,9149,,
gdc,qkps.0,243,1204,Volk,volk,im,APPRART,in,9149,,
gdc,qkps.0,243,1204,Volk,volk,Regenrot,NN,regenrot,9149,,
gdc,qkps.0,243,1204,Volk,volk,herauf,PTKVZ,herauf,9149,,
gdc,qkps.0,243,1204,Volk,volk,",","$,",--,9149,,
gdc,qkps.0,243,1204,Volk,volk,Abendgang,NN,abendgang,9149,,
gdc,qkps.0,243,1204,Volk,volk,",","$,",--,9149,,
gdc,qkps.0,243,1204,Volk,volk,o,FM,O,9149,,
gdc,qkps.0,243,1204,Volk,volk,heil,FM,heil,9149,,
gdc,qkps.0,243,1204,Volk,volk,',$(,--,9149,,
gdc,qkps.0,243,1204,Volk,volk,ge,ADJA,GE,9149,,
gdc,qkps.0,243,1204,Volk,volk,Mutter,NN,mutter,9149,,
gdc,qkps.0,243,1204,Volk,volk,wallest,VVFIN,walleen,9149,,
gdc,qkps.0,243,1204,Volk,volk,du,PPER,du,9149,,
gdc,qkps.0,243,1204,Volk,volk,;,$.,--,9149,,
gdc,qkps.0,243,1204,Volk,volk,Nicht,PTKNEG,nicht,9149,,
gdc,qkps.0,243,1204,Volk,volk,der,ART,der,9149,,
gdc,qkps.0,243,1204,Volk,volk,Nebel,NN,nebel,9149,,
gdc,qkps.0,243,1204,Volk,volk,fliegt,VVFIN,fliegen,9149,,
gdc,qkps.0,243,1204,Volk,volk,um,APPR,um,9149,,
gdc,qkps.0,243,1204,Volk,volk,weißen,ADJA,weiß,9149,,
gdc,qkps.0,243,1204,Volk,volk,Kieselberg,NE,kieselberg,9149,,
gdc,qkps.0,243,1204,Volk,volk,",","$,",--,9149,,
gdc,qkps.0,243,1204,Volk,volk,Graue,NE,graue,9149,,
gdc,qkps.0,243,1204,Volk,volk,Lock,NE,lock,9149,,
gdc,qkps.0,243,1204,Volk,volk,',$(,--,9149,,
gdc,qkps.0,243,1204,Volk,volk,umfliegt,VVFIN,umfliegen,9149,,
gdc,qkps.0,243,1204,Volk,volk,erbleichtes,ADJA,erbleicht,9149,,
gdc,qkps.0,243,1204,Volk,volk,Gramgesicht,NN,gramgesicht,9149,,
gdc,qkps.0,243,1204,Volk,volk,;,$.,--,9149,,
gdc,qkps.0,243,1204,Volk,volk,Nicht,NN,nicht,9149,,
gdc,qkps.0,243,1204,Volk,volk,der,ART,der,9149,,
