corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,r0gb.0,1294,1469,_stage,1294,1303,Graf Otto,graf_otto
gdc,r0gb.0,1294,1469,_stage,1333,1339,Wenzel,wenzel
gdc,r0gb.0,1294,1469,_stage,1355,1359,Hans,hans
gdc,r0gb.0,1470,1589,_stage,1470,1489,Theobald Friedeborn,theobald
gdc,r0gb.0,1591,2302,graf_otto,1932,1951,Theobald Friedeborn,theobald
gdc,r0gb.0,2307,3596,theobald,2394,2397,ich,theobald
gdc,r0gb.0,2307,3596,theobald,2414,2417,mir,theobald
gdc,r0gb.0,2307,3596,theobald,2566,2569,ich,theobald
gdc,r0gb.0,2307,3596,theobald,2596,2600,mich,theobald
gdc,r0gb.0,2307,3596,theobald,2640,2643,Ich,theobald
gdc,r0gb.0,2307,3596,theobald,2700,2706,meiner,theobald
gdc,r0gb.0,2307,3596,theobald,2737,2742,meine,theobald
gdc,r0gb.0,2307,3596,theobald,2858,2862,mein,theobald
gdc,r0gb.0,2307,3596,theobald,2914,2917,mir,theobald
gdc,r0gb.0,2307,3596,theobald,2930,2933,ich,theobald
gdc,r0gb.0,2307,3596,theobald,2942,2945,ich,theobald
gdc,r0gb.0,2307,3596,theobald,2976,2979,Ich,theobald
gdc,r0gb.0,2307,3596,theobald,3017,3020,ich,theobald
gdc,r0gb.0,2307,3596,theobald,3048,3054,meiner,theobald
gdc,r0gb.0,2307,3596,theobald,3124,3127,ich,theobald
gdc,r0gb.0,2307,3596,theobald,3185,3188,ich,theobald
gdc,r0gb.0,2307,3596,theobald,3283,3286,mir,theobald
gdc,r0gb.0,2307,3596,theobald,3287,3291,mein,theobald
gdc,r0gb.0,2307,3596,theobald,3307,3312,meine,theobald
gdc,r0gb.0,2307,3596,theobald,3488,3491,ich,theobald
gdc,r0gb.0,3601,4157,graf_otto,3687,3706,der Graf vom Strahl,der_graf_vom_strahl
gdc,r0gb.0,3601,4157,graf_otto,3800,3803,ich,graf_otto
gdc,r0gb.0,4162,5138,theobald,4197,4200,ich,theobald
gdc,r0gb.0,4162,5138,theobald,4371,4374,Ich,theobald
gdc,r0gb.0,4162,5138,theobald,4594,4597,Ich,theobald
gdc,r0gb.0,4162,5138,theobald,4648,4651,ich,theobald
gdc,r0gb.0,4162,5138,theobald,4785,4789,mich,theobald
gdc,r0gb.0,4162,5138,theobald,4830,4833,ich,theobald
gdc,r0gb.0,5197,7723,theobald,5251,5255,mein,theobald
gdc,r0gb.0,5197,7723,theobald,5256,5264,Käthchen,kaethchen
gdc,r0gb.0,5197,7723,theobald,5489,5495,meines,theobald
gdc,r0gb.0,5197,7723,theobald,6039,6047,Käthchen,kaethchen
gdc,r0gb.0,5197,7723,theobald,6067,6075,Käthchen,kaethchen
gdc,r0gb.0,5197,7723,theobald,6783,6789,meiner,theobald
gdc,r0gb.0,5197,7723,theobald,6896,6899,mir,theobald
gdc,r0gb.0,5197,7723,theobald,7295,7300,meine,theobald
gdc,r0gb.0,5197,7723,theobald,7348,7357,Gottfried,gottfried
gdc,r0gb.0,5197,7723,theobald,7374,7379,junge,koehlerjunge
gdc,r0gb.0,5197,7723,theobald,7461,7466,meine,theobald
gdc,r0gb.0,5197,7723,theobald,7533,7539,meiner,theobald
gdc,r0gb.0,5197,7723,theobald,7550,7553,ich,theobald
gdc,r0gb.0,5197,7723,theobald,7702,7705,mir,theobald
gdc,r0gb.0,7886,8798,theobald,7936,7939,ich,theobald
gdc,r0gb.0,7886,8798,theobald,8005,8008,ich,theobald
gdc,r0gb.0,7886,8798,theobald,8045,8048,mir,theobald
gdc,r0gb.0,7886,8798,theobald,8093,8096,ich,theobald
gdc,r0gb.0,7886,8798,theobald,8118,8122,mich,theobald
gdc,r0gb.0,8944,9158,theobald,9010,9015,meine,theobald
gdc,r0gb.0,9379,13123,theobald,9502,9506,mein,theobald
gdc,r0gb.0,9379,13123,theobald,9575,9580,meine,theobald
gdc,r0gb.0,9379,13123,theobald,9800,9803,ich,theobald
gdc,r0gb.0,9379,13123,theobald,9848,9851,mir,theobald
gdc,r0gb.0,9379,13123,theobald,9897,9900,ich,theobald
gdc,r0gb.0,9379,13123,theobald,9901,9905,mich,theobald
gdc,r0gb.0,9379,13123,theobald,9942,9945,mir,theobald
gdc,r0gb.0,9379,13123,theobald,9973,9976,ich,theobald
gdc,r0gb.0,9379,13123,theobald,10139,10142,ich,theobald
gdc,r0gb.0,9379,13123,theobald,10664,10667,mir,theobald
gdc,r0gb.0,9379,13123,theobald,10712,10715,ich,theobald
gdc,r0gb.0,9379,13123,theobald,10716,10720,mich,theobald
gdc,r0gb.0,9379,13123,theobald,11012,11015,ich,theobald
gdc,r0gb.0,9379,13123,theobald,11027,11033,meines,theobald
gdc,r0gb.0,9379,13123,theobald,11143,11147,mich,theobald
gdc,r0gb.0,9379,13123,theobald,11224,11243,Der Graf vom Strahl,der_graf_vom_strahl
gdc,r0gb.0,9379,13123,theobald,11478,11481,ich,theobald
gdc,r0gb.0,9379,13123,theobald,11555,11559,mein,theobald
gdc,r0gb.0,9379,13123,theobald,11580,11583,ich,theobald
gdc,r0gb.0,9379,13123,theobald,12340,12343,ich,theobald
gdc,r0gb.0,9379,13123,theobald,12381,12385,mein,theobald
gdc,r0gb.0,9379,13123,theobald,12442,12448,meinen,theobald
gdc,r0gb.0,13357,13567,theobald,13402,13406,mich,theobald
gdc,r0gb.0,13357,13567,theobald,13474,13477,mir,theobald
gdc,r0gb.0,13357,13567,theobald,13526,13529,ich,theobald
gdc,r0gb.0,13357,13567,theobald,13552,13555,mir,theobald
gdc,r0gb.0,14645,14812,der_graf_vom_strahl,14724,14727,mir,der_graf_vom_strahl
gdc,r0gb.0,14645,14812,der_graf_vom_strahl,14747,14750,ich,der_graf_vom_strahl
gdc,r0gb.0,14645,14812,der_graf_vom_strahl,14751,14755,mich,der_graf_vom_strahl
gdc,r0gb.0,14645,14812,der_graf_vom_strahl,14772,14775,ich,der_graf_vom_strahl
gdc,r0gb.0,14645,14812,der_graf_vom_strahl,14788,14794,meinen,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,14996,15000,mich,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,15059,15062,ich,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,15093,15097,mich,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,15109,15115,meinem,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,15225,15228,ich,der_graf_vom_strahl
gdc,r0gb.0,14885,15344,der_graf_vom_strahl,15305,15308,ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15553,15556,Ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15621,15625,mich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15737,15740,ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15821,15824,mir,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15830,15833,ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,15936,15939,ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16024,16032,Käthchen,kaethchen
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16176,16179,ich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16331,16335,mich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16366,16370,mich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16412,16416,mich,der_graf_vom_strahl
gdc,r0gb.0,15532,18644,der_graf_vom_strahl,16437,16440,ich,der_graf_vom_strahl
