corpus,drama,figure_surface,figure_id,Gender,Age
gdc,r0px.0,CHOR DER MÄDCHEN,chor_der_mädchen,,
gdc,r0px.0,CHOR DER JÜNGLINGE,chor_der_jünglinge,,
gdc,r0px.0,RUPERT,rupert,,
gdc,r0px.0,OTTOKAR,ottokar,,
gdc,r0px.0,EUSTACHE,eustache,,
gdc,r0px.0,JERONIMUS,jeronimus,,
gdc,r0px.0,KIRCHENVOGT,kirchenvogt,,
gdc,r0px.0,EIN DIENER,ein_diener,,
gdc,r0px.0,JOHANN,johann,,
gdc,r0px.0,SYLVIUS,sylvius,,
gdc,r0px.0,AGNES,agnes,,
gdc,r0px.0,GERTRUDE,gertrude,,
gdc,r0px.0,SYLVESTER,sylvester,,
gdc,r0px.0,GÄRTNER,gärtner,,
gdc,r0px.0,EIN KNAPPE,ein_knappe,,
gdc,r0px.0,ALDÖBERN,aldöbern,,
gdc,r0px.0,THEISTINER,theistiner,,
gdc,r0px.0,SANTING,santing,,
gdc,r0px.0,DER WANDERER,der_wanderer,,
gdc,r0px.0,ZWEITER WANDERER,zweiter_wanderer,,
gdc,r0px.0,DIE KAMMERZOFE,die_kammerzofe,,
gdc,r0px.0,BARNABE,barnabe,,
gdc,r0px.0,URSULA,ursula,,
gdc,r0px.0,FINTENRING,fintenring,,
gdc,r0px.0,EIN RITTER,ein_ritter,,
gdc,r0px.0,Die Familie Schroffenstein,de,"Kleist, Heinrich von",118563076,,,1802,1803,1804,0
