corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,r134.0,503,2031,Amante,amante,Ich,PPER,ich,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,darf,VMFIN,dürfen,30223,,
gdc,r134.0,503,2031,Amante,amante,sie,PPER,sie,30223,,
gdc,r134.0,503,2031,Amante,amante,nicht,PTKNEG,nicht,30223,,
gdc,r134.0,503,2031,Amante,amante,mehr,ADV,mehr,30223,,
gdc,r134.0,503,2031,Amante,amante,ansehen,VVINF,ansehen,30223,,
gdc,r134.0,503,2031,Amante,amante,"!",$.,--,30223,,
gdc,r134.0,503,2031,Amante,amante,Ich,PPER,ich,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,gafft,VVFIN,gaffen,30223,,
gdc,r134.0,503,2031,Amante,amante,',$(,--,30223,,
gdc,r134.0,503,2031,Amante,amante,mich,PPER,mich,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,rasend,ADJD,rasend,30223,,
gdc,r134.0,503,2031,Amante,amante,",","$,",--,30223,,
gdc,r134.0,503,2031,Amante,amante,rasend,ADJD,rasend,30223,,
gdc,r134.0,503,2031,Amante,amante,.,$.,--,30223,,
gdc,r134.0,503,2031,Amante,amante,Ah,NE,ah,30223,,
gdc,r134.0,503,2031,Amante,amante,"!",$.,--,30223,,
gdc,r134.0,503,2031,Amante,amante,so,ADV,so,30223,,
gdc,r134.0,503,2031,Amante,amante,mal,ADV,mal,30223,,
gdc,r134.0,503,2031,Amante,amante,ich,PPER,ich,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,mich,PRF,mich,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,rasend,ADJD,rasend,30223,,
gdc,r134.0,503,2031,Amante,amante,.,$.,--,30223,,
gdc,r134.0,503,2031,Amante,amante,–,XY,–,30223,,
gdc,r134.0,503,2031,Amante,amante,Hab,VVFIN,hab,30223,,
gdc,r134.0,503,2031,Amante,amante,sie,PPER,sie,30223,,
gdc,r134.0,503,2031,Amante,amante,nur,ADV,nur,30223,,
gdc,r134.0,503,2031,Amante,amante,verstohlen,VVINF,verstehlen,30223,,
gdc,r134.0,503,2031,Amante,amante,angesehen,VVPP,ansehen,30223,,
gdc,r134.0,503,2031,Amante,amante,",","$,",--,30223,,
gdc,r134.0,503,2031,Amante,amante,und,KON,und,30223,,
gdc,r134.0,503,2031,Amante,amante,ihr,PPOSAT,ihr,30223,,
gdc,r134.0,503,2031,Amante,amante,Bild,NN,bild,30223,,
gdc,r134.0,503,2031,Amante,amante,fließt,VVFIN,fließen,30223,,
gdc,r134.0,503,2031,Amante,amante,so,ADV,so,30223,,
gdc,r134.0,503,2031,Amante,amante,lebendig,ADJD,lebendig,30223,,
gdc,r134.0,503,2031,Amante,amante,aus,APPR,aus,30223,,
gdc,r134.0,503,2031,Amante,amante,meiner,PPOSAT,mein,30223,amante,(0)
gdc,r134.0,503,2031,Amante,amante,innersten,ADJA,innerster,30223,,
gdc,r134.0,503,2031,Amante,amante,Seele,NN,seele,30223,,
gdc,r134.0,503,2031,Amante,amante,.,$.,--,30223,,
gdc,r134.0,503,2031,Amante,amante,Alle,PIS,alle,30223,,
gdc,r134.0,503,2031,Amante,amante,",","$,",--,30223,,
gdc,r134.0,503,2031,Amante,amante,alle,PIAT,aller,30223,,
gdc,r134.0,503,2031,Amante,amante,Reize,NN,reiz,30223,,
gdc,r134.0,503,2031,Amante,amante,auf,APPR,auf,30223,,
gdc,r134.0,503,2031,Amante,amante,dem,ART,der,30223,,
