corpus,drama,figure_surface,figure_id,Gender,Age
gdc,r2mn.0,Kaberdar,kaberdar,MALE,
gdc,r2mn.0,Fazir,fazir,MALE,
gdc,r2mn.0,Sir John,sir_john,MALE,
gdc,r2mn.0,Liddy,liddy,FEMALE,
gdc,r2mn.0,Mistriss Smith,mistriss_smith,FEMALE,
gdc,r2mn.0,Mäster Staff,maester_staff,MALE,
gdc,r2mn.0,Gurli,gurli,FEMALE,
gdc,r2mn.0,Robert,robert,MALE,
gdc,r2mn.0,Musaffery,musaffery,MALE,
gdc,r2mn.0,Mäster Strussel,maester_strussel,MALE,
gdc,r2mn.0,Visitator,visitator,MALE,
gdc,r2mn.0,Der Knabe,der_knabe,MALE,
gdc,r2mn.0,Samuel,samuel,MALE,
gdc,r2mn.0,Jack,jack,MALE,
