corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,r2mn.0,1497,1545,_Stage,_Stage,Ein,ART,ein,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,Saal,NN,saal,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,mit,APPR,mit,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,einer,ART,ein,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,Mittel-,TRUNC,mittel,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,und,KON,und,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,zwei,CARD,zwei,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,Seitentüren,NN,seitentüre,28764,,
gdc,r2mn.0,1497,1545,_Stage,_Stage,.,$.,--,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,Der,ART,der,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,podagrische,ADJA,podagrisch,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,Sir,NN,Sir,28764,,(0
gdc,r2mn.0,1564,1726,_Stage,_Stage,John,NE,john,28764,,0)
gdc,r2mn.0,1564,1726,_Stage,_Stage,auf,APPR,auf,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,einem,ART,ein,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,Stuhle,NN,stuhle,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,mit,APPR,mit,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,Rädern,NN,rad,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,",","$,",--,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,sein,PPOSAT,sein,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,krankes,ADJA,krank,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,bewickeltes,ADJA,bewickelt,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,Bein,NN,bein,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,vor,APPR,vor,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,sich,PRF,sich,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,ausgestreckt,VVPP,ausstrecken,28764,,
gdc,r2mn.0,1564,1726,_Stage,_Stage,–,XY,–,28764,,
