corpus,drama,figure_surface,figure_id,Gender,Age
gdc,rdg3.0,CHOR,chor,,
gdc,rdg3.0,EMMA,emma,,
gdc,rdg3.0,EINE SPINNERIN,eine_spinnerin,,
gdc,rdg3.0,EGINHARD,eginhard,,
gdc,rdg3.0,FRAUEN,frauen,,
gdc,rdg3.0,KARL,karl,,
gdc,rdg3.0,ROLAND,roland,,
gdc,rdg3.0,FIERRABRAS,fierrabras,,
gdc,rdg3.0,JUNGFRAUEN,jungfrauen,,
gdc,rdg3.0,MÄNNER,männer,,
gdc,rdg3.0,DIE RITTER,die_ritter,,
gdc,rdg3.0,BRUTAMONTE,brutamonte,,
gdc,rdg3.0,FLORINDA,florinda,,
gdc,rdg3.0,MARAGOND,maragond,,
gdc,rdg3.0,BOLAND,boland,,
gdc,rdg3.0,DIE MAUREN,die_mauren,,
