corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rdgt.0,3565,3836,_stage,3801,3809,Sigelvax,sigelvax
gdc,rdgt.0,3918,4279,sigelvax,3939,3942,ich,sigelvax
gdc,rdgt.0,4305,4444,_stage,4305,4312,Kulican,kulican
gdc,rdgt.0,4305,4444,_stage,4333,4340,Mortong,mortong
gdc,rdgt.0,4446,5168,kulican,4573,4580,Kulican,kulican
gdc,rdgt.0,4446,5168,kulican,4647,4650,ich,kulican
gdc,rdgt.0,4446,5168,kulican,4667,4670,Ich,kulican
gdc,rdgt.0,4446,5168,kulican,4824,4829,Cyrus,cyrus
gdc,rdgt.0,4446,5168,kulican,4905,4910,meine,kulican
gdc,rdgt.0,4446,5168,kulican,5039,5046,Mortong,mortong
gdc,rdgt.0,4446,5168,kulican,5070,5076,meiner,kulican
gdc,rdgt.0,5172,5236,mortong,5213,5218,meine,mortong
gdc,rdgt.0,5590,5684,kulican,5599,5602,Mir,kulican
gdc,rdgt.0,5743,5782,_stage,5764,5771,Kulican,kulican
gdc,rdgt.0,5786,6006,kulican,5810,5813,ich,kulican
gdc,rdgt.0,5786,6006,kulican,5864,5867,Ich,kulican
gdc,rdgt.0,5786,6006,kulican,5890,5896,meinem,kulican
gdc,rdgt.0,5786,6006,kulican,5931,5934,mir,kulican
gdc,rdgt.0,5786,6006,kulican,5944,5948,mein,kulican
gdc,rdgt.0,5962,6006,_stage,5982,5989,Kulican,kulican
gdc,rdgt.0,6011,6135,mortong,6063,6066,mir,mortong
gdc,rdgt.0,6011,6135,mortong,6088,6091,ich,mortong
gdc,rdgt.0,6011,6135,mortong,6107,6110,ich,mortong
gdc,rdgt.0,6141,6842,kulican,6181,6186,meine,kulican
gdc,rdgt.0,6141,6842,kulican,6222,6226,mein,kulican
gdc,rdgt.0,6141,6842,kulican,6242,6246,mein,kulican
gdc,rdgt.0,6141,6842,kulican,6281,6284,mir,kulican
gdc,rdgt.0,6141,6842,kulican,6295,6299,mich,kulican
gdc,rdgt.0,6141,6842,kulican,6324,6330,meiner,kulican
gdc,rdgt.0,6141,6842,kulican,6350,6353,ich,kulican
gdc,rdgt.0,6141,6842,kulican,6404,6411,Pumphia,pumphia
gdc,rdgt.0,6141,6842,kulican,6444,6451,Kulican,kulican
gdc,rdgt.0,6141,6842,kulican,6484,6487,ich,kulican
gdc,rdgt.0,6141,6842,kulican,6499,6503,mein,kulican
gdc,rdgt.0,6141,6842,kulican,6516,6520,Mein,kulican
gdc,rdgt.0,6141,6842,kulican,6535,6539,mein,kulican
gdc,rdgt.0,6141,6842,kulican,6588,6591,ich,kulican
gdc,rdgt.0,6141,6842,kulican,6592,6596,mich,kulican
gdc,rdgt.0,6600,6692,_stage,6600,6607,Kulican,kulican
gdc,rdgt.0,6141,6842,kulican,6710,6714,mein,kulican
gdc,rdgt.0,6722,6780,_stage,6722,6729,Kulican,kulican
gdc,rdgt.0,6141,6842,kulican,6823,6826,ich,kulican
gdc,rdgt.0,6847,7116,mortong,6988,6991,ich,mortong
gdc,rdgt.0,6847,7116,mortong,7041,7044,ich,mortong
gdc,rdgt.0,7122,7182,kulican,7145,7148,mir,kulican
gdc,rdgt.0,7122,7182,kulican,7149,7153,mein,kulican
gdc,rdgt.0,7186,7290,mortong,7223,7226,ich,mortong
gdc,rdgt.0,7296,7352,kulican,7309,7312,mir,kulican
gdc,rdgt.0,7296,7352,kulican,7313,7317,mein,kulican
gdc,rdgt.0,7356,7466,mortong,7446,7449,ich,mortong
gdc,rdgt.0,7540,7605,mortong,7549,7553,Mein,mortong
gdc,rdgt.0,7609,7755,kulican,7652,7655,ich,kulican
gdc,rdgt.0,7609,7755,kulican,7671,7675,Mein,kulican
gdc,rdgt.0,7727,7755,_stage,7727,7734,Kulican,kulican
gdc,rdgt.0,7759,7819,mortong,7780,7783,ich,mortong
gdc,rdgt.0,7858,7892,_stage,7858,7865,Mortong,mortong
gdc,rdgt.0,7824,8078,kulican,7894,7897,Ich,kulican
gdc,rdgt.0,7972,8078,_stage,8059,8066,Pumphia,pumphia
gdc,rdgt.0,8103,8165,_stage,8103,8110,Pumphia,pumphia
gdc,rdgt.0,8167,9464,pumphia,8413,8419,meiner,pumphia
gdc,rdgt.0,8167,9464,pumphia,8463,8469,meiner,pumphia
gdc,rdgt.0,8167,9464,pumphia,8510,8516,meiner,pumphia
gdc,rdgt.0,8167,9464,pumphia,8630,8633,mir,pumphia
gdc,rdgt.0,8167,9464,pumphia,8679,8683,mich,pumphia
gdc,rdgt.0,8167,9464,pumphia,8758,8764,meinen,pumphia
gdc,rdgt.0,8167,9464,pumphia,8789,8792,ich,pumphia
gdc,rdgt.0,8167,9464,pumphia,8837,8844,Kulican,kulican
gdc,rdgt.0,8167,9464,pumphia,8860,8864,mich,pumphia
gdc,rdgt.0,8167,9464,pumphia,8889,8895,meiner,pumphia
gdc,rdgt.0,8167,9464,pumphia,8902,8906,mich,pumphia
gdc,rdgt.0,8167,9464,pumphia,8998,9005,Pumphia,pumphia
gdc,rdgt.0,8167,9464,pumphia,9055,9058,ich,pumphia
gdc,rdgt.0,8167,9464,pumphia,9063,9067,mein,pumphia
gdc,rdgt.0,8167,9464,pumphia,9068,9077,Faustibus,faustibus
gdc,rdgt.0,8167,9464,pumphia,9126,9129,mir,pumphia
gdc,rdgt.0,8167,9464,pumphia,9161,9165,mein,pumphia
gdc,rdgt.0,8167,9464,pumphia,9223,9227,mein,pumphia
gdc,rdgt.0,8167,9464,pumphia,9297,9301,Mein,pumphia
gdc,rdgt.0,8167,9464,pumphia,9328,9333,meine,pumphia
gdc,rdgt.0,8167,9464,pumphia,9359,9362,ich,pumphia
gdc,rdgt.0,9392,9464,_stage,9392,9399,Kulican,kulican
gdc,rdgt.0,9468,9526,kulican,9521,9525,mich,kulican
