corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rfct.0,50869,50925,_stage,50869,50879,Schladritz,schladritz
gdc,rfct.0,50869,50925,_stage,50881,50895,Frau Gottsched,frau_gottsched
gdc,rfct.0,50869,50925,_stage,50886,50895,Gottsched,gottsched
gdc,rfct.0,50869,50925,_stage,50898,50907,Gottsched,gottsched
gdc,rfct.0,51035,51139,gottsched,51088,51098,Schladritz,schladritz
gdc,rfct.0,51035,51139,gottsched,51104,51108,mein,gottsched
gdc,rfct.0,51144,51220,frau_gottsched,51209,51218,Gottsched,gottsched
gdc,rfct.0,51225,51343,gottsched,51262,51272,Schladritz,schladritz
gdc,rfct.0,51225,51343,gottsched,51274,51280,meines,gottsched
gdc,rfct.0,51516,51650,schladritz,51528,51531,Ich,schladritz
gdc,rfct.0,51516,51650,schladritz,51539,51543,mich,schladritz
gdc,rfct.0,51655,51701,gottsched,51674,51678,mein,gottsched
gdc,rfct.0,51706,52392,schladritz,51894,51898,mich,schladritz
gdc,rfct.0,51706,52392,schladritz,52041,52044,ich,schladritz
gdc,rfct.0,51706,52392,schladritz,52132,52135,ich,schladritz
gdc,rfct.0,51706,52392,schladritz,52172,52175,ich,schladritz
gdc,rfct.0,52520,52599,_stage,52538,52548,Schladritz,schladritz
gdc,rfct.0,52505,53009,frau_gottsched,52618,52628,Schladritz,schladritz
gdc,rfct.0,52505,53009,frau_gottsched,52662,52672,Schladritz,schladritz
gdc,rfct.0,52505,53009,frau_gottsched,52819,52828,Gottsched,gottsched
gdc,rfct.0,53130,53220,frau_gottsched,53176,53183,Gellert,gellert
gdc,rfct.0,53225,53368,gottsched,53292,53298,meinen,gottsched
gdc,rfct.0,53445,53519,_stage,53445,53454,Gottsched,gottsched
gdc,rfct.0,53445,53519,_stage,53467,53481,Frau Gottsched,frau_gottsched
gdc,rfct.0,53445,53519,_stage,53472,53481,Gottsched,gottsched
gdc,rfct.0,53445,53519,_stage,53483,53493,Graf Bolza,bolza
gdc,rfct.0,53445,53519,_stage,53502,53512,Schladritz,schladritz
gdc,rfct.0,53532,53677,_stage,53574,53584,Schladritz,schladritz
gdc,rfct.0,53532,53677,_stage,53645,53659,Frau Gottsched,frau_gottsched
gdc,rfct.0,53532,53677,_stage,53650,53659,Gottsched,gottsched
gdc,rfct.0,53733,53880,frau_gottsched,53840,53850,Graf Bolza,bolza
gdc,rfct.0,53885,53938,bolza,53900,53904,mein,bolza
gdc,rfct.0,53885,53938,bolza,53927,53930,mir,bolza
gdc,rfct.0,53943,54082,frau_gottsched,54021,54027,meinen,frau_gottsched
gdc,rfct.0,54087,54136,bolza,54123,54126,ich,bolza
gdc,rfct.0,54501,55070,bolza,54554,54560,meines,bolza
gdc,rfct.0,54501,55070,bolza,54574,54588,Prinz Heinrich,prinz
gdc,rfct.0,54501,55070,bolza,54806,54810,mich,bolza
gdc,rfct.0,54501,55070,bolza,54838,54842,mich,bolza
gdc,rfct.0,54501,55070,bolza,54965,54968,mir,bolza
gdc,rfct.0,54501,55070,bolza,55045,55051,meiner,bolza
gdc,rfct.0,55335,55686,bolza,55342,55345,Ich,bolza
gdc,rfct.0,55335,55686,bolza,55369,55372,ich,bolza
gdc,rfct.0,55335,55686,bolza,55377,55381,mich,bolza
gdc,rfct.0,55335,55686,bolza,55435,55439,mein,bolza
gdc,rfct.0,55335,55686,bolza,55451,55455,mich,bolza
gdc,rfct.0,55335,55686,bolza,55469,55475,Meines,bolza
gdc,rfct.0,55335,55686,bolza,55547,55552,meine,bolza
gdc,rfct.0,55335,55686,bolza,55630,55633,ich,bolza
gdc,rfct.0,55335,55686,bolza,55654,55659,meine,bolza
gdc,rfct.0,55766,55822,bolza,55803,55806,ich,bolza
gdc,rfct.0,55827,56451,frau_gottsched,55843,55847,Mein,frau_gottsched
gdc,rfct.0,55827,56451,frau_gottsched,56132,56135,ich,frau_gottsched
gdc,rfct.0,56456,56993,bolza,56474,56479,meine,bolza
gdc,rfct.0,56456,56993,bolza,56602,56608,meinen,bolza
gdc,rfct.0,56456,56993,bolza,56623,56627,mich,bolza
gdc,rfct.0,56456,56993,bolza,56904,56907,ich,bolza
gdc,rfct.0,56456,56993,bolza,56970,56974,mich,bolza
gdc,rfct.0,57196,57845,bolza,57506,57510,mich,bolza
gdc,rfct.0,57196,57845,bolza,57592,57597,meine,bolza
gdc,rfct.0,57196,57845,bolza,57615,57618,ich,bolza
gdc,rfct.0,57196,57845,bolza,57626,57630,mich,bolza
gdc,rfct.0,57196,57845,bolza,57666,57670,mich,bolza
gdc,rfct.0,57196,57845,bolza,57700,57704,mein,bolza
gdc,rfct.0,57196,57845,bolza,57766,57769,ich,bolza
gdc,rfct.0,57196,57845,bolza,57803,57806,ich,bolza
gdc,rfct.0,57850,57982,frau_gottsched,57961,57970,Gottsched,gottsched
gdc,rfct.0,57850,57982,frau_gottsched,57972,57981,Gottsched,gottsched
gdc,rfct.0,58018,58073,frau_gottsched,58063,58072,Gottsched,gottsched
gdc,rfct.0,58078,58175,gottsched,58154,58157,Ich,gottsched
gdc,rfct.0,58248,58377,frau_gottsched,58301,58304,ich,frau_gottsched
