corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,rfct.0,50316,50853,_Stage,_Stage,Geschlossenes,ADJA,geschlossen,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Zimmer,NN,zimmer,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,mit,APPR,mit,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Mitteltür,NN,mitteltür,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,und,KON,und,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,drei,CARD,drei,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seitentüren,NN,seitentüre,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,.,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Links,ADJD,links,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ganz,ADV,ganz,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,im,APPRART,in,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Vordergrunde,NN,vordergrunde,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ein,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Sofa,NN,sofa,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,alten,ADJA,alt,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Stils,NN,stil,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,;,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,vor,APPR,vor,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,diesem,PDAT,dieser,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Sofa,NN,sofa,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ein,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,kleiner,ADJA,klein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Tisch,NN,tisch,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,mit,APPR,mit,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,erhabenen,ADJA,erhaben,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Rändern,NN,rand,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,an,APPR,an,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,den,ART,der,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,drei,CARD,drei,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Außenseiten,NN,außenseit,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,",","$,",--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,also,ADV,also,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ein,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,offener,ADJA,offen,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Schreibtisch,NN,schreibtisch,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,",","$,",--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,auf,APPR,auf,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,welchem,PRELS,welcher,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,einige,PIAT,einiger,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Bücher,NN,buch,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,",","$,",--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Papier,NN,papier,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,und,KON,und,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Schreibzeug,NN,schreibzeug,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,.,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Zwei,CARD,zwei,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Kulissen,NN,kulisse,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,tiefer,ADJD,tief,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,auf,APPR,auf,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,derselben,PDAT,derselbe,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,linken,ADJA,linker,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seite,NN,seite,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,eine,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seitentür,NN,seitentür,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,.,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Rechts,ADV,rechts,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,in,APPR,in,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,der,ART,der,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ersten,ADJA,erster,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Kulisse,NN,kulisse,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,eine,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seitentür,NN,seitentür,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,;,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,in,APPR,in,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,der,ART,der,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,zweiten,ADJA,zweiter,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,ebenfalls,ADV,ebenfalls,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,eine,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seitentür,NN,seitentür,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,",","$,",--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,gegenüber,APPR,gegenüber,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,der,ART,der,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seitentür,NN,seitentür,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,auf,APPR,auf,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,der,ART,der,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,[,ADJA,[,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,30,CARD,30,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,],NN,],42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,linken,ADJA,linker,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Seite,NN,seite,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,.,$.,--,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Ein,ART,ein,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,Speisetisch,NN,speisetisch,42595,,
gdc,rfct.0,50316,50853,_Stage,_Stage,links,ADV,links,42595,,
