corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,Du,PPER,du,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,",","$,",--,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,die,PDS,der,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,ist,VAFIN,sein,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,noch,ADV,noch,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,nicht,PTKNEG,nicht,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,aufgestanden,VVPP,aufgestehen,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,",","$,",--,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,du,PPER,du,16832,,
gdc,rfn5.0,3876,3957,Ambrosia,ambrosia,.,$.,--,16832,,
gdc,rfn5.0,3962,4081,Achatius Achaz,achatius_achaz,Wer,PWS,wer,16832,,
gdc,rfn5.0,3962,4081,Achatius Achaz,achatius_achaz,?,$.,--,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,Na,ITJ,na,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,",","$,",--,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,die,ART,der,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,Neue,NN,neu,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,.,$.,--,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,Aber,KON,aber,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,jetzt,ADV,jetzt,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,",","$,",--,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,jetzt,ADV,jetzt,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,.,$.,--,16832,,
gdc,rfn5.0,4086,4335,Ambrosia,ambrosia,Hörst,NN,hörst,16832,,
