corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rjqs.0,232,1592,philotas,249,252,ich,philotas
gdc,rjqs.0,232,1592,philotas,306,312,meiner,philotas
gdc,rjqs.0,232,1592,philotas,356,360,mein,philotas
gdc,rjqs.0,232,1592,philotas,389,392,ich,philotas
gdc,rjqs.0,232,1592,philotas,393,397,mich,philotas
gdc,rjqs.0,232,1592,philotas,424,429,Meine,philotas
gdc,rjqs.0,232,1592,philotas,614,622,Philotas,philotas
gdc,rjqs.0,232,1592,philotas,629,632,ich,philotas
gdc,rjqs.0,232,1592,philotas,739,742,mir,philotas
gdc,rjqs.0,232,1592,philotas,873,877,mich,philotas
gdc,rjqs.0,232,1592,philotas,973,976,ich,philotas
gdc,rjqs.0,232,1592,philotas,982,985,ich,philotas
gdc,rjqs.0,232,1592,philotas,1011,1014,ich,philotas
gdc,rjqs.0,232,1592,philotas,1081,1084,Ich,philotas
gdc,rjqs.0,232,1592,philotas,1091,1094,ich,philotas
gdc,rjqs.0,232,1592,philotas,1160,1163,mir,philotas
gdc,rjqs.0,232,1592,philotas,1173,1176,mir,philotas
gdc,rjqs.0,232,1592,philotas,1206,1210,mich,philotas
gdc,rjqs.0,232,1592,philotas,1237,1241,mich,philotas
gdc,rjqs.0,232,1592,philotas,1271,1275,mich,philotas
gdc,rjqs.0,232,1592,philotas,1351,1355,mich,philotas
gdc,rjqs.0,232,1592,philotas,1549,1552,ich,philotas
gdc,rjqs.0,1617,1634,_stage,1617,1623,Strato,strato
gdc,rjqs.0,1617,1634,_stage,1625,1633,Philotas,philotas
gdc,rjqs.0,1656,1718,philotas,1698,1701,ich,philotas
gdc,rjqs.0,1723,1771,strato,1738,1741,ich,strato
gdc,rjqs.0,1777,2121,philotas,1787,1790,Ich,philotas
gdc,rjqs.0,1777,2121,philotas,1819,1822,ich,philotas
gdc,rjqs.0,1777,2121,philotas,1883,1886,mir,philotas
gdc,rjqs.0,1777,2121,philotas,2017,2023,meiner,philotas
gdc,rjqs.0,1777,2121,philotas,2056,2059,mir,philotas
gdc,rjqs.0,2126,2188,strato,2163,2166,ich,strato
