corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rjwv.0,316,353,_stage,316,321,Damis,damis
gdc,rjwv.0,316,353,_stage,347,352,Anton,anton
gdc,rjwv.0,500,806,anton,604,607,ich,anton
gdc,rjwv.0,500,806,anton,608,611,mir,anton
gdc,rjwv.0,500,806,anton,702,705,ich,anton
gdc,rjwv.0,811,902,damis,824,828,mein,damis
gdc,rjwv.0,811,902,damis,835,840,Anton,anton
gdc,rjwv.0,907,1199,anton,946,949,mir,anton
gdc,rjwv.0,907,1199,anton,985,988,ich,anton
gdc,rjwv.0,907,1199,anton,1035,1038,mir,anton
gdc,rjwv.0,907,1199,anton,1074,1078,mich,anton
gdc,rjwv.0,907,1199,anton,1109,1112,Ich,anton
gdc,rjwv.0,1391,1516,anton,1398,1401,Ich,anton
gdc,rjwv.0,1391,1516,anton,1436,1439,ich,anton
gdc,rjwv.0,1391,1516,anton,1477,1481,mein,anton
gdc,rjwv.0,1550,1660,anton,1617,1620,ich,anton
gdc,rjwv.0,1550,1660,anton,1621,1625,mich,anton
gdc,rjwv.0,1666,1751,damis,1709,1712,ich,damis
gdc,rjwv.0,1666,1751,damis,1727,1731,mich,damis
gdc,rjwv.0,1756,2215,anton,1819,1824,Anton,anton
gdc,rjwv.0,1756,2215,anton,1846,1849,mir,anton
gdc,rjwv.0,2220,2348,damis,2271,2276,Anton,anton
gdc,rjwv.0,2353,2766,anton,2418,2421,ich,anton
gdc,rjwv.0,2353,2766,anton,2553,2556,ich,anton
gdc,rjwv.0,2353,2766,anton,2660,2663,ich,anton
gdc,rjwv.0,2353,2766,anton,2696,2699,ich,anton
gdc,rjwv.0,2771,3001,damis,2913,2917,mein,damis
gdc,rjwv.0,2771,3001,damis,2925,2930,Anton,anton
gdc,rjwv.0,3006,3424,anton,3074,3080,meinem,anton
gdc,rjwv.0,3006,3424,anton,3165,3168,mir,anton
gdc,rjwv.0,3006,3424,anton,3259,3262,ich,anton
gdc,rjwv.0,3006,3424,anton,3285,3288,mir,anton
gdc,rjwv.0,3429,3888,damis,3561,3565,mein,damis
gdc,rjwv.0,3893,4041,anton,4018,4021,ich,anton
gdc,rjwv.0,4046,5764,damis,4131,4134,Ich,damis
