corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Klagen,NN,klage,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,nichts,PIS,nichts,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,als,KOKOM,als,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Klagen,NN,klage,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Bittschriften,NN,bittschrift,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,nichts,PIS,nichts,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,als,KOKOM,als,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Bittschriften,NN,bittschrift,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Die,ART,der,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,traurigen,ADJA,traurig,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Geschäfte,NN,geschäft,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,und,KON,und,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,man,PIS,man,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,beneidet,VVFIN,beneiden,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,uns,PPER,uns,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,noch,ADV,noch,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Das,PDS,der,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,glaub,VVFIN,glaub,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,',$(,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,wenn,KOUS,wenn,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,wir,PPER,wir,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,allen,PIS,aller,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,helfen,VVINF,helfen,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,könnten,VMFIN,können,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,:,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,dann,ADV,dann,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,wären,VAFIN,sein,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,wir,PPER,wir,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,zu,PTKZU,zu,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,beneiden,VVINF,beneiden,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Eine,ART,ein,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NN,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Aber,KON,aber,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,eine,ART,ein,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Bruneschi,NE,bruneschi,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,NE,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,nicht,PTKNEG,nicht,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Galotti,NE,galotti,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Nicht,PTKNEG,nicht,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Galotti,NE,galotti,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Was,PWS,was,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,will,VMFIN,wollen,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,sie,PPER,sie,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,diese,PDAT,dieser,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Bruneschi,NE,bruneschi,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Viel,PIS,viel,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,gefodert,VVPP,fodern,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,sehr,ADV,sehr,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,viel,PIS,viel,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Doch,KON,doch,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,sie,PPER,sie,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,heißt,VVFIN,heißen,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,419,1134,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Gewährt,NN,gewähren,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Es,PPER,es,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,ist,VAFIN,sein,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,wohl,ADV,wohl,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,noch,ADV,noch,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,keiner,PIS,keiner,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,von,APPR,von,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,den,ART,der,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Räten,NN,rat,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,in,APPR,in,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,dem,ART,der,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,Vorzimmer,NN,vorzimmer,27968,,
gdc,rksp.0,419,1134,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,1139,1162,Der Kammerdiener,der_kammerdiener,Nein,PTKANT,nein,27968,,
gdc,rksp.0,1139,1162,Der Kammerdiener,der_kammerdiener,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,habe,VAFIN,haben,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,zu,PTKA,zu,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,früh,ADJD,früh,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Tag,NN,tag,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,gemacht,VVPP,machen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Der,ART,der,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Morgen,NN,morgen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ist,VAFIN,sein,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,so,ADV,so,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,schön,ADJD,schön,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,will,VMFIN,wollen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ausfahren,VVINF,ausfahren,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Marchese,NE,marchese,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Marinelli,NE,marinelli,27968,marinelli,(3)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,soll,VMFIN,sollen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,mich,PPER,mich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,begleiten,VVINF,begleiten,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Laßt,VVIMP,lassen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ihn,PPER,ihn,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,rufen,VVINF,rufen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,kann,VMFIN,können,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,doch,ADV,doch,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,nicht,PTKNEG,nicht,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,mehr,ADV,mehr,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,arbeiten,VVINF,arbeiten,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,war,VAFIN,sein,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,so,ADV,so,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ruhig,ADJD,ruhig,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,bild,ADJD,bild,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,',$(,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,mir,PPER,sich,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ein,PTKVZ,ein,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,so,ADV,so,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ruhig,ADJD,ruhig,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,CARD,–,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Auf,APPR,auf,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,einmal,ADV,einmal,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,muß,VMFIN,müssen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,eine,ART,ein,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,arme,ADJA,arm,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Bruneschi,NE,bruneschi,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Emilia,NE,emilia,27968,emilia,(9)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,heißen,VVINF,heißen,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,weg,ADV,weg,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,ist,VAFIN,sein,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,meine,PPOSAT,mein,27968,der_prinz,(0)
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,Ruhe,NN,ruhe,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,",","$,",--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,und,KON,und,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,alles,PIS,alle,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,"!",$.,--,27968,,
gdc,rksp.0,1167,1509,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Nach,APPR,nach,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,dem,ART,der,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Marchese,NN,marchese,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,ist,VAFIN,sein,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,geschickt,VVPP,schicken,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,.,$.,--,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Und,KON,und,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,hier,ADV,hier,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,",","$,",--,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,ein,ART,ein,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Brief,NN,brief,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,von,APPR,von,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,der,ART,der,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Gräfin,NE,gräfin,27968,,
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,Orsina,NE,orsina,27968,orsina,(12)
gdc,rksp.0,1514,1635,Der Kammerdiener,der_kammerdiener,.,$.,--,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,Der,ART,der,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,Orsina,NE,orsina,27968,orsina,(12)
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,Legt,VVFIN,legen,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,ihn,PPER,ihn,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,hin,PTKVZ,hin,27968,,
gdc,rksp.0,1640,1676,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1681,1717,Der Kammerdiener,der_kammerdiener,Ihr,PPOSAT,ihr,27968,,
gdc,rksp.0,1681,1717,Der Kammerdiener,der_kammerdiener,Läufer,NN,läufer,27968,,
gdc,rksp.0,1681,1717,Der Kammerdiener,der_kammerdiener,wartet,VVFIN,warten,27968,,
gdc,rksp.0,1681,1717,Der Kammerdiener,der_kammerdiener,.,$.,--,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,Ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,will,VMFIN,wollen,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,die,ART,der,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,Antwort,NN,antwort,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,senden,VVINF,senden,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,wenn,KOUS,wenn,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,es,PPER,es,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,einer,PIS,ein,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,bedarf,VVFIN,bedürfen,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,–,XY,–,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,Wo,PWAV,wo,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,ist,VAFIN,sein,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,sie,PPER,sie,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,In,APPR,in,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,der,ART,der,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,Stadt,NN,stadt,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,oder,KON,oder,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,auf,APPR,auf,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,ihrer,PPOSAT,ihr,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,Villa,NN,villa,27968,,
gdc,rksp.0,1722,1833,Der Prinz,der_prinz,?,$.,--,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,Sie,PPER,sie,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,ist,VAFIN,sein,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,gestern,ADV,gestern,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,in,APPR,in,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,die,ART,der,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,Stadt,NN,stadt,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,gekommen,VVPP,kommen,27968,,
gdc,rksp.0,1839,1895,Der Kammerdiener,der_kammerdiener,.,$.,--,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,Desto,ADV,desto,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,schlimmer,ADJD,schlimm,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,–,CARD,–,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,besser,ADJD,gut,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,;,$.,--,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,wollt,VMFIN,wollen,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,',$(,--,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,ich,PPER,ich,27968,der_prinz,(0)
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,sagen,VVINF,sagen,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,.,$.,--,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,So,ADV,so,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,braucht,VVFIN,brauchen,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,der,ART,der,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,Läufer,NN,läufer,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,um,KOUI,um,27968,,
gdc,rksp.0,1900,2274,Der Prinz,der_prinz,so,ADV,so,27968,,
