corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rktc.0,241,268,_stage,241,253,Michel Stich,michel_stich
gdc,rktc.0,241,268,_stage,255,267,Martin Krumm,martin_krumm
gdc,rktc.0,270,307,martin_krumm,294,306,Michel Stich,michel_stich
gdc,rktc.0,312,349,michel_stich,336,348,Martin Krumm,martin_krumm
gdc,rktc.0,505,822,michel_stich,711,714,ich,michel_stich
gdc,rktc.0,955,1363,michel_stich,1161,1164,Ich,michel_stich
gdc,rktc.0,1368,1530,martin_krumm,1392,1395,ich,martin_krumm
gdc,rktc.0,1368,1530,martin_krumm,1410,1414,Mein,martin_krumm
gdc,rktc.0,1368,1530,martin_krumm,1425,1429,mein,martin_krumm
gdc,rktc.0,1368,1530,martin_krumm,1494,1497,Ich,martin_krumm
gdc,rktc.0,1368,1530,martin_krumm,1505,1509,mich,martin_krumm
gdc,rktc.0,1368,1530,martin_krumm,1510,1516,meiner,martin_krumm
gdc,rktc.0,1706,2047,martin_krumm,1887,1890,ich,martin_krumm
gdc,rktc.0,1706,2047,martin_krumm,1891,1895,mich,martin_krumm
gdc,rktc.0,1706,2047,martin_krumm,2013,2016,ich,martin_krumm
gdc,rktc.0,1706,2047,martin_krumm,2022,2026,mein,martin_krumm
gdc,rktc.0,2115,2142,_stage,2115,2127,Martin Krumm,martin_krumm
gdc,rktc.0,2115,2142,_stage,2129,2141,Der Reisende,der_reisende
gdc,rktc.0,2144,2320,martin_krumm,2158,2161,Ich,martin_krumm
gdc,rktc.0,2144,2320,martin_krumm,2167,2171,mich,martin_krumm
gdc,rktc.0,2144,2320,martin_krumm,2216,2220,mein,martin_krumm
gdc,rktc.0,2144,2320,martin_krumm,2231,2234,ich,martin_krumm
gdc,rktc.0,2144,2320,martin_krumm,2241,2253,Martin Krumm,martin_krumm
gdc,rktc.0,2325,2418,der_reisende,2350,2353,ich,der_reisende
gdc,rktc.0,2325,2418,der_reisende,2360,2364,mein,der_reisende
gdc,rktc.0,2325,2418,der_reisende,2393,2399,meinen,der_reisende
gdc,rktc.0,2423,2862,martin_krumm,2465,2468,ich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2567,2571,mich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2582,2585,ich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2767,2770,ich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2798,2802,mich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2814,2820,meines,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2850,2853,ich,martin_krumm
gdc,rktc.0,2423,2862,martin_krumm,2854,2858,mich,martin_krumm
gdc,rktc.0,2867,2982,der_reisende,2881,2884,Ich,der_reisende
gdc,rktc.0,2867,2982,der_reisende,2927,2930,mir,der_reisende
gdc,rktc.0,2867,2982,der_reisende,2945,2948,ich,der_reisende
gdc,rktc.0,3079,3164,martin_krumm,3101,3104,ich,martin_krumm
gdc,rktc.0,3169,3820,der_reisende,3190,3193,mir,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3223,3226,ich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3227,3230,mir,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3386,3389,ich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3439,3443,mich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3458,3463,meine,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3482,3485,ich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3635,3638,mir,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3657,3660,mir,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3729,3732,ich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3733,3737,mich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3779,3782,ich,der_reisende
gdc,rktc.0,3169,3820,der_reisende,3808,3812,mein,der_reisende
gdc,rktc.0,3825,4226,martin_krumm,3858,3862,mein,martin_krumm
gdc,rktc.0,3825,4226,martin_krumm,3874,3877,ich,martin_krumm
gdc,rktc.0,3825,4226,martin_krumm,3900,3903,Ich,martin_krumm
gdc,rktc.0,3825,4226,martin_krumm,3909,3915,meinen,martin_krumm
gdc,rktc.0,3825,4226,martin_krumm,3928,3932,mich,martin_krumm
gdc,rktc.0,3825,4226,martin_krumm,3986,3989,ich,martin_krumm
gdc,rktc.0,4231,4542,der_reisende,4245,4248,Ich,der_reisende
gdc,rktc.0,4231,4542,der_reisende,4412,4415,Ich,der_reisende
gdc,rktc.0,4231,4542,der_reisende,4486,4490,mich,der_reisende
gdc,rktc.0,4231,4542,der_reisende,4496,4499,ich,der_reisende
gdc,rktc.0,4231,4542,der_reisende,4506,4512,meinem,der_reisende
gdc,rktc.0,4573,4625,der_reisende,4587,4590,Ich,der_reisende
gdc,rktc.0,4817,4943,der_reisende,4933,4936,ich,der_reisende
gdc,rktc.0,5052,5133,der_reisende,5075,5078,ich,der_reisende
gdc,rktc.0,5138,5246,martin_krumm,5172,5175,mir,martin_krumm
gdc,rktc.0,5138,5246,martin_krumm,5213,5216,Ich,martin_krumm
gdc,rktc.0,5138,5246,martin_krumm,5223,5226,ich,martin_krumm
gdc,rktc.0,5251,5566,der_reisende,5314,5318,mich,der_reisende
gdc,rktc.0,5251,5566,der_reisende,5419,5422,Ich,der_reisende
gdc,rktc.0,5251,5566,der_reisende,5517,5520,ich,der_reisende
gdc,rktc.0,5251,5566,der_reisende,5543,5546,ich,der_reisende
gdc,rktc.0,5661,5790,martin_krumm,5675,5678,Ich,martin_krumm
gdc,rktc.0,5661,5790,martin_krumm,5761,5764,ich,martin_krumm
gdc,rktc.0,5795,6194,der_reisende,5809,5812,Ich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,5879,5883,mich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,5904,5908,mich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,5949,5953,mich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,5994,5997,Ich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,6022,6027,meine,der_reisende
gdc,rktc.0,5795,6194,der_reisende,6101,6104,ich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,6105,6109,mich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,6173,6176,ich,der_reisende
gdc,rktc.0,5795,6194,der_reisende,6177,6183,meinen,der_reisende
gdc,rktc.0,6199,6461,martin_krumm,6250,6253,mir,martin_krumm
gdc,rktc.0,6199,6461,martin_krumm,6322,6325,ich,martin_krumm
gdc,rktc.0,6199,6461,martin_krumm,6368,6371,mir,martin_krumm
gdc,rktc.0,6466,6866,der_reisende,6661,6664,ich,der_reisende
gdc,rktc.0,6466,6866,der_reisende,6742,6745,ich,der_reisende
gdc,rktc.0,6871,7764,martin_krumm,6903,6906,ich,martin_krumm
gdc,rktc.0,6871,7764,martin_krumm,7152,7155,Ich,martin_krumm
gdc,rktc.0,6871,7764,martin_krumm,7181,7184,ich,martin_krumm
gdc,rktc.0,6871,7764,martin_krumm,7638,7642,mein,martin_krumm
