corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,s6kj.0,600,29687,0,948,2964,0
gdc,s6kj.0,600,29687,0,2972,5597,0
gdc,s6kj.0,600,29687,0,5603,8973,0
gdc,s6kj.0,600,29687,0,8980,11024,0
gdc,s6kj.0,600,29687,0,11030,15179,0
gdc,s6kj.0,600,29687,0,15187,17269,0
gdc,s6kj.0,600,29687,0,17275,18988,0
gdc,s6kj.0,600,29687,0,18997,20434,0
gdc,s6kj.0,600,29687,0,20442,23896,0
gdc,s6kj.0,600,29687,0,23905,24616,0
gdc,s6kj.0,600,29687,0,24622,26877,0
gdc,s6kj.0,600,29687,0,26881,29687,0
gdc,s6kj.0,29693,65274,0,29781,34087,0
gdc,s6kj.0,29693,65274,0,34095,35838,0
gdc,s6kj.0,29693,65274,0,35845,36075,0
gdc,s6kj.0,29693,65274,0,36082,37229,0
gdc,s6kj.0,29693,65274,0,37236,44225,0
gdc,s6kj.0,29693,65274,0,44231,45495,0
gdc,s6kj.0,29693,65274,0,45502,52441,0
gdc,s6kj.0,29693,65274,0,52448,53372,0
gdc,s6kj.0,29693,65274,0,53379,53888,0
gdc,s6kj.0,29693,65274,0,53895,55268,0
gdc,s6kj.0,29693,65274,0,55276,57109,0
gdc,s6kj.0,29693,65274,0,57113,57371,0
gdc,s6kj.0,29693,65274,0,57379,60071,0
gdc,s6kj.0,29693,65274,0,60078,61245,0
gdc,s6kj.0,29693,65274,0,61252,65274,0
gdc,s6kj.0,65282,86212,0,65337,67712,0
gdc,s6kj.0,65282,86212,0,67719,68962,0
gdc,s6kj.0,65282,86212,0,68969,69292,0
gdc,s6kj.0,65282,86212,0,69298,69743,0
gdc,s6kj.0,65282,86212,0,69749,72226,0
gdc,s6kj.0,65282,86212,0,72233,77359,0
gdc,s6kj.0,65282,86212,0,77366,77595,0
gdc,s6kj.0,65282,86212,0,77602,77890,0
gdc,s6kj.0,65282,86212,0,77897,83444,0
gdc,s6kj.0,65282,86212,0,83449,83952,0
gdc,s6kj.0,65282,86212,0,83959,86212,0
