corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,Frenz,NE,frenz,12323,frenz,(3)
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,"!",$.,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,Frenz,NE,frenz,12323,frenz,(3)
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,"!",$.,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,–,XY,–,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,dreimol,CARD,dreimol,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,hot,XY,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,',$(,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,s,PPER,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,schond,ADJD,schond,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,geschellt,VVPP,geschellt,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,–,CARD,–,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,heert,VVFIN,heeren,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,se,FM,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,dann,ADV,dann,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,gar,ADV,gar,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,nix,ADJD,nix,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,"!",$.,--,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,Mer,NE,mer,12323,,
gdc,s8br.0,694,925,Madame Hammel,madame_hammel,meent,VVFIN,meent,12323,,
