corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Ich,PPER,ich,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,bin,VAFIN,sein,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,der,ART,der,19165,SCHEIK,scheik
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Scheik,NN,scheik,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,der,ART,der,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,tapfern,ADJA,tapfern,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Ān'allāh,NN,ān'allāh,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,",","$,",--,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Bin,NE,sein,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,euer,ADJD,eu,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Scheik,NN,scheik,19165,SCHEIK,scheik
gdc,s9j7.0,16922,17019,SCHEIK,scheik,",","$,",--,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,bin,VAFIN,sein,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,euer,ADJD,eu,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Herr,NN,herr,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,und,KON,und,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,Vater,NN,vater,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,–,XY,–,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,–,XY,–,19165,,
gdc,s9j7.0,16922,17019,SCHEIK,scheik,–,XY,–,19165,,
gdc,s9j7.0,17025,17090,ERSTER AELTESTER,erster_aeltester,Ein,ART,ein,19165,,
gdc,s9j7.0,17025,17090,ERSTER AELTESTER,erster_aeltester,strenger,ADJA,streng,19165,,
gdc,s9j7.0,17025,17090,ERSTER AELTESTER,erster_aeltester,Herr,NN,herr,19165,,
gdc,s9j7.0,17025,17090,ERSTER AELTESTER,erster_aeltester,zuweilen,ADV,zuweilen,19165,,
gdc,s9j7.0,17025,17090,ERSTER AELTESTER,erster_aeltester,"!",$.,--,19165,,
gdc,s9j7.0,17095,17585,SCHEIK,scheik,Meine,PPOSAT,mein,19165,,
gdc,s9j7.0,17095,17585,SCHEIK,scheik,Pflicht,NN,pflicht,19165,,
gdc,s9j7.0,17095,17585,SCHEIK,scheik,"!",$.,--,19165,,
gdc,s9j7.0,17095,17585,SCHEIK,scheik,Die,ART,der,19165,,
gdc,s9j7.0,17095,17585,SCHEIK,scheik,Zeit,NN,zeit,19165,,
