corpus,drama,figure_surface,figure_id,Gender,Age
gdc,ssrb.0,Nös,noes,MALE,
gdc,ssrb.0,Ourdal,ourdal,MALE,
gdc,ssrb.0,Erichson,erichson,MALE,
gdc,ssrb.0,Trabant (V/10–11),der_trabant_5-10_und_5-11,MALE,
gdc,ssrb.0,Eine andere Stimme,eine_andere_stimme,UNKNOWN,
gdc,ssrb.0,Das Volk (IV/6),das_volk,UNKNOWN,
gdc,ssrb.0,Biörneland,bioerneland,MALE,
gdc,ssrb.0,Alle (II/8),alle_2-8,UNKNOWN,
gdc,ssrb.0,Ein dänischer Ritter (II/2–3),ein_daenischer_ritter_2-2_und_2-3,MALE,
gdc,ssrb.0,Alf,alf,MALE,
gdc,ssrb.0,Einer aus dem Gefolge,einer_aus_dem_gefolge,MALE,
gdc,ssrb.0,Marduff,marduff,MALE,
gdc,ssrb.0,Yngurd,yngurd,MALE,
gdc,ssrb.0,Droll,droll,MALE,
gdc,ssrb.0,Biörnelands Heerhaufe,bioernelands_heerhaufe,MALE,
gdc,ssrb.0,Egrösund,egroesund,MALE,
gdc,ssrb.0,Brunhilde,brunhilde,FEMALE,
gdc,ssrb.0,Irma,irma,FEMALE,
gdc,ssrb.0,Der Knapp (II/4),der_knapp_2-4,MALE,
gdc,ssrb.0,Ein Knapp (III/4),ein_knapp_3-4,MALE,
gdc,ssrb.0,Gyldenbrog,gyldenbrog,MALE,
gdc,ssrb.0,Kurl,kurl,MALE,
gdc,ssrb.0,Ein dänischer Krieger,der_krieger,MALE,
gdc,ssrb.0,Jarl,jarl,MALE,
gdc,ssrb.0,Asla,asla,FEMALE,
gdc,ssrb.0,Oskar,oskar,MALE,
gdc,ssrb.0,Ein dänischer Ritter (II/7),ein_daenischer_ritter_2-7,MALE,
gdc,ssrb.0,Stimmen,fluechtlinge-stimmen,UNKNOWN,
gdc,ssrb.0,Der Ostländer,der_ostlaender,MALE,
gdc,ssrb.0,Ein Knappe (III/1),ein_knappe_3-1,MALE,
gdc,ssrb.0,Knaut,knaut,MALE,
gdc,ssrb.0,Ein dänischer Ritter (V/16),ein_daenischer_ritter_5-16,MALE,
gdc,ssrb.0,Der Trabant (I/1),der_trabant_1-1,MALE,
gdc,ssrb.0,Eine Stimme (V/15),eine_stimme_5-15,UNKNOWN,
gdc,ssrb.0,Stimmen/Andere Stimmen/Noch andere (II/5),stimmen-andere_stimmen-noch_andere,UNKNOWN,
gdc,ssrb.0,Alle/Allgemeiner Ruf (V/17),alle-allgemeiner_ruf_5-17,MALE,
gdc,ssrb.0,Trabant (V/7),trabant_5-7,MALE,
