corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,ssrf.0,849,20399,0,936,2903,0
gdc,ssrf.0,849,20399,0,2909,10097,0
gdc,ssrf.0,849,20399,0,10105,10356,0
gdc,ssrf.0,849,20399,0,10363,11308,0
gdc,ssrf.0,849,20399,0,11315,12357,0
gdc,ssrf.0,849,20399,0,12364,15340,0
gdc,ssrf.0,849,20399,0,15348,16637,0
gdc,ssrf.0,849,20399,0,16645,18752,0
gdc,ssrf.0,849,20399,0,18759,20399,0
gdc,ssrf.0,20405,42761,0,20435,29079,0
gdc,ssrf.0,20405,42761,0,29085,29366,0
gdc,ssrf.0,20405,42761,0,29372,31078,0
gdc,ssrf.0,20405,42761,0,31087,35953,0
gdc,ssrf.0,20405,42761,0,35961,42761,0
gdc,ssrf.0,42767,67778,0,42958,48760,0
gdc,ssrf.0,42767,67778,0,48766,54320,0
gdc,ssrf.0,42767,67778,0,54328,67778,0
gdc,ssrf.0,67784,104692,0,67920,69553,0
gdc,ssrf.0,67784,104692,0,69559,69797,0
gdc,ssrf.0,67784,104692,0,69806,75773,0
gdc,ssrf.0,67784,104692,0,75779,84451,0
gdc,ssrf.0,67784,104692,0,84457,85377,0
gdc,ssrf.0,67784,104692,0,85383,89324,0
gdc,ssrf.0,67784,104692,0,89330,93674,0
gdc,ssrf.0,67784,104692,0,93680,96362,0
gdc,ssrf.0,67784,104692,0,96369,99529,0
gdc,ssrf.0,67784,104692,0,99536,101738,0
gdc,ssrf.0,67784,104692,0,101744,104692,0
