corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,stqr.0,960,1040,_stage,960,972,Nachtwächter,nachtwaechter
gdc,stqr.0,960,1040,_stage,974,981,Pemperl,pemperl
gdc,stqr.0,960,1040,_stage,983,997,Schabenfellner,schabenfellner
gdc,stqr.0,1815,1942,schabenfellner,1831,1834,Mir,schabenfellner
gdc,stqr.0,1815,1942,schabenfellner,1870,1873,ich,schabenfellner
gdc,stqr.0,2222,2283,pemperl,2238,2241,ich,pemperl
gdc,stqr.0,2308,2338,_stage,2308,2313,Klaus,klaus
gdc,stqr.0,2340,2390,klaus,2367,2372,meine,klaus
gdc,stqr.0,2408,2425,_stage,2417,2424,Pemperl,pemperl
gdc,stqr.0,2469,2492,_stage,2479,2491,Nachtwächter,nachtwaechter
gdc,stqr.0,2544,2621,klaus,2551,2554,Ich,klaus
gdc,stqr.0,2669,2809,klaus,2743,2746,ich,klaus
gdc,stqr.0,2914,2983,klaus,2966,2969,ich,klaus
gdc,stqr.0,2988,3098,pemperl,3069,3081,Nachtwächter,nachtwaechter
gdc,stqr.0,3103,3176,nachtwaechter,3123,3126,ich,nachtwaechter
gdc,stqr.0,3103,3176,nachtwaechter,3150,3153,ich,nachtwaechter
gdc,stqr.0,3192,3257,_stage,3217,3222,Klaus,klaus
gdc,stqr.0,3328,3348,_stage,3328,3340,Nachtwächter,nachtwaechter
gdc,stqr.0,3328,3348,_stage,3342,3347,Klaus,klaus
gdc,stqr.0,3521,3596,klaus,3560,3564,mich,klaus
gdc,stqr.0,3602,3695,nachtwaechter,3616,3619,Ich,nachtwaechter
gdc,stqr.0,3602,3695,nachtwaechter,3624,3629,meine,nachtwaechter
gdc,stqr.0,3602,3695,nachtwaechter,3657,3660,ich,nachtwaechter
gdc,stqr.0,4008,4086,nachtwaechter,4028,4041,Bürgermeister,buergermeister
gdc,stqr.0,4393,4486,klaus,4416,4419,ich,klaus
gdc,stqr.0,4491,4584,nachtwaechter,4505,4509,Mein,nachtwaechter
gdc,stqr.0,4491,4584,nachtwaechter,4572,4575,mir,nachtwaechter
gdc,stqr.0,4659,4762,klaus,4675,4678,ich,klaus
gdc,stqr.0,4840,4924,klaus,4897,4909,Nachtwächter,nachtwaechter
gdc,stqr.0,4929,4968,nachtwaechter,4961,4966,Klaus,klaus
gdc,stqr.0,4973,5134,klaus,4994,4997,ich,klaus
gdc,stqr.0,4973,5134,klaus,5023,5028,meine,klaus
gdc,stqr.0,5139,5304,nachtwaechter,5175,5180,Klaus,klaus
gdc,stqr.0,5139,5304,nachtwaechter,5235,5247,Nachtwächter,nachtwaechter
gdc,stqr.0,5501,5660,nachtwaechter,5515,5518,Ich,nachtwaechter
gdc,stqr.0,5501,5660,nachtwaechter,5527,5539,Nachtwächter,nachtwaechter
gdc,stqr.0,5501,5660,nachtwaechter,5631,5636,Klaus,klaus
gdc,stqr.0,5730,5756,_stage,5738,5745,Cäcilie,caecilie
gdc,stqr.0,5730,5756,_stage,5747,5755,Walpurga,walpurga
gdc,stqr.0,5907,5968,caecilie,5930,5942,Nachtwächter,nachtwaechter
gdc,stqr.0,5973,6026,klaus,5995,5998,mir,klaus
gdc,stqr.0,6031,6097,nachtwaechter,6054,6059,Klaus,klaus
gdc,stqr.0,6247,6256,_stage,6250,6255,Klaus,klaus
gdc,stqr.0,6239,6299,caecilie,6257,6260,Ich,caecilie
gdc,stqr.0,6313,6330,_stage,6317,6329,Nachtwächter,nachtwaechter
gdc,stqr.0,6304,6366,walpurga,6335,6338,ich,walpurga
gdc,stqr.0,6377,6388,_stage,6380,6387,Cäcilie,caecilie
gdc,stqr.0,6371,6454,klaus,6444,6447,mir,klaus
gdc,stqr.0,6472,6483,_stage,6475,6482,Cäcilie,caecilie
gdc,stqr.0,6459,6590,nachtwaechter,6532,6535,ich,nachtwaechter
gdc,stqr.0,6459,6590,nachtwaechter,6575,6581,meiner,nachtwaechter
gdc,stqr.0,6595,6687,klaus,6612,6617,Meine,klaus
gdc,stqr.0,6712,6763,walpurga,6722,6725,Ich,walpurga
gdc,stqr.0,6782,6793,_stage,6785,6792,Cäcilie,caecilie
gdc,stqr.0,6837,6849,_stage,6840,6848,Walpurga,walpurga
gdc,stqr.0,6888,7072,nachtwaechter,6976,6980,mich,nachtwaechter
gdc,stqr.0,6888,7072,nachtwaechter,7050,7058,Walpurga,walpurga
gdc,stqr.0,7097,7142,_stage,7097,7102,Klaus,klaus
gdc,stqr.0,7097,7142,_stage,7104,7111,Cäcilie,caecilie
gdc,stqr.0,7097,7142,_stage,7120,7127,Sigmund,sigmund
gdc,stqr.0,7097,7142,_stage,7132,7141,Willibald,willibald
gdc,stqr.0,7144,7357,klaus,7231,7244,Bürgermeister,buergermeister
gdc,stqr.0,7144,7357,klaus,7275,7278,ich,klaus
gdc,stqr.0,7460,7515,_stage,7460,7467,Sigmund,sigmund
gdc,stqr.0,7460,7515,_stage,7478,7487,Willibald,willibald
gdc,stqr.0,7519,7594,sigmund,7563,7566,ich,sigmund
gdc,stqr.0,7519,7594,sigmund,7571,7583,Nachtwächter,nachtwaechter
gdc,stqr.0,7599,7653,willibald,7610,7618,Walpurga,walpurga
gdc,stqr.0,7599,7653,willibald,7624,7627,mir,willibald
gdc,stqr.0,7741,7825,klaus,7752,7755,mir,klaus
gdc,stqr.0,7830,7867,sigmund,7839,7842,Ich,sigmund
gdc,stqr.0,7921,7985,willibald,7969,7974,Ultra,ultra
gdc,stqr.0,7990,8030,sigmund,8014,8019,Meine,sigmund
gdc,stqr.0,7990,8030,sigmund,8020,8027,Cäcilie,caecilie
gdc,stqr.0,8084,8121,willibald,8095,8098,Ich,willibald
gdc,stqr.0,8196,8216,_stage,8200,8207,Sigmund,sigmund
gdc,stqr.0,8220,8302,willibald,8235,8243,Walpurga,walpurga
gdc,stqr.0,8220,8302,willibald,8271,8277,meinem,willibald
gdc,stqr.0,8307,8374,klaus,8343,8349,meiner,klaus
gdc,stqr.0,8447,8460,_stage,8450,8459,Willibald,willibald
gdc,stqr.0,8510,8558,sigmund,8551,8556,Klaus,klaus
gdc,stqr.0,8563,8771,klaus,8584,8589,meine,klaus
gdc,stqr.0,8563,8771,klaus,8656,8663,Cäcilie,caecilie
gdc,stqr.0,8563,8771,klaus,8707,8710,mir,klaus
gdc,stqr.0,8563,8771,klaus,8729,8741,Nachtwächter,nachtwaechter
gdc,stqr.0,8899,8920,_stage,8912,8919,Cäcilie,caecilie
gdc,stqr.0,8922,9016,klaus,8945,8957,Nachtwächter,nachtwaechter
gdc,stqr.0,9021,9094,willibald,9042,9048,meiner,willibald
gdc,stqr.0,9021,9094,willibald,9086,9090,mich,willibald
gdc,stqr.0,9099,9147,klaus,9106,9109,Ich,klaus
gdc,stqr.0,9127,9147,_stage,9131,9138,Sigmund,sigmund
gdc,stqr.0,9151,9307,willibald,9190,9195,Klaus,klaus
gdc,stqr.0,9567,9853,klaus,9694,9699,meine,klaus
gdc,stqr.0,9567,9853,klaus,9812,9818,meiner,klaus
gdc,stqr.0,9954,10210,klaus,9961,9964,Ich,klaus
gdc,stqr.0,9954,10210,klaus,10006,10015,Willibald,willibald
gdc,stqr.0,9954,10210,klaus,10126,10129,Ich,klaus
gdc,stqr.0,9954,10210,klaus,10137,10141,mich,klaus
gdc,stqr.0,9954,10210,klaus,10164,10167,mir,klaus
gdc,stqr.0,9954,10210,klaus,10199,10204,meine,klaus
gdc,stqr.0,10215,10284,sigmund,10224,10233,Willibald,willibald
gdc,stqr.0,10215,10284,sigmund,10236,10239,mir,sigmund
gdc,stqr.0,10215,10284,sigmund,10261,10264,mir,sigmund
gdc,stqr.0,10295,10308,_stage,10298,10307,Willibald,willibald
gdc,stqr.0,10289,10501,klaus,10388,10391,ich,klaus
gdc,stqr.0,10289,10501,klaus,10413,10416,ich,klaus
gdc,stqr.0,10464,10501,_stage,10464,10473,Willibald,willibald
gdc,stqr.0,10464,10501,_stage,10480,10487,Sigmund,sigmund
gdc,stqr.0,10505,10864,klaus,10523,10530,Kellner,kellner
gdc,stqr.0,10505,10864,klaus,10651,10658,Kellner,kellner
gdc,stqr.0,10505,10864,klaus,10697,10700,mir,klaus
gdc,stqr.0,10505,10864,klaus,10788,10795,Kellner,kellner
gdc,stqr.0,10505,10864,klaus,10804,10807,ich,klaus
gdc,stqr.0,10891,10950,_stage,10891,10896,Ultra,ultra
gdc,stqr.0,15760,15780,_stage,15769,15779,Pfiffspitz,pfiffspitz
gdc,stqr.0,15782,15936,pfiffspitz,15848,15851,ich,pfiffspitz
gdc,stqr.0,15782,15936,pfiffspitz,15852,15858,meinen,pfiffspitz
gdc,stqr.0,15942,16075,ultra,15949,15952,Ich,ultra
gdc,stqr.0,15942,16075,ultra,15979,15982,mir,ultra
gdc,stqr.0,15942,16075,ultra,16027,16030,mir,ultra
gdc,stqr.0,16080,16173,pfiffspitz,16092,16095,Ich,pfiffspitz
gdc,stqr.0,16080,16173,pfiffspitz,16145,16148,mir,pfiffspitz
gdc,stqr.0,16263,16343,pfiffspitz,16284,16287,ich,pfiffspitz
gdc,stqr.0,16263,16343,pfiffspitz,16303,16306,mir,pfiffspitz
