corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,stqx.0,1056,1142,_stage,1056,1061,Anton,anton
gdc,stqx.0,1056,1142,_stage,1063,1072,Christian,christian
gdc,stqx.0,1056,1142,_stage,1074,1080,Joseph,joseph
gdc,stqx.0,1150,1219,_stage,1153,1162,Christian,christian
gdc,stqx.0,1150,1219,_stage,1167,1173,Joseph,joseph
gdc,stqx.0,1818,1845,_stage,1831,1837,Joseph,joseph
gdc,stqx.0,1974,2059,_stage,1974,1979,Anton,anton
gdc,stqx.0,1974,2059,_stage,1986,1996,Gluthammer,gluthammer
gdc,stqx.0,2061,2258,anton,2237,2240,ich,anton
gdc,stqx.0,2263,2555,gluthammer,2495,2501,Meiner,gluthammer
gdc,stqx.0,2560,2639,anton,2579,2582,ich,anton
gdc,stqx.0,2560,2639,anton,2612,2622,Gluthammer,gluthammer
gdc,stqx.0,2858,2933,anton,2891,2895,mich,anton
gdc,stqx.0,3267,3337,gluthammer,3279,3282,Mir,gluthammer
gdc,stqx.0,3342,3523,anton,3349,3352,Ich,anton
gdc,stqx.0,3704,3801,gluthammer,3742,3747,Anton,anton
gdc,stqx.0,4171,4331,anton,4223,4226,Ich,anton
gdc,stqx.0,4356,4379,_stage,4356,4366,Gluthammer,gluthammer
gdc,stqx.0,4356,4379,_stage,4373,4378,Kathi,kathi
gdc,stqx.0,4381,4740,gluthammer,4540,4543,ich,gluthammer
gdc,stqx.0,4381,4740,gluthammer,4609,4615,meiner,gluthammer
gdc,stqx.0,4381,4740,gluthammer,4640,4644,mich,gluthammer
gdc,stqx.0,4381,4740,gluthammer,4666,4669,mir,gluthammer
gdc,stqx.0,4381,4740,gluthammer,4712,4715,mir,gluthammer
gdc,stqx.0,4745,4906,kathi,4790,4793,ich,kathi
gdc,stqx.0,4745,4906,kathi,4838,4848,Gluthammer,gluthammer
gdc,stqx.0,4745,4906,kathi,4894,4904,Gluthammer,gluthammer
gdc,stqx.0,4922,4966,_stage,4922,4927,Kathi,kathi
gdc,stqx.0,4911,5044,gluthammer,4976,4979,ich,gluthammer
gdc,stqx.0,5049,5093,kathi,5056,5059,Ich,kathi
gdc,stqx.0,5049,5093,kathi,5087,5092,Kathi,kathi
gdc,stqx.0,5098,5178,gluthammer,5124,5129,Kathi,kathi
gdc,stqx.0,5098,5178,gluthammer,5150,5154,mein,gluthammer
gdc,stqx.0,5098,5178,gluthammer,5168,5177,Krautkopf,krautkopf
gdc,stqx.0,5183,5378,kathi,5234,5244,Gluthammer,gluthammer
gdc,stqx.0,5384,5549,gluthammer,5396,5399,Ich,gluthammer
gdc,stqx.0,5384,5549,gluthammer,5464,5469,Kathi,kathi
gdc,stqx.0,5384,5549,gluthammer,5508,5517,Krautkopf,krautkopf
gdc,stqx.0,5554,5667,kathi,5570,5573,ich,kathi
gdc,stqx.0,5554,5667,kathi,5621,5624,ich,kathi
gdc,stqx.0,5554,5667,kathi,5631,5636,meine,kathi
gdc,stqx.0,5672,5749,gluthammer,5694,5697,ich,gluthammer
gdc,stqx.0,5672,5749,gluthammer,5716,5721,Kathi,kathi
gdc,stqx.0,5754,5881,kathi,5858,5862,Lips,lips
gdc,stqx.0,5754,5881,kathi,5867,5871,mein,kathi
gdc,stqx.0,5918,6336,kathi,5925,5930,Meine,kathi
gdc,stqx.0,5918,6336,kathi,5984,5988,Lips,lips
gdc,stqx.0,5918,6336,kathi,6110,6119,Krautkopf,krautkopf
gdc,stqx.0,5918,6336,kathi,6147,6150,ich,kathi
gdc,stqx.0,5918,6336,kathi,6155,6160,meine,kathi
gdc,stqx.0,6549,6605,gluthammer,6574,6577,ich,gluthammer
gdc,stqx.0,6757,6791,kathi,6771,6774,ich,kathi
gdc,stqx.0,6849,7534,kathi,6951,6954,ich,kathi
gdc,stqx.0,6849,7534,kathi,6958,6964,meinen,kathi
gdc,stqx.0,6849,7534,kathi,7031,7034,mir,kathi
gdc,stqx.0,6849,7534,kathi,7079,7082,ich,kathi
gdc,stqx.0,6849,7534,kathi,7113,7119,Meiner,kathi
gdc,stqx.0,6849,7534,kathi,7138,7141,ich,kathi
gdc,stqx.0,6849,7534,kathi,7278,7281,ich,kathi
gdc,stqx.0,6849,7534,kathi,7297,7300,Ich,kathi
gdc,stqx.0,6849,7534,kathi,7347,7356,Krautkopf,krautkopf
gdc,stqx.0,6849,7534,kathi,7373,7376,ich,kathi
gdc,stqx.0,6849,7534,kathi,7493,7496,ich,kathi
gdc,stqx.0,7539,7603,gluthammer,7584,7587,ich,gluthammer
gdc,stqx.0,7694,7821,gluthammer,7715,7718,Ich,gluthammer
gdc,stqx.0,7694,7821,gluthammer,7786,7789,ich,gluthammer
gdc,stqx.0,7694,7821,gluthammer,7794,7799,meine,gluthammer
gdc,stqx.0,7877,8050,gluthammer,7935,7938,Ich,gluthammer
gdc,stqx.0,7877,8050,gluthammer,7944,7948,mich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8204,8207,ich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8234,8238,mich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8249,8252,ich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8296,8299,ich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8522,8525,mir,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8536,8539,ich,gluthammer
gdc,stqx.0,8145,8740,gluthammer,8636,8639,ich,gluthammer
gdc,stqx.0,8791,9055,gluthammer,8906,8910,mein,gluthammer
gdc,stqx.0,9060,9107,kathi,9095,9105,Gluthammer,gluthammer
gdc,stqx.0,9112,9193,gluthammer,9154,9157,ich,gluthammer
gdc,stqx.0,9249,9656,gluthammer,9364,9367,Ich,gluthammer
gdc,stqx.0,9249,9656,gluthammer,9385,9388,ich,gluthammer
gdc,stqx.0,9249,9656,gluthammer,9406,9409,ich,gluthammer
gdc,stqx.0,9249,9656,gluthammer,9544,9547,ich,gluthammer
