corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,stqx.0,600,1037,_Stage,_Stage,Die,ART,der,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Bühne,NN,bühne,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,stellt,VVFIN,stellen,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,einen,ART,ein,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,eleganten,ADJA,elegant,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Gartenpavillon,NN,gartenpavillon,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,vor,PTKVZ,vor,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,.,$.,--,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Im,APPRART,in,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Prospekte,NN,prospekt,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,rechts,ADV,rechts,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,und,KON,und,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,links,ADV,links,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Türen,NN,tür,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,",","$,",--,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,zwischen,APPR,zwischen,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,beiden,PIS,beide,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,in,APPR,in,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,der,ART,der,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Mitte,NN,mitte,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,des,ART,der,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Prospektes,NN,prospekt,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,eine,ART,ein,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,große,ADJA,groß,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Glastür,NN,glastür,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,",","$,",--,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,welche,PRELS,welcher,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,nach,APPR,nach,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,einem,ART,ein,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Balkon,NN,balkon,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,führt,VVFIN,führen,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,.,$.,--,22629,,
gdc,stqx.0,600,1037,_Stage,_Stage,Seite,NN,seite,22629,,
