corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,str5.0,704,49953,0,851,1759,0
gdc,str5.0,704,49953,0,1766,2474,0
gdc,str5.0,704,49953,0,2481,4214,0
gdc,str5.0,704,49953,0,4220,9350,0
gdc,str5.0,704,49953,0,9357,12082,0
gdc,str5.0,704,49953,0,12089,20079,0
gdc,str5.0,704,49953,0,20086,24605,0
gdc,str5.0,704,49953,0,24612,26297,0
gdc,str5.0,704,49953,0,26304,31023,0
gdc,str5.0,704,49953,0,31030,32596,0
gdc,str5.0,704,49953,0,32603,37070,0
gdc,str5.0,704,49953,0,37077,37668,0
gdc,str5.0,704,49953,0,37674,39753,0
gdc,str5.0,704,49953,0,39760,40608,0
gdc,str5.0,704,49953,0,40615,41049,0
gdc,str5.0,704,49953,0,41056,43640,0
gdc,str5.0,704,49953,0,43647,45694,0
gdc,str5.0,704,49953,0,45701,45889,0
gdc,str5.0,704,49953,0,45896,46927,0
gdc,str5.0,704,49953,0,46934,49357,0
gdc,str5.0,704,49953,0,49364,49953,0
gdc,str5.0,49959,92166,0,50112,53435,0
gdc,str5.0,49959,92166,0,53442,57009,0
gdc,str5.0,49959,92166,0,57016,57222,0
gdc,str5.0,49959,92166,0,57230,58373,0
gdc,str5.0,49959,92166,0,58380,61295,0
gdc,str5.0,49959,92166,0,61302,63442,0
gdc,str5.0,49959,92166,0,63449,67927,0
gdc,str5.0,49959,92166,0,67934,70587,0
gdc,str5.0,49959,92166,0,70594,71158,0
gdc,str5.0,49959,92166,0,71165,72641,0
gdc,str5.0,49959,92166,0,72648,74448,0
gdc,str5.0,49959,92166,0,74455,78393,0
gdc,str5.0,49959,92166,0,78401,79930,0
gdc,str5.0,49959,92166,0,79937,81572,0
gdc,str5.0,49959,92166,0,81579,85479,0
gdc,str5.0,49959,92166,0,85486,87660,0
gdc,str5.0,49959,92166,0,87668,88901,0
gdc,str5.0,49959,92166,0,88908,89932,0
gdc,str5.0,49959,92166,0,89939,90534,0
gdc,str5.0,49959,92166,0,90542,92166,0
gdc,str5.0,92173,131928,0,92450,94757,0
gdc,str5.0,92173,131928,0,94764,96102,0
gdc,str5.0,92173,131928,0,96109,97871,0
gdc,str5.0,92173,131928,0,97878,98989,0
gdc,str5.0,92173,131928,0,98995,101496,0
gdc,str5.0,92173,131928,0,101503,103482,0
gdc,str5.0,92173,131928,0,103489,104960,0
gdc,str5.0,92173,131928,0,104967,107476,0
gdc,str5.0,92173,131928,0,107482,107579,0
gdc,str5.0,92173,131928,0,107586,109525,0
gdc,str5.0,92173,131928,0,109532,116097,0
gdc,str5.0,92173,131928,0,116103,116556,0
gdc,str5.0,92173,131928,0,116563,116856,0
gdc,str5.0,92173,131928,0,116863,120986,0
gdc,str5.0,92173,131928,0,120993,121888,0
gdc,str5.0,92173,131928,0,121895,122728,0
gdc,str5.0,92173,131928,0,122735,124848,0
gdc,str5.0,92173,131928,0,124856,130632,0
gdc,str5.0,92173,131928,0,130639,131928,0
