corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,strh.0,780,907,_Stage,_Stage,Oberpriester,NN,oberpriester,8708,,(5)
gdc,strh.0,780,907,_Stage,_Stage,und,KON,und,8708,,
gdc,strh.0,780,907,_Stage,_Stage,zwei,CARD,zwei,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Priester,NN,priester,8708,,(7)
gdc,strh.0,780,907,_Stage,_Stage,des,ART,der,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Baal,NN,baal,8708,,
gdc,strh.0,780,907,_Stage,_Stage,",","$,",--,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Idun,NE,idun,8708,,(2)
gdc,strh.0,780,907,_Stage,_Stage,",","$,",--,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Chalkol,NE,chalkol,8708,,(3)
gdc,strh.0,780,907,_Stage,_Stage,",","$,",--,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Zepho,NE,zepho,8708,,(4)
gdc,strh.0,780,907,_Stage,_Stage,und,KON,und,8708,,
gdc,strh.0,780,907,_Stage,_Stage,mehrere,PIAT,mehrere,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Krieger,NN,krieger,8708,,
gdc,strh.0,780,907,_Stage,_Stage,sind,VAFIN,sein,8708,,
gdc,strh.0,780,907,_Stage,_Stage,vor,APPR,vor,8708,,
gdc,strh.0,780,907,_Stage,_Stage,dem,ART,der,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Zelte,NN,zelt,8708,,
gdc,strh.0,780,907,_Stage,_Stage,des,ART,der,8708,,
gdc,strh.0,780,907,_Stage,_Stage,Holofernes,NN,holoferne,8708,,(1)
gdc,strh.0,780,907,_Stage,_Stage,versammelt,VVPP,versammeln,8708,,
gdc,strh.0,780,907,_Stage,_Stage,.,$.,--,8708,,
gdc,strh.0,1259,1314,Chor,chor,Mit,APPR,mit,8708,,
gdc,strh.0,1259,1314,Chor,chor,dem,ART,der,8708,,
gdc,strh.0,1259,1314,Chor,chor,Ende,NN,ende,8708,,
gdc,strh.0,1259,1314,Chor,chor,des,ART,der,8708,,
gdc,strh.0,1259,1314,Chor,chor,Chores,NN,chore,8708,,
gdc,strh.0,1259,1314,Chor,chor,tritt,VVFIN,treten,8708,,
gdc,strh.0,1259,1314,Chor,chor,Holofernes,NE,holofernes,8708,,(1)
gdc,strh.0,1259,1314,Chor,chor,aus,APPR,aus,8708,,
gdc,strh.0,1259,1314,Chor,chor,dem,ART,der,8708,,
gdc,strh.0,1259,1314,Chor,chor,Zelte,NN,zelt,8708,,
gdc,strh.0,1259,1314,Chor,chor,.,$.,--,8708,,
gdc,strh.0,1334,1358,_Stage,_Stage,Holofernes,NE,holofernes,8708,,(1)
gdc,strh.0,1334,1358,_Stage,_Stage,.,$.,--,8708,,
gdc,strh.0,1334,1358,_Stage,_Stage,Die,ART,der,8708,,
gdc,strh.0,1334,1358,_Stage,_Stage,Vorigen,NN,vorige,8708,,
gdc,strh.0,1334,1358,_Stage,_Stage,.,$.,--,8708,,
gdc,strh.0,1996,2003,Holofernes,holofernes,Leiser,ADJD,leiser,8708,,
gdc,strh.0,1996,2003,Holofernes,holofernes,.,$.,--,8708,,
gdc,strh.0,2402,2421,Oberpriester,oberpriester,zu,APPR,zu,8708,,
gdc,strh.0,2402,2421,Oberpriester,oberpriester,den,ART,der,8708,,
gdc,strh.0,2402,2421,Oberpriester,oberpriester,Hauptleuten,NN,hauptleute,8708,,
gdc,strh.0,2402,2421,Oberpriester,oberpriester,.,$.,--,8708,,
gdc,strh.0,2461,2467,Idun,idun,leise,ADJD,leise,8708,,
gdc,strh.0,2461,2467,Idun,idun,.,$.,--,8708,,
gdc,strh.0,2547,2554,Chalkol,chalkol,ebenso,ADV,ebenso,8708,,
gdc,strh.0,2547,2554,Chalkol,chalkol,.,$.,--,8708,,
gdc,strh.0,2623,2630,Zepho,zepho,ebenso,ADV,ebenso,8708,,
gdc,strh.0,2623,2630,Zepho,zepho,.,$.,--,8708,,
gdc,strh.0,2687,2714,Zepho,zepho,Alle,PIS,alle,8708,,
gdc,strh.0,2687,2714,Zepho,zepho,ab,PTKVZ,ab,8708,,
gdc,strh.0,2687,2714,Zepho,zepho,bis,APPR,bis,8708,,
gdc,strh.0,2687,2714,Zepho,zepho,auf,APPR,auf,8708,,
gdc,strh.0,2687,2714,Zepho,zepho,Holofernes,NE,holoferne,8708,,(1)
gdc,strh.0,2687,2714,Zepho,zepho,.,$.,--,8708,,
gdc,strh.0,2734,2752,_Stage,_Stage,Holofernes,NE,holofernes,8708,,(1)
gdc,strh.0,2734,2752,_Stage,_Stage,allein,ADV,allein,8708,,
gdc,strh.0,2734,2752,_Stage,_Stage,.,$.,--,8708,,
gdc,strh.0,2982,3012,Holofernes,holofernes,Nach,APPR,nach,8708,,
gdc,strh.0,2982,3012,Holofernes,holofernes,dem,ART,der,8708,,
gdc,strh.0,2982,3012,Holofernes,holofernes,Hintergrund,NN,hintergrund,8708,,
gdc,strh.0,2982,3012,Holofernes,holofernes,blickend,ADJD,blickend,8708,,
gdc,strh.0,2982,3012,Holofernes,holofernes,.,$.,--,8708,,
gdc,strh.0,3132,3151,_Stage,_Stage,Herold,NE,herold,8708,,(6)
