corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,strx.0,2759,2968,Nanette,nanette,Neun,CARD,neun,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Uhr,NN,uhr,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,ist,VAFIN,sein,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,',$(,--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,s,PPER,--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,",","$,",--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,und,KON,und,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,man,PIS,man,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,weiß,VVFIN,weiß,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,noch,ADV,noch,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,nicht,PTKNEG,nicht,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,",","$,",--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Was,PWS,was,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,heute,ADV,heute,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,wegen,APPR,wegen,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,dem,ART,der,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Speisen,NN,speise,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,g,CARD,g,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,',$(,--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,schicht,VVFIN,schichen,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,",","$,",--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Der,ART,der,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Sohn,NN,sohn,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,vorn,ADV,vorn,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Haus,NN,haus,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,trifft,VVFIN,treffen,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,heut,ADV,heut,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,',$(,--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,noch,ADV,noch,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,ein,PTKVZ,ein,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,",","$,",--,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Da,KOUS,da,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,wird,VAFIN,werden,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,wohl,ADV,wohl,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,große,ADJA,groß,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,Tafel,NN,tafel,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,sein,VAINF,sein,37987,,
gdc,strx.0,2759,2968,Nanette,nanette,.,$.,--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Neun,CARD,neun,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Uhr,NN,uhr,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,ist,VAFIN,sein,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,',$(,--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,s,PPER,--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,",","$,",--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,und,KON,und,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,man,PIS,man,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,weiß,VVFIN,weiß,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,noch,ADV,noch,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,nicht,PTKNEG,nicht,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,",","$,",--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Was,PWS,was,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,heute,ADV,heute,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,wegen,APPR,wegen,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,dem,ART,der,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Speisen,NN,speise,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,g,CARD,g,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,',$(,--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,schicht,VVFIN,schichen,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,",","$,",--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Der,ART,der,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Sohn,NN,sohn,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,vorn,ADV,vorn,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Haus,NN,haus,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,trifft,VVFIN,treffen,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,heut,ADV,heut,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,',$(,--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,noch,ADV,noch,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,ein,PTKVZ,ein,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,",","$,",--,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,Da,KOUS,da,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,wird,VAFIN,werden,37987,,
gdc,strx.0,2759,2968,Susanne,susanne,wohl,ADV,wohl,37987,,
