corpus,drama,figure_surface,figure_id,Gender,Age
gdc,sttf.0,Doris,doris,FEMALE,
gdc,sttf.0,Oktober,oktober,UNKNOWN,
gdc,sttf.0,Verehrung,verehrung,UNKNOWN,
gdc,sttf.0,Phillis,phillis,FEMALE,
gdc,sttf.0,Philemon,philemon,MALE,
gdc,sttf.0,Treue,treue,UNKNOWN,
gdc,sttf.0,Sylvia,sylvia,FEMALE,
gdc,sttf.0,Mirta,mirta,FEMALE,
gdc,sttf.0,Damon,damon,MALE,
gdc,sttf.0,Silen,silen,MALE,
gdc,sttf.0,Galathe,galathe,FEMALE,
gdc,sttf.0,Mirtillo,mirtillo,MALE,
gdc,sttf.0,Sylvan,sylvan,MALE,
gdc,sttf.0,Seladon,seladon,MALE,
gdc,sttf.0,Mops,mops,MALE,
gdc,sttf.0,Freude,freude,UNKNOWN,
gdc,sttf.0,Liebe,liebe,UNKNOWN,
