corpus,drama,figure_surface,figure_id,Gender,Age
gdc,t337.0,Kindeskind,kindeskind,MALE,
gdc,t337.0,Erste Hebamme,erste_hebamme,FEMALE,
gdc,t337.0,Chorführer,chorfuehrer,MALE,
gdc,t337.0,Kind,kind,MALE,
gdc,t337.0,Lajus,lajus,MALE,
gdc,t337.0,Melchior,melchior,MALE,
gdc,t337.0,Distichon,distichon,UNKNOWN,
gdc,t337.0,Balthasar,balthasar,MALE,
gdc,t337.0,Zelinde,zelinde,FEMALE,
gdc,t337.0,Nimmermann,nimmermann,MALE,
gdc,t337.0,Zweite Hebamme,zweite_hebamme,FEMALE,
gdc,t337.0,Tiresias,tiresias,MALE,
gdc,t337.0,Die Sphinx,die_sphinx,FEMALE,
gdc,t337.0,Diagoras,diagoras,MALE,
gdc,t337.0,Chor der Haidschnucken,chor,UNKNOWN,
gdc,t337.0,Verstand,verstand,UNKNOWN,
gdc,t337.0,Das Publicum (als Reisender),publicum,MALE,
gdc,t337.0,Geist des Lajus,geist_des_lajus,MALE,
gdc,t337.0,Oedipus,oedipus,MALE,
gdc,t337.0,Jokaste,jokaste,FEMALE,
gdc,t337.0,Polybus,polybus,MALE,
gdc,t337.0,Die Pythia,die_pythia,FEMALE,
