corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,t96n.0,1318,1629,_Stage,_Stage,Vorsaal,NN,vorsaal,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,in,APPR,in,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Flottwells,NE,flottwell,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Schloß,NN,schloß,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Mit,APPR,mit,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Mittel-,TRUNC,mittel,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,und,KON,und,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,vier,CARD,vier,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Seitentüren,NN,seitentüre,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,",","$,",--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,vorne,ADV,vorne,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,ein,ART,ein,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Fenster,NN,fenster,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Dienerschaft,NN,dienerschaft,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,in,APPR,in,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,reichen,ADJA,reich,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Livreen,NN,livreen,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,ist,VAFIN,sein,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,im,APPRART,in,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Saale,NN,saale,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,beschäftigt,VVPP,beschäftigen,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Einige,PIS,einiger,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,tragen,VVFIN,tragen,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,auf,APPR,auf,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,silbernen,ADJA,silbern,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Tassen,NN,tasse,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Kaffee,NN,kaffee,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,",","$,",--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Tee,NN,tee,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,",","$,",--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Champagner,NN,champagner,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,",","$,",--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,ausgebürstete,ADJA,ausgebürstet,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Kleider,NN,kleider,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,nach,APPR,nach,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,den,ART,der,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Gemächern,NN,gemächer,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,der,ART,der,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Gäste,NN,gast,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Fritz,NE,fritz,28107,,(0)
gdc,t96n.0,1318,1629,_Stage,_Stage,und,KON,und,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Johann,NE,johann,28107,,(1)
gdc,t96n.0,1318,1629,_Stage,_Stage,ordnen,VVFIN,ordnen,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,an,PTKVZ,an,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Ein,ART,ein,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Paar,NN,paar,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Jäger,NN,jäger,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,putzen,VVFIN,putzen,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,Gewehre,NN,gewehr,28107,,
gdc,t96n.0,1318,1629,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1834,1861,_Stage,_Stage,Im,APPRART,in,28107,,
gdc,t96n.0,1834,1861,_Stage,_Stage,Hofe,NN,hof,28107,,
gdc,t96n.0,1834,1861,_Stage,_Stage,ertönen,VVFIN,ertönen,28107,,
gdc,t96n.0,1834,1861,_Stage,_Stage,Jagdhörner,NN,jagdhörner,28107,,
gdc,t96n.0,1834,1861,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,Alle,PIS,alle,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,ab,PTKVZ,ab,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,bis,APPR,bis,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,auf,APPR,auf,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,Fritz,NE,fritz,28107,,(0)
gdc,t96n.0,1862,1922,_Stage,_Stage,und,KON,und,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,Johann,NE,johann,28107,,(1)
gdc,t96n.0,1862,1922,_Stage,_Stage,",","$,",--,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,welche,PWAT,welcher,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,ans,APPRART,an,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,Fenster,NN,fenster,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,treten,VVINF,treten,28107,,
gdc,t96n.0,1862,1922,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,2199,2207,Johann,johann,lachend,ADJD,lachend,28107,,
gdc,t96n.0,2199,2207,Johann,johann,.,$.,--,28107,,
gdc,t96n.0,2926,2940,Johann,johann,achselzuckend,ADJD,achselzuckend,28107,,
gdc,t96n.0,2926,2940,Johann,johann,.,$.,--,28107,,
gdc,t96n.0,3607,3624,_Stage,_Stage,Vorige,NN,vorige,28107,,
gdc,t96n.0,3607,3624,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,3607,3624,_Stage,_Stage,Pralling,NN,pralling,28107,,(2)
gdc,t96n.0,3607,3624,_Stage,_Stage,.,$.,--,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,tritt,VVFIN,treten,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,einen,ART,ein,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,Schritt,NN,schritt,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,aus,APPR,aus,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,seinem,PPOSAT,sein,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,Kabinett,NN,kabinett,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,und,KON,und,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,ruft,VVFIN,rufen,28107,,
gdc,t96n.0,3635,3684,Pralling,pralling,.,$.,--,28107,,
gdc,t96n.0,3709,3723,Fritz,fritz,sehen,VVFIN,sehen,28107,,
gdc,t96n.0,3709,3723,Fritz,fritz,sich,PRF,sich,28107,,
