corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,t96r.0,1088,1706,_stage,1581,1585,Volk,volk
gdc,t96r.0,1088,1706,_stage,1593,1597,Omar,omar
gdc,t96r.0,1088,1706,_stage,1681,1687,Mansor,mansor
gdc,t96r.0,1088,1706,_stage,1689,1695,Hassar,hassar
gdc,t96r.0,1707,1712,_stage,1707,1711,Chor,volk
gdc,t96r.0,1901,2074,omar,1918,1921,ich,omar
gdc,t96r.0,1901,2074,omar,1970,1973,mir,omar
gdc,t96r.0,2365,2523,omar,2384,2388,Volk,volk
gdc,t96r.0,2365,2523,omar,2401,2404,ich,omar
gdc,t96r.0,2365,2523,omar,2443,2447,mich,omar
gdc,t96r.0,2365,2523,omar,2460,2463,ich,omar
gdc,t96r.0,2770,2794,hassar,2789,2793,mich,hassar
gdc,t96r.0,2799,2963,mansor,2820,2824,Omar,omar
gdc,t96r.0,2968,3107,omar,2991,2994,ich,omar
gdc,t96r.0,3178,3284,omar,3246,3250,mein,omar
gdc,t96r.0,3289,3330,hassar,3314,3317,ich,hassar
gdc,t96r.0,3430,3527,mansor,3472,3480,Moisasur,moisasur
gdc,t96r.0,4936,5387,_stage,5220,5227,Alzinde,alzinde
gdc,t96r.0,4936,5387,_stage,5322,5326,Volk,volk
gdc,t96r.0,5388,5393,_stage,5388,5392,Chor,volk
gdc,t96r.0,5653,6162,alzinde,5662,5666,Volk,volk
gdc,t96r.0,5653,6162,alzinde,5696,5699,ich,alzinde
gdc,t96r.0,5653,6162,alzinde,5758,5762,Chor,volk
gdc,t96r.0,5653,6162,alzinde,6047,6051,mein,alzinde
gdc,t96r.0,6323,7104,omar,6607,6611,alle,volk
gdc,t96r.0,6323,7104,omar,7011,7014,ich,omar
gdc,t96r.0,6323,7104,omar,7028,7032,Mein,omar
gdc,t96r.0,7159,7206,volk,7198,7205,Hoanghu,hoanghu
gdc,t96r.0,7211,8358,alzinde,7222,7226,mein,alzinde
gdc,t96r.0,7211,8358,alzinde,7246,7249,ich,alzinde
gdc,t96r.0,7211,8358,alzinde,7336,7339,ich,alzinde
