corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,t96s.0,chor_2-1,33,
gdc,t96s.0,malchen,2,
gdc,t96s.0,die_grossmutter,19,
gdc,t96s.0,andresel,17,
gdc,t96s.0,linarius,1,
gdc,t96s.0,franzel,21,
gdc,t96s.0,lischen,3,
gdc,t96s.0,wallburgas_geist,23,
gdc,t96s.0,sophie,5,
gdc,t96s.0,der_bub_unterm_bett,20,
gdc,t96s.0,silberkern,27,
gdc,t96s.0,chor_1-7,30,
gdc,t96s.0,victorinens_geist,22,
gdc,t96s.0,der_hund,15,
gdc,t96s.0,salchen,10,
gdc,t96s.0,ein_alpengeist,26,
gdc,t96s.0,august,4,
gdc,t96s.0,sabine,8,
gdc,t96s.0,christoph,18,
gdc,t96s.0,dienstleute,35,
gdc,t96s.0,chor_2-15,37,
gdc,t96s.0,alpengeister,34,
gdc,t96s.0,kutscher,6,
gdc,t96s.0,astragalus,0,
gdc,t96s.0,habakuk,7,
gdc,t96s.0,echo,28,
gdc,t96s.0,chor_alle_1-1_und_1-2,29,
gdc,t96s.0,die_katze,14,
gdc,t96s.0,chor_1-17,31,
gdc,t96s.0,alle_alles_2-14,36,
gdc,t96s.0,emerentias_geist,24,
gdc,t96s.0,chor_1-21,32,
gdc,t96s.0,alpanor,25,
gdc,t96s.0,marthe,12,
gdc,t96s.0,christian,11,
gdc,t96s.0,rappelkopf,9,
gdc,t96s.0,haenschen,16,
gdc,t96s.0,das_kind,13,
