corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,t977.0,706,32779,0,722,3462,0
gdc,t977.0,706,32779,0,3468,9093,0
gdc,t977.0,706,32779,0,9100,12282,0
gdc,t977.0,706,32779,0,12288,12905,0
gdc,t977.0,706,32779,0,12912,13202,0
gdc,t977.0,706,32779,0,13209,13769,0
gdc,t977.0,706,32779,0,13776,14966,0
gdc,t977.0,706,32779,0,14973,15620,0
gdc,t977.0,706,32779,0,15626,16010,0
gdc,t977.0,706,32779,0,16018,17045,0
gdc,t977.0,706,32779,0,17053,24088,0
gdc,t977.0,706,32779,0,24094,26729,0
gdc,t977.0,706,32779,0,26736,28698,0
gdc,t977.0,706,32779,0,28705,29736,0
gdc,t977.0,706,32779,0,29744,32779,0
gdc,t977.0,32785,88578,0,32802,34247,0
gdc,t977.0,32785,88578,0,34254,35518,0
gdc,t977.0,32785,88578,0,35525,38123,0
gdc,t977.0,32785,88578,0,38130,39130,0
gdc,t977.0,32785,88578,0,39137,44010,0
gdc,t977.0,32785,88578,0,44016,44373,0
gdc,t977.0,32785,88578,0,44379,47948,0
gdc,t977.0,32785,88578,0,47955,48515,0
gdc,t977.0,32785,88578,0,48522,50406,0
gdc,t977.0,32785,88578,0,50413,54090,0
gdc,t977.0,32785,88578,0,54096,55824,0
gdc,t977.0,32785,88578,0,55830,56505,0
gdc,t977.0,32785,88578,0,56512,58099,0
gdc,t977.0,32785,88578,0,58105,58886,0
gdc,t977.0,32785,88578,0,58893,60740,0
gdc,t977.0,32785,88578,0,60747,62188,0
gdc,t977.0,32785,88578,0,62195,64003,0
gdc,t977.0,32785,88578,0,64010,68122,0
gdc,t977.0,32785,88578,0,68129,70088,0
gdc,t977.0,32785,88578,0,70095,74356,0
gdc,t977.0,32785,88578,0,74362,75988,0
gdc,t977.0,32785,88578,0,75994,76570,0
gdc,t977.0,32785,88578,0,76576,77553,0
gdc,t977.0,32785,88578,0,77560,77753,0
gdc,t977.0,32785,88578,0,77760,78085,0
gdc,t977.0,32785,88578,0,78093,78821,0
gdc,t977.0,32785,88578,0,78828,88578,0
