corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,t9p7.0,494,28905,0,508,8067,0
gdc,t9p7.0,494,28905,0,8074,8323,0
gdc,t9p7.0,494,28905,0,8330,13667,0
gdc,t9p7.0,494,28905,0,13675,15276,0
gdc,t9p7.0,494,28905,0,15282,19549,0
gdc,t9p7.0,494,28905,0,19555,23193,0
gdc,t9p7.0,494,28905,0,23200,23626,0
gdc,t9p7.0,494,28905,0,23633,28905,0
gdc,t9p7.0,28913,54721,0,28954,32457,0
gdc,t9p7.0,28913,54721,0,32463,37016,0
gdc,t9p7.0,28913,54721,0,37023,37965,0
gdc,t9p7.0,28913,54721,0,37972,38694,0
gdc,t9p7.0,28913,54721,0,38700,43985,0
gdc,t9p7.0,28913,54721,0,43991,44897,0
gdc,t9p7.0,28913,54721,0,44905,48880,0
gdc,t9p7.0,28913,54721,0,48886,49420,0
gdc,t9p7.0,28913,54721,0,49426,51389,0
gdc,t9p7.0,28913,54721,0,51395,51713,0
gdc,t9p7.0,28913,54721,0,51720,53627,0
gdc,t9p7.0,28913,54721,0,53633,54721,0
gdc,t9p7.0,54729,83608,0,54777,56510,0
gdc,t9p7.0,54729,83608,0,56517,58776,0
gdc,t9p7.0,54729,83608,0,58783,60034,0
gdc,t9p7.0,54729,83608,0,60041,62062,0
gdc,t9p7.0,54729,83608,0,62070,65057,0
gdc,t9p7.0,54729,83608,0,65063,67139,0
gdc,t9p7.0,54729,83608,0,67145,70247,0
gdc,t9p7.0,54729,83608,0,70253,70692,0
gdc,t9p7.0,54729,83608,0,70700,75062,0
gdc,t9p7.0,54729,83608,0,75068,75623,0
gdc,t9p7.0,54729,83608,0,75630,80106,0
gdc,t9p7.0,54729,83608,0,80112,80415,0
gdc,t9p7.0,54729,83608,0,80422,83181,0
gdc,t9p7.0,54729,83608,0,83188,83608,0
gdc,t9p7.0,83617,109009,0,83708,84597,0
gdc,t9p7.0,83617,109009,0,84604,86374,0
gdc,t9p7.0,83617,109009,0,86380,88727,0
gdc,t9p7.0,83617,109009,0,88734,91037,0
gdc,t9p7.0,83617,109009,0,91044,98576,0
gdc,t9p7.0,83617,109009,0,98582,99843,0
gdc,t9p7.0,83617,109009,0,99849,100465,0
gdc,t9p7.0,83617,109009,0,100471,104367,0
gdc,t9p7.0,83617,109009,0,104374,105108,0
gdc,t9p7.0,83617,109009,0,105116,107401,0
gdc,t9p7.0,83617,109009,0,107408,109009,0
