corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,t9qj.0,1959,1971,_Stage,_Stage,Schlampampe,NN,schlampampe,13866,,(0)
gdc,t9qj.0,1959,1971,_Stage,_Stage,.,$.,--,13866,,
gdc,t9qj.0,2943,2979,_Stage,_Stage,Charlotte,NE,charlotte,13866,,(1)
gdc,t9qj.0,2943,2979,_Stage,_Stage,",","$,",--,13866,,
gdc,t9qj.0,2943,2979,_Stage,_Stage,Clarille,NE,clarille,13866,,(2)
gdc,t9qj.0,2943,2979,_Stage,_Stage,und,KON,und,13866,,
gdc,t9qj.0,2943,2979,_Stage,_Stage,Schlampampe,NE,schlampampe,13866,,(0)
gdc,t9qj.0,2943,2979,_Stage,_Stage,.,$.,--,13866,,
gdc,t9qj.0,3523,3534,Schlampampe,schlampampe,ad,XY,ad,13866,,
gdc,t9qj.0,3523,3534,Schlampampe,schlampampe,Spectat,NN,spectat,13866,,
gdc,t9qj.0,3523,3534,Schlampampe,schlampampe,.,$.,--,13866,,
gdc,t9qj.0,3616,3629,Schlampampe,schlampampe,Zu,APPR,zu,13866,,
gdc,t9qj.0,3616,3629,Schlampampe,schlampampe,Clarillen,NN,clarille,13866,,
gdc,t9qj.0,3616,3629,Schlampampe,schlampampe,.,$.,--,13866,,
gdc,t9qj.0,4281,4293,Schlampampe,schlampampe,zu,PTKZU,zu,13866,,
gdc,t9qj.0,4281,4293,Schlampampe,schlampampe,Clarille,NE,clarille,13866,,(2)
gdc,t9qj.0,4281,4293,Schlampampe,schlampampe,.,$.,--,13866,,
gdc,t9qj.0,4909,4918,Charlotte,charlotte,Gehet,ADJD,gehet,13866,,
gdc,t9qj.0,4909,4918,Charlotte,charlotte,ab,PTKVZ,ab,13866,,
gdc,t9qj.0,4909,4918,Charlotte,charlotte,.,$.,--,13866,,
gdc,t9qj.0,5075,5084,Clarille,clarille,Gebet,NN,gebet,13866,,
gdc,t9qj.0,5075,5084,Clarille,clarille,ab,PTKVZ,ab,13866,,
gdc,t9qj.0,5075,5084,Clarille,clarille,.,$.,--,13866,,
gdc,t9qj.0,5722,5730,Schlampampe,schlampampe,Geht,VVFIN,gehen,13866,,
gdc,t9qj.0,5722,5730,Schlampampe,schlampampe,ab,PTKVZ,ab,13866,,
gdc,t9qj.0,5722,5730,Schlampampe,schlampampe,.,$.,--,13866,,
gdc,t9qj.0,5748,5764,_Stage,_Stage,Melinde,NE,melinde,13866,,(4)
gdc,t9qj.0,5748,5764,_Stage,_Stage,",","$,",--,13866,,
gdc,t9qj.0,5748,5764,_Stage,_Stage,Edward,NE,edward,13866,,(3)
gdc,t9qj.0,5748,5764,_Stage,_Stage,.,$.,--,13866,,
gdc,t9qj.0,6636,6662,_Stage,_Stage,Charlotte,NN,charlotte,13866,,(1)
gdc,t9qj.0,6636,6662,_Stage,_Stage,und,KON,und,13866,,
gdc,t9qj.0,6636,6662,_Stage,_Stage,die,ART,der,13866,,
gdc,t9qj.0,6636,6662,_Stage,_Stage,Vorigen,NN,vorige,13866,,
gdc,t9qj.0,6636,6662,_Stage,_Stage,.,$.,--,13866,,
gdc,t9qj.0,7428,7448,Edward,edward,Weiset,NE,weiset,13866,,
gdc,t9qj.0,7428,7448,Edward,edward,auf,APPR,auf,13866,,
gdc,t9qj.0,7428,7448,Edward,edward,Melinden,NE,melinde,13866,,
gdc,t9qj.0,7428,7448,Edward,edward,.,$.,--,13866,,
gdc,t9qj.0,7593,7605,Edward,edward,Zu,APPR,zu,13866,,
gdc,t9qj.0,7593,7605,Edward,edward,Melinden,NN,melinden,13866,,
gdc,t9qj.0,7593,7605,Edward,edward,.,$.,--,13866,,
gdc,t9qj.0,8129,8146,Charlotte,charlotte,Läuft,NN,laufen,13866,,
gdc,t9qj.0,8129,8146,Charlotte,charlotte,behende,VVFIN,behend,13866,,
gdc,t9qj.0,8129,8146,Charlotte,charlotte,ab,PTKVZ,ab,13866,,
gdc,t9qj.0,8129,8146,Charlotte,charlotte,.,$.,--,13866,,
gdc,t9qj.0,8872,8906,Melinde,melinde,Gehen,NN,gehen,13866,,
gdc,t9qj.0,8872,8906,Melinde,melinde,an,APPR,an,13866,,
