corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,tg37.0,ruffo,1,
gdc,tg37.0,chor_der_priester,20,
gdc,tg37.0,page,11,
gdc,tg37.0,manfred,6,
gdc,tg37.0,chor_der_franzoesischen_ritter,24,
gdc,tg37.0,helene,9,
gdc,tg37.0,fulco,0,
gdc,tg37.0,chor_der_landleute,17,
gdc,tg37.0,annibaldi,10,
gdc,tg37.0,chor_der_frauen,16,
gdc,tg37.0,fasanella,3,
gdc,tg37.0,chor_der_maedchen,22,
gdc,tg37.0,chor_der_sarazenen,23,
gdc,tg37.0,chor_der_ritter,15,
gdc,tg37.0,borello,2,
gdc,tg37.0,chor_der_fischer_einige_fischer_andere,12,
gdc,tg37.0,chor_der_verbannten,13,
gdc,tg37.0,eine_nonne,5,
gdc,tg37.0,eckart,7,
gdc,tg37.0,ghismonde,4,
gdc,tg37.0,chor_der_bacchantinnen,19,
gdc,tg37.0,chor_der_schiffer,18,
gdc,tg37.0,chor_der_nonnen_nonnenchor,14,
gdc,tg37.0,chorknaben,21,
gdc,tg37.0,kardinal,8,
