corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,trwt.0,der_zweite_muellerbursche,32,
gdc,trwt.0,der_dritte_muellerbursche,33,
gdc,trwt.0,praktinski,4,
gdc,trwt.0,zweiter_offizier,20,
gdc,trwt.0,schalk,22,
gdc,trwt.0,hertha,36,
gdc,trwt.0,dichter,0,
gdc,trwt.0,irma,15,
gdc,trwt.0,klettina,28,
gdc,trwt.0,waisenkinder,14,
gdc,trwt.0,innocentia,35,
gdc,trwt.0,die_maurergesellen,23,
gdc,trwt.0,der_mueller,34,
gdc,trwt.0,dritte_dame,18,
gdc,trwt.0,direktor,1,
gdc,trwt.0,bombax,3,
gdc,trwt.0,der_lebenstrieb,11,
gdc,trwt.0,erste_dame,16,
gdc,trwt.0,suffimentum,6,
gdc,trwt.0,ventriculus,9,
gdc,trwt.0,melancholia,37,
gdc,trwt.0,ronober,24,
gdc,trwt.0,schabholz,13,
gdc,trwt.0,dritter_offizier,21,
gdc,trwt.0,fuehriana,27,
gdc,trwt.0,erster_offizier,19,
gdc,trwt.0,elektra,38,
gdc,trwt.0,faustine,10,
gdc,trwt.0,zweite_dame,17,
gdc,trwt.0,fuchs,26,
gdc,trwt.0,schauspieler,2,
gdc,trwt.0,rhamphastus,7,
gdc,trwt.0,magrona,29,
gdc,trwt.0,der_erste_muellerbursche,31,
gdc,trwt.0,lepidanthos,8,
gdc,trwt.0,die_unabaenderlichkeit,12,
gdc,trwt.0,musarion,25,
gdc,trwt.0,sattilka,30,
gdc,trwt.0,asafoetida,5,
