corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,tv5k.0,439,634,_Stage,_Stage,Zwei,CARD,zwei,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Zeltwände,NN,zeltwand,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,",","$,",--,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,die,PRELS,der,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,hinten,VVFIN,hinten,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,im,APPRART,in,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,rechten,ADJA,rechter,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Winkel,NN,winkel,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,zusammenstossen,VVPP,zusaenstießen,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,.,$.,--,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Die,ART,der,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Wände,NN,wand,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,sind,VAFIN,sein,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,lose,FM,lose,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,hängendes,FM,hängend,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,faltiges,FM,faltig,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Tuch,FM,tuch,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,.,$.,--,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Im,APPRART,in,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,rechten,ADJA,rechter,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Winkel,NN,winkel,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,kann,VMFIN,können,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,das,ART,der,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Tuch,NN,tuch,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,auseinandergeschlagen,VVINF,auseinanderschlagen,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,werden,VAFIN,werden,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,.,$.,--,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Möglichst,ADV,möglichst,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,prächtiges,ADJA,prächtig,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,Tuch,NN,tuch,1450,,
gdc,tv5k.0,439,634,_Stage,_Stage,.,$.,--,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Rechts,ADV,rechts,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Knoblauch,NN,knoblauch,1450,,(0)
gdc,tv5k.0,635,882,_Stage,_Stage,mit,APPR,mit,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,langen,ADJA,lang,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,roten,ADJA,rot,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Bartkotelettes,NN,bartkotelett,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,in,APPR,in,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,einem,ART,ein,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Triumphstuhl,NN,triumphstuhl,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,–,$(,–,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,rauchend,ADJD,rauchend,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,und,KON,und,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Zeitung,NN,zeitung,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,lesend,ADJD,lesend,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,.,$.,--,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,Er,PPER,er,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,ist,VAFIN,sein,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,sehr,ADV,sehr,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,elegant,ADJD,elegant,1450,,
gdc,tv5k.0,635,882,_Stage,_Stage,nach,APPR,nach,1450,,
