corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,tv63.0,375,763,_stage,431,439,Napoléon,napoleon
gdc,tv63.0,959,1014,_stage,990,997,Zibólko,zibolko
gdc,tv63.0,1015,1376,_stage,1015,1022,Zibólko,zibolko
gdc,tv63.0,1566,1595,napoleon,1586,1594,Napoléon,napoleon
gdc,tv63.0,1600,1651,zibolko,1622,1630,Napoléon,napoleon
gdc,tv63.0,1656,1802,napoleon,1666,1670,Mein,napoleon
gdc,tv63.0,1656,1802,napoleon,1678,1685,Zibólko,zibolko
gdc,tv63.0,1656,1802,napoleon,1753,1756,ich,napoleon
gdc,tv63.0,1807,1934,zibolko,1833,1839,meiner,zibolko
gdc,tv63.0,1939,2082,napoleon,2027,2030,ich,napoleon
gdc,tv63.0,1939,2082,napoleon,2031,2035,mich,napoleon
gdc,tv63.0,1939,2082,napoleon,2039,2045,meinem,napoleon
gdc,tv63.0,2087,2338,zibolko,2096,2099,Ich,zibolko
gdc,tv63.0,2342,2501,napoleon,2358,2362,mein,napoleon
gdc,tv63.0,2342,2501,napoleon,2370,2377,Zibólko,zibolko
gdc,tv63.0,2342,2501,napoleon,2379,2382,Ich,napoleon
gdc,tv63.0,2342,2501,napoleon,2467,2472,meine,napoleon
gdc,tv63.0,2342,2501,napoleon,2497,2500,ich,napoleon
gdc,tv63.0,2506,2608,zibolko,2541,2544,ich,zibolko
gdc,tv63.0,2733,2877,zibolko,2757,2760,ich,zibolko
gdc,tv63.0,2883,3396,napoleon,2971,2974,ich,napoleon
gdc,tv63.0,2883,3396,napoleon,2987,2990,Ich,napoleon
gdc,tv63.0,2883,3396,napoleon,3034,3037,Ich,napoleon
gdc,tv63.0,2883,3396,napoleon,3375,3378,Ich,napoleon
gdc,tv63.0,3443,3903,napoleon,3463,3466,ich,napoleon
gdc,tv63.0,3443,3903,napoleon,3552,3555,mir,napoleon
gdc,tv63.0,3443,3903,napoleon,3703,3706,Mir,napoleon
gdc,tv63.0,3443,3903,napoleon,3816,3819,Ich,napoleon
gdc,tv63.0,3908,4073,zibolko,3933,3936,ich,zibolko
gdc,tv63.0,3908,4073,zibolko,3978,3981,Ich,zibolko
gdc,tv63.0,3908,4073,zibolko,4036,4044,Napoléon,napoleon
gdc,tv63.0,3908,4073,zibolko,4062,4065,ich,zibolko
gdc,tv63.0,4078,4147,napoleon,4105,4109,mein,napoleon
gdc,tv63.0,4078,4147,napoleon,4117,4124,Zibólko,zibolko
gdc,tv63.0,4152,4207,zibolko,4194,4197,ich,zibolko
gdc,tv63.0,4287,4422,zibolko,4336,4339,ich,zibolko
gdc,tv63.0,4287,4422,zibolko,4408,4412,mein,zibolko
gdc,tv63.0,4460,4655,zibolko,4522,4530,Napoléon,napoleon
gdc,tv63.0,4460,4655,zibolko,4617,4624,Zibólko,zibolko
gdc,tv63.0,4891,4950,susanne,4906,4909,ich,susanne
gdc,tv63.0,5134,5188,susanne,5147,5154,Zibólko,zibolko
gdc,tv63.0,5193,5247,zibolko,5202,5205,Ich,zibolko
gdc,tv63.0,5456,5567,susanne,5486,5489,ich,susanne
gdc,tv63.0,5456,5567,susanne,5543,5546,Ich,susanne
gdc,tv63.0,5571,5680,zibolko,5580,5583,Ich,zibolko
gdc,tv63.0,5571,5680,zibolko,5659,5666,Susanne,susanne
gdc,tv63.0,5685,5730,napoleon,5722,5729,Susanne,susanne
gdc,tv63.0,5796,5866,_stage,5817,5824,Susanne,susanne
gdc,tv63.0,6149,6271,susanne,6158,6165,Zibólko,zibolko
gdc,tv63.0,6149,6271,susanne,6185,6188,Ich,susanne
gdc,tv63.0,6149,6271,susanne,6221,6224,Ich,susanne
gdc,tv63.0,6338,7209,susanne,6351,6355,mein,susanne
gdc,tv63.0,6338,7209,susanne,6366,6369,ich,susanne
gdc,tv63.0,6338,7209,susanne,6403,6407,Mein,susanne
gdc,tv63.0,6338,7209,susanne,6471,6474,Ich,susanne
gdc,tv63.0,6338,7209,susanne,6513,6516,ich,susanne
gdc,tv63.0,6338,7209,susanne,6556,6560,mein,susanne
gdc,tv63.0,6338,7209,susanne,6583,6587,mein,susanne
gdc,tv63.0,6630,7209,_stage,6630,6638,Napoléon,napoleon
gdc,tv63.0,6630,7209,_stage,6700,6707,Susanne,susanne
gdc,tv63.0,6630,7209,_stage,7032,7039,Zibólko,zibolko
gdc,tv63.0,7213,7358,susanne,7239,7242,mir,susanne
gdc,tv63.0,7213,7358,susanne,7273,7277,Mein,susanne
