corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,tvfs.0,265,340,_Stage,_Stage,Rechts,ADV,rechts,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,eine,ART,ein,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,weisse,ADJA,weissen,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,Wand,NN,wand,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,–,NE,–,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,links,ADV,links,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,eine,ART,ein,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,weisse,ADJA,weissen,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,Wand,NN,wand,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,–,CARD,–,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,hinten,ADV,hinten,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,eine,ART,ein,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,weisse,ADJA,weissen,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,Wand,NN,wand,1558,,
gdc,tvfs.0,265,340,_Stage,_Stage,"!",$.,--,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,Und,KON,und,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,in,APPR,in,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,der,ART,der,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,Mitte,NN,mitte,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,der,ART,der,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,Bühne,NN,bühne,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,steht,VVFIN,stehen,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,ein,ART,ein,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,alter,ADJA,alt,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,Tisch,NN,tisch,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,",","$,",--,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,der,PRELS,der,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,mit,APPR,mit,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,der,ART,der,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,Schmalseite,NN,schmalseite,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,nach,APPR,nach,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,vorne,ADV,vorne,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,gerichtet,VVPP,richten,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,ist,VAFIN,sein,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,",","$,",--,1558,,
gdc,tvfs.0,341,463,_Stage,_Stage,als,APPR,als,1558,,
