corpus,drama,figure_surface,figure_id,Gender,Age
gdc,twt3.0,Shrewsbury,shrewsbury,MALE,
gdc,twt3.0,Die Kammerfrauen,die_kammerfrauen,FEMALE,
gdc,twt3.0,Maria,maria,FEMALE,
gdc,twt3.0,Page,page,MALE,
gdc,twt3.0,Aubespine,aubespine,MALE,
gdc,twt3.0,Davison,davison,MALE,
gdc,twt3.0,Burleigh,burleigh,MALE,
gdc,twt3.0,Mortimer,mortimer,MALE,
gdc,twt3.0,Melvil,melvil,MALE,
gdc,twt3.0,Offizier,offizier,MALE,
gdc,twt3.0,Paulet,paulet,MALE,
gdc,twt3.0,Zweite Kammerfrau,zweite_kammerfrau,FEMALE,
gdc,twt3.0,Okelly,okelly,MALE,
gdc,twt3.0,Kent,kent,MALE,
gdc,twt3.0,Bellievre,bellievre,MALE,
gdc,twt3.0,Kennedy,kennedy,FEMALE,
gdc,twt3.0,Leicester,leicester,MALE,
gdc,twt3.0,Kurl,kurl,FEMALE,
gdc,twt3.0,Elisabeth,elisabeth,FEMALE,
gdc,twt3.0,Burgoyn,burgoyn,MALE,
