corpus,drama,figure_surface,figure_id,Gender,Age
gdc,tx4z.0,Don Ludwig Merkado,merkado,MALE,
gdc,tx4z.0,Prior,prior,MALE,
gdc,tx4z.0,Infantin,infantin,FEMALE,
gdc,tx4z.0,Herzog von Medina Sidonia,medina_sidonia,MALE,
gdc,tx4z.0,Herzog von Feria,feria,MALE,
gdc,tx4z.0,Prinz von Parma,parma,MALE,
gdc,tx4z.0,Marquisin von Mondekar,mondekar,FEMALE,
gdc,tx4z.0,Großinquisitor,grossinquisitor,MALE,
gdc,tx4z.0,Marquis von Posa,marquis,MALE,
gdc,tx4z.0,Offizier (V/9),offizier_5-9,MALE,
gdc,tx4z.0,Herzogin von Olivarez,olivarez,FEMALE,
gdc,tx4z.0,Don Raimond von Taxis,taxis,MALE,
gdc,tx4z.0,Prinzessin von Eboli,prinzessin_von_eboli,FEMALE,
gdc,tx4z.0,Königin,koenigin,FEMALE,
gdc,tx4z.0,Don Carlos,carlos,MALE,
gdc,tx4z.0,Gräfin Fuentes,fuentes,FEMALE,
gdc,tx4z.0,Domingo,domingo,MALE,
gdc,tx4z.0,Offizier (V/5),offizier_5-5,MALE,
gdc,tx4z.0,Herzog von Alba,alba,MALE,
gdc,tx4z.0,Einer von den Granden,erster_grande,MALE,
gdc,tx4z.0,Ein zweiter,ein_zweiter,MALE,
gdc,tx4z.0,Graf von Lerma,lerma,MALE,
gdc,tx4z.0,Ein dritter,ein_dritter,MALE,
gdc,tx4z.0,Die übrigen/anwesenden/Alle Granden,die_granden,MALE,
gdc,tx4z.0,König Philipp,koenig_philipp,MALE,
gdc,tx4z.0,Page,page,MALE,
