corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,v0fv.0,9205,68836,0,9218,29401,0
gdc,v0fv.0,9205,68836,0,29408,58809,0
gdc,v0fv.0,9205,68836,0,58816,68836,0
gdc,v0fv.0,68845,139023,0,68859,79347,0
gdc,v0fv.0,68845,139023,0,79354,97089,0
gdc,v0fv.0,68845,139023,0,97097,139023,0
gdc,v0fv.0,139032,163308,0,139046,146053,0
gdc,v0fv.0,139032,163308,0,146061,163308,0
gdc,v0fv.0,163318,218867,0,163332,166180,0
gdc,v0fv.0,163318,218867,0,166187,180616,0
gdc,v0fv.0,163318,218867,0,180623,189440,0
gdc,v0fv.0,163318,218867,0,189447,194886,0
gdc,v0fv.0,163318,218867,0,194892,218867,0
gdc,v0fv.0,218876,259053,0,218890,241461,0
gdc,v0fv.0,218876,259053,0,241468,259053,0
