corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,v183.0,285,324,_Stage,_Stage,Frizzens,NE,frizzen,6986,,
gdc,v183.0,285,324,_Stage,_Stage,Zimmer,NN,zimmer,6986,,
gdc,v183.0,285,324,_Stage,_Stage,in,APPR,in,6986,,
gdc,v183.0,285,324,_Stage,_Stage,Doktor,NN,doktor,6986,,
gdc,v183.0,285,324,_Stage,_Stage,Fausts,NN,faust,6986,,
gdc,v183.0,285,324,_Stage,_Stage,Hause,NN,haus,6986,,
gdc,v183.0,285,324,_Stage,_Stage,.,$.,--,6986,,
gdc,v183.0,331,349,Friz,friz,auf-,TRUNC,auf,6986,,
gdc,v183.0,331,349,Friz,friz,und,KON,und,6986,,
gdc,v183.0,331,349,Friz,friz,abgehend,ADJD,abgehend,6986,,
gdc,v183.0,331,349,Friz,friz,.,$.,--,6986,,
gdc,v183.0,1244,1260,Friz,friz,Es,PPER,es,6986,,
gdc,v183.0,1244,1260,Friz,friz,wird,VAFIN,werden,6986,,
gdc,v183.0,1244,1260,Friz,friz,gepocht,VVPP,pochen,6986,,
gdc,v183.0,1244,1260,Friz,friz,.,$.,--,6986,,
gdc,v183.0,1295,1327,_Stage,_Stage,Rosalinde,NN,rosalinde,6986,,(1)
gdc,v183.0,1295,1327,_Stage,_Stage,in,APPR,in,6986,,
gdc,v183.0,1295,1327,_Stage,_Stage,Mannokleidern,NN,mannokleid,6986,,
gdc,v183.0,1295,1327,_Stage,_Stage,Friz,NN,friz,6986,,(0)
gdc,v183.0,1295,1327,_Stage,_Stage,.,$.,--,6986,,
gdc,v183.0,1407,1416,Friz,friz,Für,APPR,für,6986,,
gdc,v183.0,1407,1416,Friz,friz,sich,PRF,sich,6986,,
gdc,v183.0,1407,1416,Friz,friz,.,$.,--,6986,,
gdc,v183.0,1556,1570,Friz,friz,Sie,PPER,sie,6986,,
gdc,v183.0,1556,1570,Friz,friz,erkennend,ADJD,erkennend,6986,,
gdc,v183.0,1556,1570,Friz,friz,.,$.,--,6986,,
gdc,v183.0,3813,3825,Rosalinde,rosalinde,verächtlich,ADJD,verächtlich,6986,,
gdc,v183.0,3813,3825,Rosalinde,rosalinde,.,$.,--,6986,,
gdc,v183.0,4173,4182,Friz,friz,Beide,PIS,beide,6986,,
gdc,v183.0,4173,4182,Friz,friz,ab,PTKVZ,ab,6986,,
gdc,v183.0,4173,4182,Friz,friz,.,$.,--,6986,,
gdc,v183.0,4209,4230,_Stage,_Stage,Doktor,NN,doktor,6986,,
gdc,v183.0,4209,4230,_Stage,_Stage,Fausts,NE,faust,6986,,
gdc,v183.0,4209,4230,_Stage,_Stage,Zimmer,NE,zimmer,6986,,
gdc,v183.0,4209,4230,_Stage,_Stage,.,$.,--,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,nachdenkend,ADJD,nachdenkend,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,",","$,",--,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,in,APPR,in,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,einem,ART,ein,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,Stul,NN,stul,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,",","$,",--,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,eine,ART,ein,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,lange,ADJA,lang,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,Pause,NN,pause,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,",","$,",--,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,sich,PRF,sich,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,aufhebend,ADJD,aufhebend,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,–,KOKOM,–,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,die,ART,der,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,Hand,NN,hand,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,zum,APPRART,zu,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,Himmel,NN,himmel,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,gehoben,VVPP,heben,6986,,
gdc,v183.0,4245,4336,Doktor Faust,faust,.,$.,--,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,Versinkt,VVFIN,versinkt,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,wieder,ADV,wieder,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,in,APPR,in,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,Nachdenken,NN,nachdenken,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,",","$,",--,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,gerät,VVFIN,geraten,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,nach,ADV,nach,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,und,KON,und,6986,,
gdc,v183.0,4523,4603,Doktor Faust,faust,nach,ADV,nach,6986,,
