corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Mein,PPOSAT,mein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Sohn,NN,sohn,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,die,ART,der,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Stube,NN,stube,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,hier,ADV,hier,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,die,PRELS,der,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ich,PPER,ich,26310,SYLVESTER,sylvester
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,euch,PRF,euch,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,indessen,ADV,indessen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,eingegeben,VVPP,eingeben,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,habe,VAFIN,haben,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ist,VAFIN,sein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,meine,PPOSAT,mein,26310,SYLVESTER,sylvester
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,und,KON,und,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,meiner,PPOSAT,mein,26310,SYLVESTER,sylvester
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,lieben,ADJA,lieben,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Frau,NN,frau,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ihre,PPOSAT,ihr,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Putzstube,NN,putzstube,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,"!",$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Und,KON,und,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ihr,PPOSAT,ihr,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,wißt,VVFIN,wissen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,daß,KOUS,daß,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,wir,PPER,wir,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,und,KON,und,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ihr,PPOSAT,ihr,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,heute,ADV,heute,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,einen,ART,ein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Besuch,NN,besuch,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,kriegen,VVINF,kriegen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,werden,VAFIN,werden,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,der,PRELS,der,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,zu,APPR,zu,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,eurem,ADJA,dein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Besten,NN,gut,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,abgesehen,VVPP,absehen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ist,VAFIN,sein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,.,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Ich,PPER,ich,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,weis,VVFIN,weis,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,nicht,PTKNEG,nicht,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,warum,PWAV,warum,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ihr,PPOSAT,ihr,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,beständig,ADJD,beständig,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,so,ADV,so,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,viel,PIDAT,viel,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Sachen,NN,sache,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,hier,ADV,hier,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,habt,VAFIN,haben,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,die,PRELS,der,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,zu,APPR,zu,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,eurer,ADJA,eurer,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Advocaterey,NN,advocaterey,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,doch,ADV,doch,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,gewiß,ADV,gewiß,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,nicht,PTKNEG,nicht,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,gehören,VVINF,gehören,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,können,VMFIN,können,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,.,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Da,ADV,da,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,sind,VAFIN,sein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Pistolen,NN,pistolen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,;,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,da,ADV,da,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,sind,VAFIN,sein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,große,ADJA,groß,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Reitstiefel,NN,reitstiefel,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,;,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,da,ADV,da,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,sind,VAFIN,sein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Spornen,NN,sporne,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,;,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,hier,ADV,hier,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,steht,VVFIN,stehen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ja,ADV,ja,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,gar,ADV,gar,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Malerzeug,NN,malerzeug,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,:,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,dort,ADV,dort,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,stellt,VVFIN,stellen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,eine,ART,ein,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Laute,NN,laute,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,.,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Bücher,NN,buch,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,sehe,VVFIN,sehen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ich,PPER,ich,26310,SYLVESTER,sylvester
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,nun,ADV,nun,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,wohl,ADV,wohl,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,eben,ADV,eben,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,nicht,PTKNEG,nicht,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,hier,ADV,hier,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,.,$.,--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,Aber,KON,aber,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ich,PPER,ich,26310,SYLVESTER,sylvester
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,dächte,VVFIN,dächen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,doch,ADV,doch,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,",","$,",--,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,wenn,KOUS,wenn,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ihr,PPOSAT,ihr,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,ja,ADV,ja,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,viel,PIS,viel,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,hereintrügt,VVPP,hereintrügen,26310,,
gdc,v3mx.0,628,1264,SYLVESTER,sylvester,:,$.,--,26310,,
