corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,v401.0,468,11467,0,629,1759,0
gdc,v401.0,468,11467,0,1765,2727,0
gdc,v401.0,468,11467,0,2733,5342,0
gdc,v401.0,468,11467,0,5350,7536,0
gdc,v401.0,468,11467,0,7542,7921,0
gdc,v401.0,468,11467,0,7928,11467,0
gdc,v401.0,11474,24996,0,11521,13168,0
gdc,v401.0,11474,24996,0,13176,14461,0
gdc,v401.0,11474,24996,0,14467,15443,0
gdc,v401.0,11474,24996,0,15449,21359,0
gdc,v401.0,11474,24996,0,21363,21958,0
gdc,v401.0,11474,24996,0,21964,22264,0
gdc,v401.0,11474,24996,0,22272,24996,0
gdc,v401.0,25003,39756,0,25148,26413,0
gdc,v401.0,25003,39756,0,26417,27852,0
gdc,v401.0,25003,39756,0,27858,30282,0
gdc,v401.0,25003,39756,0,30290,31206,0
gdc,v401.0,25003,39756,0,31212,32036,0
gdc,v401.0,25003,39756,0,32042,34622,0
gdc,v401.0,25003,39756,0,34629,35339,0
gdc,v401.0,25003,39756,0,35345,36129,0
gdc,v401.0,25003,39756,0,36136,37213,0
gdc,v401.0,25003,39756,0,37217,39756,0
