corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Still,ADJD,still,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,noch,KON,noch,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,decket,VVFIN,decket,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,uns,PPER,uns,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,die,ART,der,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Nacht,NN,nacht,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,.,$.,--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Schaffet,PTKA,schaffet,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,hurtig,ADJD,hurtig,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,gehet,ADJD,gehet,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,leise,ADJD,leise,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Daß,KOUS,daß,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,der,ART,der,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Vater,NN,vater,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,nicht,PTKNEG,nicht,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,erwacht,VVPP,erwachen,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,;,$.,--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Er,PPER,er,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,der,ART,der,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Gütige,NN,gütige,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Weise,NN,weise,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Der,PRELS,der,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,uns,PPER,uns,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Heil,NN,heil,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Glück,NN,glück,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,gebracht,VVPP,bringen,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,.,$.,--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Seit,KOUS,seit,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,er,PPER,er,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,heut,ADV,heuen,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,',$(,--,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,vor,APPR,vor,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,zwanzig,CARD,zwanzig,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Jahren,NN,jahr,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Hier,ADV,hier,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,in,APPR,in,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,unserm,PPOSAT,unser,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Thal,NN,thal,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,erschien,VVFIN,erscheinen,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Schützte,NN,schützen,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,er,PPER,er,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,uns,PPER,uns,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,vor,APPR,vor,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Gefahren,NN,gefahr,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Und,KON,und,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,erhob,VVFIN,erheben,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,uns,PPER,uns,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Herz,NN,herz,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,Sinn,NN,sinn,7731,,
gdc,v401.0,781,1067,Chor der Landleute,chor_der_landleute,.,$.,--,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,D,XY,D,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,',$(,--,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,rum,XY,rum,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,fröhlich,ADJD,fröhlich,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,und,KON,und,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,munter,ADJD,munter,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,",","$,",--,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,–,KON,–,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Das,ART,der,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Fest,NN,fest,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,zu,PTKZU,zu,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,bereiten,VVINF,bereiten,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,",","$,",--,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Laßt,NN,lassen,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,reicher,ADJD,reich,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,und,KON,und,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,bunter,APPR,bunt,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Das,ART,der,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Haus,NN,haus,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,uns,PPER,uns,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,umkleiden,VVFIN,umkleiden,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Mit,APPR,mit,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Blumen,NN,blume,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,und,KON,und,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Grün,NN,grüne,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,In,APPR,in,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,dankbarem,ADJA,dankbar,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,Sinn,NN,sinn,7731,,
gdc,v401.0,1073,1223,Edwiga,edwiga,.,$.,--,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,D,XY,D,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,',$(,--,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,rum,XY,rum,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,fröhlich,ADJD,fröhlich,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,munter,ADJD,munter,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,–,KON,–,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Laßt,NN,lassen,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,reicher,ADJD,reich,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,bunter,APPR,bunt,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Das,ART,der,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Haus,NN,haus,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,uns,PPER,uns,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,umkleiden,VVFIN,umkleiden,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Mit,APPR,mit,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Blumen,NN,blume,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,und,KON,und,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,Grün,NN,grüne,7731,,
gdc,v401.0,1230,1336,Chor der Landleute,chor_der_landleute,.,$.,--,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Er,PPER,er,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,war,VAFIN,sein,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,unser,PPOSAT,unser,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Lehrer,NN,lehrer,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,In,APPR,in,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,männlicher,ADJA,männlich,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Tugend,NN,tugend,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,",","$,",--,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Erzog,NN,erzog,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,seinen,PPOSAT,sein,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Sohn,NN,sohn,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,hier,ADV,hier,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Als,APPR,als,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Vorbild,NN,vorbild,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,der,ART,der,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Jugend,NN,jugend,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,",","$,",--,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,D,NN,D,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,',$(,--,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,rum,FM,rum,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,bleib,FM,bleib,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,',$(,--,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,er,PPER,er,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,noch,ADV,noch,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,lange,ADJA,lang,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Uns,NN,uns,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Führer,NN,führer,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,und,KON,und,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,Freund,NN,freund,7731,,
gdc,v401.0,1342,1494,Guisto,guisto,.,$.,--,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,Er,PPER,er,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,war,VAFIN,sein,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,unser,PPOSAT,unser,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,Lehrer,NN,lehrer,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,In,APPR,in,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,jeglicher,PIAT,jeglich,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,Tugend,NN,tugend,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,",","$,",--,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,D,XY,D,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,',$(,--,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,rum,XY,rum,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,bleib,VVFIN,bleib,7731,,
gdc,v401.0,1500,1759,Chor der Landleute,chor_der_landleute,',$(,--,7731,,
