corpus,drama,figure_surface,figure_id,Gender,Age
gdc,vnmx.0,Auerhahn,auerhahn,MALE,
gdc,vnmx.0,Don Carlos,don_carlos,MALE,
gdc,vnmx.0,Casperle,casperle,MALE,
gdc,vnmx.0,Haribax,haribax,MALE,
gdc,vnmx.0,Megära,megaera,FEMALE,
gdc,vnmx.0,Xerxes,xerxes,MALE,
gdc,vnmx.0,Vitzliputzli,vitzliputzli,MALE,
gdc,vnmx.0,Faust,faust,MALE,
gdc,vnmx.0,Wagner,wagner,MALE,
gdc,vnmx.0,Altes Weib,altes_weib,FEMALE,
gdc,vnmx.0,Herzog,herzog,MALE,
gdc,vnmx.0,Mephistopheles,mephistopheles,MALE,
gdc,vnmx.0,Astarot,astarot,MALE,
gdc,vnmx.0,Das Frauenzimmer,das_frauenzimmer,FEMALE,
gdc,vnmx.0,Asmodeus,asmodeus,MALE,
gdc,vnmx.0,Gretl,gretl,FEMALE,
gdc,vnmx.0,Dumpfe Stimme von oben,dumpfe_stimme_von_oben,UNKNOWN,
gdc,vnmx.0,Mehrere Stimmen zur Linken (Geister),mehrere_stimmen_zur_linken_geister,UNKNOWN,
gdc,vnmx.0,Stimme zur Linken,stimme_zur_linken,UNKNOWN,
gdc,vnmx.0,Polümor,poluemor,MALE,
gdc,vnmx.0,Herzogin,herzogin,FEMALE,
gdc,vnmx.0,Stimme zur Rechten (Schutzgeist),stimme_zur_rechten_schutzgeist,MALE,
