corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,vnmx.0,4751,16043,0,4768,6721,0
gdc,vnmx.0,4751,16043,0,6730,9498,0
gdc,vnmx.0,4751,16043,0,9505,11093,0
gdc,vnmx.0,4751,16043,0,11101,16043,0
gdc,vnmx.0,16053,31936,0,16071,24381,0
gdc,vnmx.0,16053,31936,0,24388,31936,0
gdc,vnmx.0,31945,52989,0,31963,37846,0
gdc,vnmx.0,31945,52989,0,37854,40015,0
gdc,vnmx.0,31945,52989,0,40022,48053,0
gdc,vnmx.0,31945,52989,0,48060,52989,0
gdc,vnmx.0,52998,69886,0,53016,56282,0
gdc,vnmx.0,52998,69886,0,56290,59566,0
gdc,vnmx.0,52998,69886,0,59573,60664,0
gdc,vnmx.0,52998,69886,0,60671,61725,0
gdc,vnmx.0,52998,69886,0,61732,66438,0
gdc,vnmx.0,52998,69886,0,66446,67525,0
gdc,vnmx.0,52998,69886,0,67532,68251,0
gdc,vnmx.0,52998,69886,0,68260,68764,0
gdc,vnmx.0,52998,69886,0,68771,69886,0
