corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,vpv1.0,807,816,_Stage,_Stage,Ouvertüre,NE,ouvertüre,10562,,
gdc,vpv1.0,833,863,_Stage,_Stage,Der,ART,der,10562,,
gdc,vpv1.0,833,863,_Stage,_Stage,Hof,NN,hof,10562,,
gdc,vpv1.0,833,863,_Stage,_Stage,des,ART,der,10562,,
gdc,vpv1.0,833,863,_Stage,_Stage,Staatsgefängnisses,NN,staatsgefängnis,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Im,APPRART,in,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Hintergrunde,NN,hintergrunde,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,das,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Haupttor,NN,haupttor,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,und,KON,und,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,eine,ART,ein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,hohe,ADJA,hoch,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Wallmauer,NN,wallmauer,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,über,APPR,über,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,die,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Bäume,NN,baum,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,hervorragen,VVINF,herrragen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,.,$.,--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Im,APPRART,in,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,geschlossenen,ADJA,geschlossen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Tore,NN,tor,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,selbst,ADV,selbst,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,ist,VAFIN,sein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,eine,ART,ein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,kleine,ADJA,klein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Pforte,NN,pforte,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,die,PRELS,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,für,APPR,für,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,einzelne,ADJA,einzeln,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Fußgänger,NN,fußgänger,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,geöffnet,VVPP,öffnen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,wird,VAFIN,werden,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,.,$.,--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Neben,APPR,neben,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,dem,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Tore,NN,tor,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,das,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Stübchen,NN,stübchen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,des,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Pförtners,NN,pförtner,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,.,$.,--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Die,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Kulissen,NN,kulisse,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,von,APPR,von,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,den,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Zuschauern,NN,zuschauer,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,links,ADV,links,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,stellen,VVFIN,stellen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,die,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Wohngebäude,NN,wohngebäude,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,der,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Gefangenen,NN,gefangener,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,vor,PTKVZ,vor,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,alle,PIAT,aller,10562,,(10)
gdc,vpv1.0,864,1492,_Stage,_Stage,Fenster,NN,fenster,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,haben,VAFIN,haben,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Gitter,NN,gitter,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,und,KON,und,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,die,PRELS,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,mit,APPR,mit,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Nummern,NN,nummer,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,bezeichneten,ADJA,bezeichnet,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Türen,NN,tür,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,sind,VAFIN,sein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,mit,APPR,mit,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Eisen,NN,eisen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,beschlagen,VVPP,beschlagen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,und,KON,und,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,mit,APPR,mit,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,starken,ADJA,stark,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Riegeln,NN,riegel,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,verwahrt,VVPP,verwahren,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,.,$.,--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,In,APPR,in,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,der,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,vordersten,ADJA,vorder,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Kulisse,NN,kulisse,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,ist,VAFIN,sein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,die,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Tür,NN,tür,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,zur,APPRART,zu,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Wohnung,NN,wohnung,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,des,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Gefangenenwärters,NN,gefangenenwärter,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,.,$.,--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Rechts,ADV,rechts,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,stehen,VVFIN,stehen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Bäume,NN,baum,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,mit,APPR,mit,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,eisernen,ADJA,eisern,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Geländern,NN,geländer,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,eingefaßt,VVPP,einfassen,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,",","$,",--,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,welche,PRELS,welcher,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,nebst,APPR,nebst,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,einem,ART,ein,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Gartentore,NN,gartentore,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,den,ART,der,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,Eingang,NN,eingang,10562,,
gdc,vpv1.0,864,1492,_Stage,_Stage,zum,APPRART,zu,10562,,
