corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,vrdc.0,385,434,Puf,puf,Lustig,ADJD,lustig,9932,,
gdc,vrdc.0,385,434,Puf,puf,",","$,",--,9932,,
gdc,vrdc.0,385,434,Puf,puf,Herr,NN,herr,9932,,
gdc,vrdc.0,385,434,Puf,puf,Direkteur,NN,direkteur,9932,,
gdc,vrdc.0,385,434,Puf,puf,",","$,",--,9932,,
gdc,vrdc.0,385,434,Puf,puf,wir,PPER,wir,9932,,
gdc,vrdc.0,385,434,Puf,puf,haben,VAFIN,haben,9932,,
gdc,vrdc.0,385,434,Puf,puf,Permißion,NN,permißion,9932,,
gdc,vrdc.0,385,434,Puf,puf,.,$.,--,9932,,
gdc,vrdc.0,439,467,Frank,frank,Wo,PWAV,wo,9932,,
gdc,vrdc.0,439,467,Frank,frank,lieber,ADJA,lieb,9932,,
gdc,vrdc.0,439,467,Frank,frank,Puf,NN,puf,9932,puf,(0)
gdc,vrdc.0,439,467,Frank,frank,?,$.,--,9932,,
gdc,vrdc.0,472,489,Puf,puf,In,APPR,in,9932,,
gdc,vrdc.0,472,489,Puf,puf,Salzburg,NE,salzburg,9932,,
gdc,vrdc.0,472,489,Puf,puf,.,$.,--,9932,,
gdc,vrdc.0,494,554,Frank,frank,In,APPR,in,9932,,
gdc,vrdc.0,494,554,Frank,frank,Salzburg,NE,salzburg,9932,,
gdc,vrdc.0,494,554,Frank,frank,"!",$.,--,9932,,
gdc,vrdc.0,494,554,Frank,frank,dem,ART,der,9932,,
gdc,vrdc.0,494,554,Frank,frank,Vaterlande,NN,vaterlande,9932,,
gdc,vrdc.0,494,554,Frank,frank,des,ART,der,9932,,
gdc,vrdc.0,494,554,Frank,frank,Hannswursts,NN,hannswurst,9932,,
gdc,vrdc.0,494,554,Frank,frank,"!",$.,--,9932,,
gdc,vrdc.0,559,820,Puf,puf,O,ITJ,O,9932,,
gdc,vrdc.0,559,820,Puf,puf,nur,ADV,nur,9932,,
gdc,vrdc.0,559,820,Puf,puf,keine,PIAT,kein,9932,,
gdc,vrdc.0,559,820,Puf,puf,Grillen,NN,grille,9932,,
gdc,vrdc.0,559,820,Puf,puf,"!",$.,--,9932,,
gdc,vrdc.0,559,820,Puf,puf,Seyn,KOUS,seyn,9932,,
gdc,vrdc.0,559,820,Puf,puf,Sie,PPER,sie,9932,,
