corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,vrdj.0,1277,1522,_stage,1287,1296,Sturmwald,sturmwald
gdc,vrdj.0,1277,1522,_stage,1356,1362,Stößel,stoessel
gdc,vrdj.0,1277,1522,_stage,1405,1412,Claudia,claudia
gdc,vrdj.0,1277,1522,_stage,1427,1434,Rosalie,rosalie
gdc,vrdj.0,1277,1522,_stage,1453,1460,Leonore,leonore
gdc,vrdj.0,2300,2325,_stage,2300,2307,Leonore,leonore
gdc,vrdj.0,2420,2540,sturmwald,2435,2439,mein,sturmwald
gdc,vrdj.0,2420,2540,sturmwald,2450,2456,Stößel,stoessel
gdc,vrdj.0,2420,2540,sturmwald,2484,2488,mein,sturmwald
gdc,vrdj.0,2420,2540,sturmwald,2513,2516,ich,sturmwald
gdc,vrdj.0,2545,2656,stoessel,2576,2583,Leonore,leonore
gdc,vrdj.0,2705,2974,claudia,2909,2912,ich,claudia
gdc,vrdj.0,3037,3196,claudia,3178,3181,ich,claudia
gdc,vrdj.0,3324,3431,sturmwald,3374,3377,ich,sturmwald
gdc,vrdj.0,3506,3625,claudia,3558,3562,mich,claudia
gdc,vrdj.0,3506,3625,claudia,3568,3571,ich,claudia
gdc,vrdj.0,3506,3625,claudia,3596,3599,ich,claudia
gdc,vrdj.0,3506,3625,claudia,3600,3605,meine,claudia
gdc,vrdj.0,3767,3807,claudia,3781,3784,mir,claudia
gdc,vrdj.0,3883,3917,_stage,3883,3890,Rosalie,rosalie
gdc,vrdj.0,3883,3917,_stage,3909,3916,Leonore,leonore
gdc,vrdj.0,3997,4136,leonore,4032,4036,mein,leonore
gdc,vrdj.0,3997,4136,leonore,4080,4083,ich,leonore
gdc,vrdj.0,4141,4292,claudia,4266,4272,Stößel,stoessel
gdc,vrdj.0,4304,4315,_stage,4307,4314,Leonore,leonore
gdc,vrdj.0,4297,4466,stoessel,4323,4326,mir,stoessel
gdc,vrdj.0,4297,4466,stoessel,4328,4332,mein,stoessel
gdc,vrdj.0,4479,4489,_stage,4482,4488,Stößel,stoessel
gdc,vrdj.0,4668,5112,stoessel,4758,4765,Leonore,leonore
gdc,vrdj.0,5224,5319,stoessel,5232,5239,Claudia,claudia
gdc,vrdj.0,5224,5319,stoessel,5254,5257,mir,stoessel
gdc,vrdj.0,5224,5319,stoessel,5268,5271,ich,stoessel
gdc,vrdj.0,5224,5319,stoessel,5304,5307,ich,stoessel
gdc,vrdj.0,5332,5343,_stage,5335,5342,Leonore,leonore
gdc,vrdj.0,5501,5568,claudia,5547,5556,Sturmwald,sturmwald
