corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,vrds.0,259,298,_Stage,_Stage,Kranke,NN,kranke,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,im,APPRART,in,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,Spital,NN,spital,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,unter,APPR,unter,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,folgenden,ADJA,folgend,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,Namen,NN,name,18769,,
gdc,vrds.0,259,298,_Stage,_Stage,:,$.,--,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Innerer,ADJA,innerer,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Hof,NN,hof,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,im,APPRART,in,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Spital,NN,spital,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,.,$.,--,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Man,PIS,man,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,sieht,VVFIN,sehen,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,auf,APPR,auf,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,beyden,ADJA,beyden,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Seiten,NN,seite,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Fenster,NN,fenster,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,mit,APPR,mit,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Läden,NN,laden,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,",","$,",--,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,welche,PRELS,welcher,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,die,ART,der,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Behältnisse,NN,behältnis,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,der,ART,der,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Kranken,NN,kranke,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,anzeigen,VVINF,anzeigen,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,;,$.,--,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,im,APPRART,in,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Grunde,NN,grund,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,eine,ART,ein,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,eiserne,ADJA,eisern,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Thüre,NN,thüre,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,",","$,",--,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,welche,PRELS,welcher,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,den,ART,der,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Eingang,NN,eingang,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,ins,APPRART,in,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Spital,NN,spital,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,von,APPR,von,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,der,ART,der,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,Straße,NN,straße,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,her,APZR,her,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,bezeichnet,VVFIN,bezeichnen,18769,,
gdc,vrds.0,429,674,_Stage,_Stage,",","$,",--,18769,,
