corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,w3zd.0,540,27026,0,557,6188,0
gdc,w3zd.0,540,27026,0,6194,9559,0
gdc,w3zd.0,540,27026,0,9566,15941,0
gdc,w3zd.0,540,27026,0,15947,17200,0
gdc,w3zd.0,540,27026,0,17208,17333,0
gdc,w3zd.0,540,27026,0,17340,19901,0
gdc,w3zd.0,540,27026,0,19908,20310,0
gdc,w3zd.0,540,27026,0,20316,20448,0
gdc,w3zd.0,540,27026,0,20455,22969,0
gdc,w3zd.0,540,27026,0,22975,27026,0
gdc,w3zd.0,27035,51793,0,27053,32758,0
gdc,w3zd.0,27035,51793,0,32764,34324,0
gdc,w3zd.0,27035,51793,0,34332,34428,0
gdc,w3zd.0,27035,51793,0,34435,40076,0
gdc,w3zd.0,27035,51793,0,40082,41051,0
gdc,w3zd.0,27035,51793,0,41058,43342,0
gdc,w3zd.0,27035,51793,0,43348,47862,0
gdc,w3zd.0,27035,51793,0,47869,48445,0
gdc,w3zd.0,27035,51793,0,48451,51793,0
gdc,w3zd.0,51801,66327,0,51819,52038,0
gdc,w3zd.0,51801,66327,0,52045,55836,0
gdc,w3zd.0,51801,66327,0,55842,56148,0
gdc,w3zd.0,51801,66327,0,56155,56314,0
gdc,w3zd.0,51801,66327,0,56320,58524,0
gdc,w3zd.0,51801,66327,0,58531,61740,0
gdc,w3zd.0,51801,66327,0,61747,65026,0
gdc,w3zd.0,51801,66327,0,65032,66327,0
gdc,w3zd.0,66335,80880,0,66353,66494,0
gdc,w3zd.0,66335,80880,0,66501,67180,0
gdc,w3zd.0,66335,80880,0,67187,69356,0
gdc,w3zd.0,66335,80880,0,69363,70137,0
gdc,w3zd.0,66335,80880,0,70144,73944,0
gdc,w3zd.0,66335,80880,0,73951,74138,0
gdc,w3zd.0,66335,80880,0,74144,75211,0
gdc,w3zd.0,66335,80880,0,75218,76410,0
gdc,w3zd.0,66335,80880,0,76416,76709,0
gdc,w3zd.0,66335,80880,0,76716,78238,0
gdc,w3zd.0,66335,80880,0,78246,79887,0
gdc,w3zd.0,66335,80880,0,79894,80880,0
gdc,w3zd.0,80888,93649,0,80906,84926,0
gdc,w3zd.0,80888,93649,0,84933,85151,0
gdc,w3zd.0,80888,93649,0,85155,85342,0
gdc,w3zd.0,80888,93649,0,85349,86187,0
gdc,w3zd.0,80888,93649,0,86193,86831,0
gdc,w3zd.0,80888,93649,0,86839,87309,0
gdc,w3zd.0,80888,93649,0,87316,88979,0
gdc,w3zd.0,80888,93649,0,88986,89350,0
gdc,w3zd.0,80888,93649,0,89358,91230,0
gdc,w3zd.0,80888,93649,0,91238,93649,0
