corpus,drama,figure_surface,figure_id,Gender,Age
gdc,w407.0,Generalin,generalin,FEMALE,
gdc,w407.0,Magda,magda,FEMALE,
gdc,w407.0,General,general,MALE,
gdc,w407.0,Frau Schwartze,frau_schwartze,FEMALE,
gdc,w407.0,Frau Ellrich,frau_ellrich,FEMALE,
gdc,w407.0,Frau Schumann,frau_schumann,FEMALE,
gdc,w407.0,Therese,therese,FEMALE,
gdc,w407.0,Professor,professor,MALE,
gdc,w407.0,Keller,keller,MALE,
gdc,w407.0,Franziska,franziska,FEMALE,
gdc,w407.0,Pfarrer,pfarrer,MALE,
gdc,w407.0,Schwartze,schwartze,MALE,
gdc,w407.0,Max,max,MALE,
gdc,w407.0,Marie,marie,FEMALE,
