corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,w40n.0,1002,1037,_stage,1002,1018,Frau Hebenstreit,frau_hebenstreit
gdc,w40n.0,1002,1037,_stage,1023,1036,Frau Heinecke,frau_heinecke
gdc,w40n.0,1002,1037,_stage,1028,1036,Heinecke,heinecke
gdc,w40n.0,1038,1097,_stage,1038,1051,Frau Heinecke,frau_heinecke
gdc,w40n.0,1038,1097,_stage,1043,1051,Heinecke,heinecke
gdc,w40n.0,1244,1289,frau_hebenstreit,1270,1274,Alma,alma
gdc,w40n.0,1294,1431,frau_heinecke,1357,1360,Mir,frau_heinecke
gdc,w40n.0,1679,1778,frau_heinecke,1742,1745,ich,frau_heinecke
gdc,w40n.0,1679,1778,frau_heinecke,1746,1750,mein,frau_heinecke
gdc,w40n.0,1845,2348,frau_heinecke,1916,1924,Heinecke,heinecke
gdc,w40n.0,1845,2348,frau_heinecke,1995,1999,Alma,alma
gdc,w40n.0,1845,2348,frau_heinecke,2134,2137,ich,frau_heinecke
gdc,w40n.0,1845,2348,frau_heinecke,2263,2267,Alma,alma
gdc,w40n.0,1845,2348,frau_heinecke,2319,2323,Curt,curt
gdc,w40n.0,2395,2921,frau_heinecke,2546,2549,ich,frau_heinecke
gdc,w40n.0,2395,2921,frau_heinecke,2550,2553,mir,frau_heinecke
gdc,w40n.0,2395,2921,frau_heinecke,2676,2679,mir,frau_heinecke
gdc,w40n.0,2395,2921,frau_heinecke,2715,2718,mir,frau_heinecke
gdc,w40n.0,2395,2921,frau_heinecke,2785,2789,mich,frau_heinecke
gdc,w40n.0,2395,2921,frau_heinecke,2811,2817,Robert,robert
gdc,w40n.0,2395,2921,frau_heinecke,2829,2835,Robert,robert
gdc,w40n.0,2395,2921,frau_heinecke,2845,2861,Frau Hebenstreit,frau_hebenstreit
gdc,w40n.0,2395,2921,frau_heinecke,2886,2889,ich,frau_heinecke
gdc,w40n.0,3099,3192,frau_heinecke,3143,3147,Mein,frau_heinecke
gdc,w40n.0,3341,3418,frau_heinecke,3401,3417,Frau Hebenstreit,frau_hebenstreit
gdc,w40n.0,3491,3748,frau_heinecke,3519,3535,Frau Hebenstreit,frau_hebenstreit
gdc,w40n.0,3491,3748,frau_heinecke,3608,3611,ich,frau_heinecke
gdc,w40n.0,3491,3748,frau_heinecke,3632,3636,mein,frau_heinecke
gdc,w40n.0,3491,3748,frau_heinecke,3637,3645,Heinecke,heinecke
gdc,w40n.0,4098,4120,_stage,4111,4119,Heinecke,heinecke
gdc,w40n.0,4548,4645,_stage,4548,4556,Heinecke,heinecke
gdc,w40n.0,4765,5288,frau_heinecke,4788,4793,meine,frau_heinecke
gdc,w40n.0,4765,5288,frau_heinecke,5072,5076,mein,frau_heinecke
gdc,w40n.0,5294,5374,heinecke,5326,5329,mir,heinecke
gdc,w40n.0,5787,6245,frau_heinecke,5919,5925,Robert,robert
gdc,w40n.0,5787,6245,frau_heinecke,6206,6210,Curt,curt
gdc,w40n.0,6250,6311,frau_hebenstreit,6304,6308,Alma,alma
gdc,w40n.0,7097,7121,_stage,7097,7105,Heinecke,heinecke
gdc,w40n.0,7097,7121,_stage,7107,7120,Frau Heinecke,frau_heinecke
gdc,w40n.0,7097,7121,_stage,7112,7120,Heinecke,heinecke
gdc,w40n.0,7349,7596,heinecke,7418,7422,mich,heinecke
gdc,w40n.0,7752,7971,frau_heinecke,7861,7864,ich,frau_heinecke
gdc,w40n.0,7976,8119,heinecke,7995,7998,ich,heinecke
gdc,w40n.0,7976,8119,heinecke,8060,8064,Alma,alma
gdc,w40n.0,8371,8415,heinecke,8404,8407,mir,heinecke
gdc,w40n.0,8420,8599,frau_heinecke,8586,8589,mir,frau_heinecke
gdc,w40n.0,8621,8653,_stage,8621,8627,Robert,robert
gdc,w40n.0,8621,8653,_stage,8629,8637,Heinecke,heinecke
gdc,w40n.0,8621,8653,_stage,8639,8652,Frau Heinecke,frau_heinecke
gdc,w40n.0,8621,8653,_stage,8644,8652,Heinecke,heinecke
gdc,w40n.0,8655,8864,robert,8822,8825,Ich,robert
gdc,w40n.0,8869,9024,heinecke,8905,8911,Robert,robert
gdc,w40n.0,8869,9024,heinecke,8999,9002,mir,heinecke
gdc,w40n.0,9029,9082,robert,9048,9051,ich,robert
gdc,w40n.0,9029,9082,robert,9069,9072,mir,robert
gdc,w40n.0,9160,9764,robert,9205,9208,Ich,robert
gdc,w40n.0,9160,9764,robert,9269,9272,ich,robert
gdc,w40n.0,9880,10089,robert,9917,9920,ich,robert
gdc,w40n.0,9880,10089,robert,10013,10016,ich,robert
gdc,w40n.0,9880,10089,robert,10044,10047,ich,robert
gdc,w40n.0,9880,10089,robert,10051,10054,mir,robert
gdc,w40n.0,9880,10089,robert,10058,10064,meiner,robert
gdc,w40n.0,10127,11156,robert,10179,10183,mein,robert
gdc,w40n.0,10127,11156,robert,10233,10238,meine,robert
gdc,w40n.0,10127,11156,robert,10430,10433,ich,robert
gdc,w40n.0,10127,11156,robert,10487,10490,mir,robert
gdc,w40n.0,10127,11156,robert,10631,10634,ich,robert
gdc,w40n.0,10127,11156,robert,10635,10638,mir,robert
gdc,w40n.0,10127,11156,robert,11041,11045,mein,robert
gdc,w40n.0,11286,11770,robert,11332,11336,mich,robert
gdc,w40n.0,11286,11770,robert,11370,11373,Ich,robert
gdc,w40n.0,11286,11770,robert,11407,11410,ich,robert
gdc,w40n.0,11286,11770,robert,11411,11414,mir,robert
gdc,w40n.0,11286,11770,robert,11532,11535,ich,robert
gdc,w40n.0,11286,11770,robert,11541,11544,ich,robert
gdc,w40n.0,11286,11770,robert,11588,11596,Mühlingk,muehlingk
gdc,w40n.0,11286,11770,robert,11729,11732,mir,robert
gdc,w40n.0,11851,11957,robert,11863,11866,ich,robert
gdc,w40n.0,11851,11957,robert,11871,11874,mir,robert
gdc,w40n.0,11851,11957,robert,11934,11940,meinem,robert
gdc,w40n.0,12105,12430,robert,12231,12234,mir,robert
gdc,w40n.0,12105,12430,robert,12377,12381,Curt,curt
gdc,w40n.0,12105,12430,robert,12415,12419,mich,robert
gdc,w40n.0,12435,12622,heinecke,12445,12449,Curt,curt
gdc,w40n.0,12435,12622,heinecke,12600,12604,mich,heinecke
gdc,w40n.0,12837,12987,heinecke,12847,12853,Meinen,heinecke
gdc,w40n.0,13497,13536,_stage,13497,13503,Robert,robert
gdc,w40n.0,13497,13536,_stage,13505,13513,Heinecke,heinecke
gdc,w40n.0,13497,13536,_stage,13522,13535,Frau Heinecke,frau_heinecke
gdc,w40n.0,13497,13536,_stage,13527,13535,Heinecke,heinecke
gdc,w40n.0,13537,13567,_stage,13537,13543,Robert,robert
gdc,w40n.0,13537,13567,_stage,13548,13556,Heinecke,heinecke
gdc,w40n.0,13662,13692,heinecke,13685,13688,ich,heinecke
gdc,w40n.0,13741,14035,heinecke,13798,13801,ich,heinecke
gdc,w40n.0,13741,14035,heinecke,14008,14011,mir,heinecke
gdc,w40n.0,14081,14318,heinecke,14144,14147,mir,heinecke
gdc,w40n.0,14081,14318,heinecke,14166,14169,mir,heinecke
gdc,w40n.0,14351,14642,heinecke,14534,14537,ich,heinecke
gdc,w40n.0,14351,14642,heinecke,14601,14604,mir,heinecke
gdc,w40n.0,14351,14642,heinecke,14611,14614,ich,heinecke
gdc,w40n.0,15449,15659,frau_heinecke,15501,15505,Curt,curt
gdc,w40n.0,15664,15735,robert,15717,15720,mir,robert
gdc,w40n.0,15965,15978,robert,15973,15977,Alma,alma
gdc,w40n.0,16488,16544,robert,16496,16499,Ich,robert
gdc,w40n.0,16488,16544,robert,16523,16527,Alma,alma
gdc,w40n.0,16593,16800,frau_heinecke,16773,16777,Alma,alma
gdc,w40n.0,16805,16871,robert,16837,16840,mir,robert
gdc,w40n.0,17019,17108,robert,17068,17075,Auguste,auguste
gdc,w40n.0,17113,17303,frau_heinecke,17170,17174,Alma,alma
gdc,w40n.0,17615,17650,robert,17627,17634,Auguste,auguste
gdc,w40n.0,18219,18255,robert,18232,18236,Alma,alma
gdc,w40n.0,18278,18308,_stage,18278,18285,Auguste,auguste
gdc,w40n.0,18278,18308,_stage,18287,18296,Michalski,michalski
gdc,w40n.0,18310,18524,auguste,18514,18518,mein,auguste
gdc,w40n.0,18529,18604,robert,18564,18567,mir,robert
gdc,w40n.0,18707,18777,robert,18756,18763,Auguste,auguste
gdc,w40n.0,18707,18777,robert,18772,18776,Alma,alma
gdc,w40n.0,19042,19098,_stage,19042,19055,Frau Heinecke,frau_heinecke
gdc,w40n.0,19042,19098,_stage,19047,19055,Heinecke,heinecke
gdc,w40n.0,19042,19098,_stage,19070,19077,Auguste,auguste
gdc,w40n.0,19042,19098,_stage,19082,19091,Michalski,michalski
gdc,w40n.0,19159,19202,_stage,19159,19165,Robert,robert
gdc,w40n.0,19206,19276,heinecke,19235,19244,Michalski,michalski
gdc,w40n.0,19422,19442,_stage,19422,19428,Robert,robert
gdc,w40n.0,19446,19669,michalski,19493,19498,meine,michalski
gdc,w40n.0,19771,19909,auguste,19823,19832,Michalski,michalski
gdc,w40n.0,19914,20013,heinecke,19975,19978,ich,heinecke
gdc,w40n.0,19914,20013,heinecke,19993,19998,meine,heinecke
gdc,w40n.0,20025,20042,_stage,20034,20041,Auguste,auguste
gdc,w40n.0,20018,20134,robert,20065,20068,Ich,robert
gdc,w40n.0,20236,20257,_stage,20249,20256,Wilhelm,wilhelm
gdc,w40n.0,20264,20277,_stage,20270,20276,Robert,robert
gdc,w40n.0,20259,20353,heinecke,20282,20289,Wilhelm,wilhelm
gdc,w40n.0,20259,20353,heinecke,20302,20309,Wilhelm,wilhelm
gdc,w40n.0,20442,20613,wilhelm,20502,20510,Heinecke,heinecke
gdc,w40n.0,20442,20613,wilhelm,20512,20518,Robert,robert
gdc,w40n.0,20442,20613,wilhelm,20546,20550,mich,wilhelm
gdc,w40n.0,20659,20955,wilhelm,20851,20854,mir,wilhelm
gdc,w40n.0,20960,21038,robert,21015,21018,mir,robert
gdc,w40n.0,21140,21244,frau_heinecke,21212,21219,Wilhelm,wilhelm
gdc,w40n.0,21249,21501,robert,21373,21376,ich,robert
gdc,w40n.0,21249,21501,robert,21417,21422,Trast,trast
gdc,w40n.0,21249,21501,robert,21490,21497,Wilhelm,wilhelm
gdc,w40n.0,21557,21626,robert,21580,21583,mir,robert
gdc,w40n.0,21557,21626,robert,21597,21600,ich,robert
gdc,w40n.0,21639,21658,_stage,21648,21657,Michalski,michalski
gdc,w40n.0,21774,21938,frau_heinecke,21795,21798,ich,frau_heinecke
gdc,w40n.0,21774,21938,frau_heinecke,21840,21847,Wilhelm,wilhelm
gdc,w40n.0,22070,22286,frau_heinecke,22097,22104,Wilhelm,wilhelm
gdc,w40n.0,22333,22439,frau_heinecke,22383,22387,mein,frau_heinecke
gdc,w40n.0,22444,22650,robert,22460,22463,Ich,robert
gdc,w40n.0,22444,22650,robert,22469,22474,meine,robert
gdc,w40n.0,22444,22650,robert,22494,22497,Ich,robert
gdc,w40n.0,22444,22650,robert,22524,22527,ich,robert
gdc,w40n.0,22444,22650,robert,22528,22531,mir,robert
gdc,w40n.0,22444,22650,robert,22597,22600,mir,robert
gdc,w40n.0,22655,23182,frau_heinecke,22989,22993,mich,frau_heinecke
gdc,w40n.0,23293,23346,michalski,23310,23313,mir,michalski
gdc,w40n.0,23351,23404,robert,23387,23391,mich,robert
gdc,w40n.0,23424,23442,_stage,23437,23441,Alma,alma
gdc,w40n.0,23668,23733,robert,23711,23715,Alma,alma
gdc,w40n.0,23748,23759,_stage,23751,23758,Auguste,auguste
gdc,w40n.0,23805,23821,_stage,23805,23809,Alma,alma
gdc,w40n.0,23990,24011,alma,23996,24003,Auguste,auguste
gdc,w40n.0,24093,24130,alma,24107,24111,Mein,alma
gdc,w40n.0,24171,24223,_stage,24171,24184,Frau Heinecke,frau_heinecke
gdc,w40n.0,24171,24223,_stage,24176,24184,Heinecke,heinecke
gdc,w40n.0,24171,24223,_stage,24191,24195,Alma,alma
gdc,w40n.0,24227,24316,heinecke,24290,24294,mein,heinecke
gdc,w40n.0,24430,24530,robert,24459,24462,ich,robert
gdc,w40n.0,24535,24587,alma,24563,24566,ich,alma
gdc,w40n.0,24786,25006,alma,24836,24839,ich,alma
gdc,w40n.0,24786,25006,alma,24970,24973,Ich,alma
gdc,w40n.0,25045,25160,alma,25062,25065,Ich,alma
gdc,w40n.0,25045,25160,alma,25101,25104,Ich,alma
gdc,w40n.0,25045,25160,alma,25145,25148,ich,alma
gdc,w40n.0,25318,25358,robert,25338,25341,ich,robert
gdc,w40n.0,25363,25930,alma,25621,25624,ich,alma
gdc,w40n.0,25363,25930,alma,25770,25773,ich,alma
gdc,w40n.0,25974,26073,alma,25980,25983,Ich,alma
gdc,w40n.0,26116,26256,alma,26179,26182,mir,alma
gdc,w40n.0,26261,26304,robert,26269,26272,Ich,robert
gdc,w40n.0,26457,26702,alma,26475,26478,Ich,alma
gdc,w40n.0,26754,26827,alma,26809,26812,ich,alma
gdc,w40n.0,26873,26984,alma,26907,26910,mir,alma
gdc,w40n.0,26989,27107,robert,27076,27079,Mir,robert
gdc,w40n.0,27184,27365,robert,27219,27222,ich,robert
gdc,w40n.0,27245,27365,_stage,27278,27282,Alma,alma
gdc,w40n.0,27245,27365,_stage,27293,27302,Michalski,michalski
gdc,w40n.0,27245,27365,_stage,27331,27338,Auguste,auguste
gdc,w40n.0,27429,27446,_stage,27438,27445,Auguste,auguste
gdc,w40n.0,27591,27694,robert,27671,27675,Alma,alma
gdc,w40n.0,27700,27759,frau_heinecke,27741,27745,Curt,curt
gdc,w40n.0,28007,28057,robert,28052,28056,Alma,alma
gdc,w40n.0,28070,28083,_stage,28073,28082,Michalski,michalski
gdc,w40n.0,28109,28296,alma,28187,28190,ich,alma
gdc,w40n.0,28109,28296,alma,28263,28267,mein,alma
gdc,w40n.0,28301,28351,frau_heinecke,28324,28327,ich,frau_heinecke
gdc,w40n.0,28301,28351,frau_heinecke,28336,28340,Mein,frau_heinecke
gdc,w40n.0,28356,28393,heinecke,28375,28380,Meine,heinecke
gdc,w40n.0,28398,28419,robert,28414,28418,Alma,alma
gdc,w40n.0,28424,28768,alma,28430,28435,Meine,alma
gdc,w40n.0,28424,28768,alma,28489,28492,ich,alma
gdc,w40n.0,28424,28768,alma,28551,28554,mir,alma
gdc,w40n.0,29113,29263,robert,29150,29153,ich,robert
gdc,w40n.0,29230,29263,_stage,29230,29234,Alma,alma
gdc,w40n.0,29359,29541,robert,29418,29421,Ich,robert
gdc,w40n.0,29359,29541,robert,29465,29468,ich,robert
gdc,w40n.0,29359,29541,robert,29491,29494,ich,robert
gdc,w40n.0,29568,30052,robert,29727,29730,Ich,robert
gdc,w40n.0,29568,30052,robert,29837,29840,ich,robert
gdc,w40n.0,29568,30052,robert,29879,29884,meine,robert
