corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,wbvk.0,794,36763,0,1010,3703,0
gdc,wbvk.0,794,36763,0,3710,10188,0
gdc,wbvk.0,794,36763,0,10195,11149,0
gdc,wbvk.0,794,36763,0,11155,16703,0
gdc,wbvk.0,794,36763,0,16711,18644,0
gdc,wbvk.0,794,36763,0,18651,25338,0
gdc,wbvk.0,794,36763,0,25346,27695,0
gdc,wbvk.0,794,36763,0,27701,30456,0
gdc,wbvk.0,794,36763,0,30464,31086,0
gdc,wbvk.0,794,36763,0,31093,36763,0
gdc,wbvk.0,36772,71413,0,36786,40264,0
gdc,wbvk.0,36772,71413,0,40272,41896,0
gdc,wbvk.0,36772,71413,0,41903,43388,0
gdc,wbvk.0,36772,71413,0,43396,45385,0
gdc,wbvk.0,36772,71413,0,45391,50139,0
gdc,wbvk.0,36772,71413,0,50146,50866,0
gdc,wbvk.0,36772,71413,0,50872,55321,0
gdc,wbvk.0,36772,71413,0,55328,58294,0
gdc,wbvk.0,36772,71413,0,58301,58811,0
gdc,wbvk.0,36772,71413,0,58818,59057,0
gdc,wbvk.0,36772,71413,0,59065,61806,0
gdc,wbvk.0,36772,71413,0,61813,62190,0
gdc,wbvk.0,36772,71413,0,62198,62826,0
gdc,wbvk.0,36772,71413,0,62833,65859,0
gdc,wbvk.0,36772,71413,0,65866,70960,0
gdc,wbvk.0,36772,71413,0,70967,71413,0
gdc,wbvk.0,71422,109929,0,71487,73644,0
gdc,wbvk.0,71422,109929,0,73651,81212,0
gdc,wbvk.0,71422,109929,0,81219,81676,0
gdc,wbvk.0,71422,109929,0,81683,84678,0
gdc,wbvk.0,71422,109929,0,84685,91225,0
gdc,wbvk.0,71422,109929,0,91232,96012,0
gdc,wbvk.0,71422,109929,0,96019,96740,0
gdc,wbvk.0,71422,109929,0,96747,97529,0
gdc,wbvk.0,71422,109929,0,97536,102094,0
gdc,wbvk.0,71422,109929,0,102101,105831,0
gdc,wbvk.0,71422,109929,0,105838,106941,0
gdc,wbvk.0,71422,109929,0,106948,109929,0
