corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,wc0g.0,641,32554,0,1548,11090,0
gdc,wc0g.0,641,32554,0,11097,12341,0
gdc,wc0g.0,641,32554,0,12348,17654,0
gdc,wc0g.0,641,32554,0,17661,22367,0
gdc,wc0g.0,641,32554,0,22374,22558,0
gdc,wc0g.0,641,32554,0,22565,23861,0
gdc,wc0g.0,641,32554,0,23868,32554,0
gdc,wc0g.0,32563,68063,0,32954,37906,0
gdc,wc0g.0,32563,68063,0,37913,40202,0
gdc,wc0g.0,32563,68063,0,40209,44000,0
gdc,wc0g.0,32563,68063,0,44007,44172,0
gdc,wc0g.0,32563,68063,0,44179,56094,0
gdc,wc0g.0,32563,68063,0,56101,57093,0
gdc,wc0g.0,32563,68063,0,57100,59255,0
gdc,wc0g.0,32563,68063,0,59262,60047,0
gdc,wc0g.0,32563,68063,0,60054,68063,0
gdc,wc0g.0,68072,102442,0,68520,74992,0
gdc,wc0g.0,68072,102442,0,75000,75460,0
gdc,wc0g.0,68072,102442,0,75467,76384,0
gdc,wc0g.0,68072,102442,0,76391,82504,0
gdc,wc0g.0,68072,102442,0,82511,83101,0
gdc,wc0g.0,68072,102442,0,83108,85025,0
gdc,wc0g.0,68072,102442,0,85032,90074,0
gdc,wc0g.0,68072,102442,0,90081,95786,0
gdc,wc0g.0,68072,102442,0,95793,97173,0
gdc,wc0g.0,68072,102442,0,97180,97488,0
gdc,wc0g.0,68072,102442,0,97495,100655,0
gdc,wc0g.0,68072,102442,0,100662,102442,0
