corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,wcj0.0,886,1288,_Stage,_Stage,Rauchzimmer,NN,rauchzimmer,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,bei,APPR,bei,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Rentier,NE,rentier,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Beermann,NE,beermann,24201,,(1)
gdc,wcj0.0,886,1288,_Stage,_Stage,.,$.,--,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Im,APPRART,in,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Hintergrunde,NN,hintergrunde,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,links,ADV,links,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Flügeltür,NN,flügeltür,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,",","$,",--,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,die,PRELS,der,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,in,APPR,in,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,den,ART,der,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Speisesaal,NN,speisesaal,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,führt,VVFIN,führen,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,.,$.,--,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Rechts,ADV,rechts,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,eine,ART,ein,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,kleinere,ADJA,klein,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Türe,NN,türe,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,zum,APPRART,zu,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Musikzimmer,NN,musikzimmer,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,.,$.,--,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,An,APPR,an,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,der,ART,der,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Seite,NN,seite,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,links,ADV,links,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,eine,ART,ein,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,Türe,NN,türe,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,",","$,",--,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,die,PRELS,der,24201,,
gdc,wcj0.0,886,1288,_Stage,_Stage,in,APPR,in,24201,,
