corpus,drama,figure_surface,figure_id,Gender,Age
gdc,wdq6.0,Lisette,lisette,FEMALE,
gdc,wdq6.0,Soldaten,soldaten,MALE,
gdc,wdq6.0,Schatzmeister,schatzmeister,MALE,
gdc,wdq6.0,Wachtel,wachtel,MALE,
gdc,wdq6.0,Zweiter Gast,zweiter_gast,MALE,
gdc,wdq6.0,Der Wolf,der_wolf,UNKNOWN,
gdc,wdq6.0,Schäfer,schaefer,MALE,
gdc,wdq6.0,Skaramuz,skaramuz,MALE,
gdc,wdq6.0,Brauer,brauer,MALE,
gdc,wdq6.0,Postillion,postillion,MALE,
gdc,wdq6.0,Sternheim,sternheim,MALE,
gdc,wdq6.0,Erster Gast,erster_gast,MALE,
gdc,wdq6.0,Aulicus,aulicus,MALE,
gdc,wdq6.0,Der Wirt,wirt,MALE,
gdc,wdq6.0,Junger Mensch,junger_mensch,MALE,
gdc,wdq6.0,Wagemann,wagemann,MALE,
gdc,wdq6.0,Bote,bote,MALE,
gdc,wdq6.0,Grünhelm,gruenhelm,MALE,
gdc,wdq6.0,Anne,anne,FEMALE,
gdc,wdq6.0,Admet,admet,MALE,
gdc,wdq6.0,Claudio,claudio,MALE,
gdc,wdq6.0,Zweiter Matrose,zweiter_matrose,MALE,
gdc,wdq6.0,Melpomene,melpomene,FEMALE,
gdc,wdq6.0,Prologus,prologus,UNKNOWN,
gdc,wdq6.0,Leopard,leopard,UNKNOWN,
gdc,wdq6.0,Rabe,rabe,MALE,
gdc,wdq6.0,Erster Matrose,erster_matrose,MALE,
gdc,wdq6.0,Neptun,neptun,MALE,
gdc,wdq6.0,Epilogus,epilogus,UNKNOWN,
gdc,wdq6.0,Räte,raete,MALE,
gdc,wdq6.0,Laura,laura,FEMALE,
gdc,wdq6.0,Bäcker,baecker,MALE,
gdc,wdq6.0,Schriftsteller,schriftsteller,MALE,
gdc,wdq6.0,Ein Soldat,ein_soldat_b,MALE,
gdc,wdq6.0,Myrtill,myrtill,MALE,
gdc,wdq6.0,Ein Soldat,ein_soldat_a,MALE,
gdc,wdq6.0,Damon,damon,MALE,
gdc,wdq6.0,Gäste,gaeste,UNKNOWN,
gdc,wdq6.0,Wilhelm,wilhelm,MALE,
gdc,wdq6.0,Thalia,thalia,FEMALE,
gdc,wdq6.0,Fernando,fernando,MALE,
gdc,wdq6.0,Dicke Frau,dicke_frau,FEMALE,
gdc,wdq6.0,Vierter Gast,vierter_gast,MALE,
gdc,wdq6.0,Der Fremde,fremder,MALE,
gdc,wdq6.0,Phyllis,phyllis,FEMALE,
gdc,wdq6.0,Emilie,emilie,FEMALE,
gdc,wdq6.0,Ein Löwe,ein_loewe,UNKNOWN,
gdc,wdq6.0,Pantalon,pantalon,MALE,
gdc,wdq6.0,Poet,poet,MALE,
gdc,wdq6.0,Minister,minister,MALE,
gdc,wdq6.0,Pierrot,pierrot,MALE,
gdc,wdq6.0,Apollo,apollo,MALE,
gdc,wdq6.0,Stallmeister,stallmeister,MALE,
gdc,wdq6.0,Scävola,scaevola,MALE,
gdc,wdq6.0,Eine alte Frau,frau,FEMALE,
gdc,wdq6.0,Dritter Gast,dritter_gast,MALE,
gdc,wdq6.0,Alceste,alceste,FEMALE,
gdc,wdq6.0,Harlekin,harlekin,MALE,
gdc,wdq6.0,Leser,leser,MALE,
gdc,wdq6.0,Der Andre,der_andere,MALE,
gdc,wdq6.0,Hofpoet,hofpoet,MALE,
gdc,wdq6.0,Narr,narr,MALE,
gdc,wdq6.0,Mopsa,mopsa,FEMALE,
gdc,wdq6.0,Seelmann,seelmann,MALE,
gdc,wdq6.0,Der Vater,vater,MALE,
gdc,wdq6.0,Die Zuschauer,zuschauer,UNKNOWN,
gdc,wdq6.0,Alle (V. Akt),alle_5,UNKNOWN,
gdc,wdq6.0,Tiger,tiger,UNKNOWN,
gdc,wdq6.0,Die Musen,die_musen,FEMALE,
gdc,wdq6.0,Fuchsheim,fuchsheim,MALE,
gdc,wdq6.0,Schäferin,schaeferin,FEMALE,
gdc,wdq6.0,Maschinist,maschinist,MALE,
gdc,wdq6.0,General,general,MALE,
gdc,wdq6.0,Gattin,gattin,FEMALE,
