corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,wdvq.0,814,10319,0,814,10319,0
gdc,wdvq.0,10325,35773,0,10338,22005,0
gdc,wdvq.0,10325,35773,0,22012,32252,0
gdc,wdvq.0,10325,35773,0,32259,35773,0
gdc,wdvq.0,38976,72814,0,38990,41454,0
gdc,wdvq.0,38976,72814,0,41461,47986,0
gdc,wdvq.0,38976,72814,0,47993,54122,0
gdc,wdvq.0,38976,72814,0,54129,72814,0
gdc,wdvq.0,78188,117437,0,85263,88716,0
gdc,wdvq.0,78188,117437,0,88723,90342,0
gdc,wdvq.0,78188,117437,0,90349,96602,0
gdc,wdvq.0,78188,117437,0,96609,101247,0
gdc,wdvq.0,78188,117437,0,101255,103760,0
gdc,wdvq.0,78188,117437,0,103767,106260,0
gdc,wdvq.0,78188,117437,0,106268,117437,0
